data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,56448.0
2015-03-31,T1,6.01.01,Caixa Gerado nas Operações,83213.0
2015-03-31,T1,6.01.01.01,Lucro Líquido do Período,13871.0
2015-03-31,T1,6.01.01.02,Depreciação e Amortização,9936.0
2015-03-31,T1,6.01.01.03,Provisão para Lítigios,905.0
2015-03-31,T1,6.01.01.04,Provisão para Devedores Duvidosos,-177.0
2015-03-31,T1,6.01.01.05,Outras Provisões,-2038.0
2015-03-31,T1,6.01.01.06,Custo Residual de Ativos Permanentes,490.0
2015-03-31,T1,6.01.01.07,Participação dos Minoritários,170.0
2015-03-31,T1,6.01.01.08,Variação sobre Empréstimos,50706.0
2015-03-31,T1,6.01.01.09,Variação em Derivativos,2616.0
2015-03-31,T1,6.01.01.10,Provisão para Imposto de Renda e Contribuição Social,5953.0
2015-03-31,T1,6.01.01.11,Provisão para Estoques Obsoletos,781.0
2015-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-26765.0
2015-03-31,T1,6.01.02.01,Outros Ativos,-6926.0
2015-03-31,T1,6.01.02.02,Contas a Receber de Clientes,-14029.0
2015-03-31,T1,6.01.02.03,Estoques,-21811.0
2015-03-31,T1,6.01.02.04,Fornecedores,4207.0
2015-03-31,T1,6.01.02.05,Outros Passivos,3999.0
2015-03-31,T1,6.01.02.06,Imposto de Renda e Contribuição Social Pagos,-1181.0
2015-03-31,T1,6.01.02.07,Aplicações Financeiras,8914.0
2015-03-31,T1,6.01.02.08,Depósitos Judiciais,62.0
2015-03-31,T1,6.01.03,Outros,0.0
2015-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-16077.0
2015-03-31,T1,6.02.01,"Compras Imobilizado, Intangível e Invstimentos",-16077.0
2015-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-44062.0
2015-03-31,T1,6.03.01,Pagamento de Juros de Capital Próprio e Dividendos,-4150.0
2015-03-31,T1,6.03.02,Empréstimos Tomados,28160.0
2015-03-31,T1,6.03.03,Pagamentos e Empréstimos,-60406.0
2015-03-31,T1,6.03.04,Juros Pagos por Empréstimos,-7666.0
2015-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-3691.0
2015-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,176237.0
2015-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,172546.0
2015-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,60374.0
2015-06-30,T2,6.01.01,Caixa Gerado nas Operações,106369.0
2015-06-30,T2,6.01.01.01,Lucro Líquido do Período,27863.0
2015-06-30,T2,6.01.01.02,Depreciação e Amortização,19807.0
2015-06-30,T2,6.01.01.03,Provisão para Lítigios,1665.0
2015-06-30,T2,6.01.01.04,Provisão para Devedores Duvidosos,1996.0
2015-06-30,T2,6.01.01.05,Outras Provisões,-1432.0
2015-06-30,T2,6.01.01.06,Custo Residual de Ativos Permanentes,832.0
2015-06-30,T2,6.01.01.07,Participação dos Minoritários,164.0
2015-06-30,T2,6.01.01.08,Variação sobre Empréstimos,39039.0
2015-06-30,T2,6.01.01.09,Variação em Derivativos,302.0
2015-06-30,T2,6.01.01.10,Provisão para Imposto de Renda e Contribuição Social,13701.0
2015-06-30,T2,6.01.01.11,Provisão para Estoques Obsoletos,2432.0
2015-06-30,T2,6.01.02,Variações nos Ativos e Passivos,-45995.0
2015-06-30,T2,6.01.02.01,Outros Ativos,-1640.0
2015-06-30,T2,6.01.02.02,Contas a Receber de Clientes,-6058.0
2015-06-30,T2,6.01.02.03,Estoques,-21143.0
2015-06-30,T2,6.01.02.04,Fornecedores,-2958.0
2015-06-30,T2,6.01.02.05,Outros Passivos,1243.0
2015-06-30,T2,6.01.02.06,Imposto de Renda e Contribuição Social Pagos,-6186.0
2015-06-30,T2,6.01.02.07,Aplicações Financeiras,-9512.0
2015-06-30,T2,6.01.02.08,Depósitos Judiciais,259.0
2015-06-30,T2,6.01.03,Outros,0.0
2015-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-21949.0
2015-06-30,T2,6.02.01,"Compras Imobilizado, Intangível e Invstimentos",-21635.0
2015-06-30,T2,6.02.02,Adição ao Ativo Intangível,-314.0
2015-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-72482.0
2015-06-30,T2,6.03.01,Pagamento de Juros de Capital Próprio e Dividendos,-6673.0
2015-06-30,T2,6.03.02,Empréstimos Tomados,49414.0
2015-06-30,T2,6.03.03,Pagamentos e Empréstimos,-104973.0
2015-06-30,T2,6.03.04,Juros Pagos por Empréstimos,-10250.0
2015-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,-34057.0
2015-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,176237.0
2015-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,142180.0
2015-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,171120.0
2015-09-30,T3,6.01.01,Caixa Gerado nas Operações,202531.0
2015-09-30,T3,6.01.01.01,Lucro Líquido do Período,44339.0
2015-09-30,T3,6.01.01.02,Depreciação e Amortização,31211.0
2015-09-30,T3,6.01.01.03,Provisão para Lítigios,2747.0
2015-09-30,T3,6.01.01.04,Provisão para Devedores Duvidosos,2403.0
2015-09-30,T3,6.01.01.05,Outras Provisões,-1433.0
2015-09-30,T3,6.01.01.06,Custo Residual de Ativos Permanentes,1723.0
2015-09-30,T3,6.01.01.07,Participação dos Minoritários,555.0
2015-09-30,T3,6.01.01.08,Variação sobre Empréstimos,100115.0
2015-09-30,T3,6.01.01.09,Variação em Derivativos,4630.0
2015-09-30,T3,6.01.01.10,Provisão para Imposto de Renda e Contribuição Social,13028.0
2015-09-30,T3,6.01.01.11,Provisão para Estoques Obsoletos,3213.0
2015-09-30,T3,6.01.02,Variações nos Ativos e Passivos,-31411.0
2015-09-30,T3,6.01.02.01,Outros Ativos,-12155.0
2015-09-30,T3,6.01.02.02,Contas a Receber de Clientes,-15008.0
2015-09-30,T3,6.01.02.03,Estoques,-45625.0
2015-09-30,T3,6.01.02.04,Fornecedores,6443.0
2015-09-30,T3,6.01.02.05,Outros Passivos,38804.0
2015-09-30,T3,6.01.02.06,Imposto de Renda e Contribuição Social Pagos,-16974.0
2015-09-30,T3,6.01.02.07,Aplicações Financeiras,13044.0
2015-09-30,T3,6.01.02.08,Depósitos Judiciais,60.0
2015-09-30,T3,6.01.03,Outros,0.0
2015-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-50111.0
2015-09-30,T3,6.02.01,"Compras Imobilizado, Intangível e Invstimentos",-49187.0
2015-09-30,T3,6.02.02,Adição ao Ativo Intangível,-924.0
2015-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,-98141.0
2015-09-30,T3,6.03.01,Pagamento de Juros de Capital Próprio e Dividendos,-13766.0
2015-09-30,T3,6.03.02,Empréstimos Tomados,107557.0
2015-09-30,T3,6.03.03,Pagamentos e Empréstimos,-173360.0
2015-09-30,T3,6.03.04,Juros Pagos por Empréstimos,-18572.0
2015-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,22868.0
2015-09-30,T3,6.05.01,Saldo Inicial de Caixa e Equivalentes,176237.0
2015-09-30,T3,6.05.02,Saldo Final de Caixa e Equivalentes,199105.0
2016-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,35499.0
2016-03-31,T1,6.01.01,Caixa Gerado nas Operações,10091.0
