cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,203370.0,200993.0,233420.0,237243.0,204336.0,217105.0,196399.0,194811.0,177368.0,215067.0,218869.0,221527.0,246568.0,282602.0,260726.0,351253.0,322731.0,338825.0,333133.0,370820.0,341810.0,280072.0,453591.0,595316.0,640655.0,599133.0,657289.0,685089.0,704822.0,782594.0,823928.0,746827.0,838774.0,919552.0,889065.0,741266.0,841253.0,980271.0,1036493.0,1107759.0,1331718.0,1360140.0,1414067.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-146883.0,-143904.0,-162294.0,-166360.0,-142587.0,-146299.0,-147134.0,-144588.0,-138421.0,-158027.0,-158029.0,-161187.0,-183786.0,-207661.0,-183189.0,-262893.0,-247703.0,-250852.0,-249560.0,-267729.0,-253081.0,-215278.0,-303038.0,-419483.0,-452130.0,-424686.0,-453449.0,-503604.0,-510335.0,-552126.0,-564534.0,-527699.0,-542574.0,-599064.0,-569784.0,-538634.0,-551575.0,-664762.0,-705547.0,-713383.0,-876529.0,-924126.0,-937170.0
3.03,Resultado Bruto,56487.0,57089.0,71126.0,70883.0,61749.0,70806.0,49265.0,50223.0,38947.0,57040.0,60840.0,60340.0,62782.0,74941.0,77537.0,88360.0,75028.0,87973.0,83573.0,103091.0,88729.0,64794.0,150553.0,175833.0,188525.0,174447.0,203840.0,181485.0,194487.0,230468.0,259394.0,219128.0,296200.0,320488.0,319281.0,202632.0,289678.0,315509.0,330946.0,394376.0,455189.0,436014.0,476897.0
3.04,Despesas/Receitas Operacionais,-33276.0,-39726.0,-47764.0,-53951.0,-30778.0,-35994.0,-35872.0,-45762.0,-33944.0,-32285.0,-41193.0,-44506.0,-7557.0,-52354.0,-50607.0,-53328.0,-59944.0,-60861.0,-56142.0,-66041.0,-70305.0,-43056.0,-80225.0,-46343.0,-91811.0,-99286.0,-130545.0,-151471.0,-116499.0,-133795.0,-150849.0,-169294.0,-149048.0,-164464.0,-161348.0,-121188.0,-172781.0,-238883.0,-176736.0,-222938.0,-262466.0,-265533.0,-263130.0
3.04.02,Despesas Gerais e Administrativas,-13173.0,-15543.0,-18715.0,-21697.0,-14766.0,-14731.0,-15267.0,-14510.0,-14239.0,-16652.0,-14501.0,-17205.0,-21493.0,-22633.0,-22580.0,-28119.0,-25577.0,-27070.0,-25194.0,-29773.0,-28033.0,-29943.0,-35497.0,-52866.0,-41899.0,-44171.0,-49651.0,-51495.0,-46404.0,-50357.0,-54204.0,-60099.0,-55498.0,-64137.0,-63750.0,-66659.0,-71372.0,-79609.0,-80926.0,-85528.0,-127997.0,-121116.0,-115198.0
3.04.05,Outras Despesas Operacionais,-4429.0,-2867.0,-12842.0,-9338.0,-3472.0,-4703.0,-5677.0,-15108.0,-4207.0,-9179.0,-7446.0,-12825.0,-3884.0,-5797.0,-3863.0,-9121.0,-1643.0,-2551.0,-3137.0,-14558.0,-14465.0,-12937.0,-7779.0,-64106.0,-8395.0,-18840.0,-28259.0,-64918.0,-14730.0,-18361.0,-21916.0,-45950.0,-17937.0,-50087.0,-18983.0,-15020.0,-32293.0,-71441.0,-17703.0,-21194.0,-38203.0,-16706.0,-20380.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,348.0,-122.0,-37.0,-32.0,272.0,-187.0,89.0,-11.0,-249.0,-281.0,-104.0,-127.0,432.0,274.0,575.0,583.0,1032.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,23211.0,17363.0,23362.0,16932.0,30971.0,34812.0,13393.0,4461.0,5003.0,24755.0,19647.0,15834.0,70339.0,22587.0,26930.0,19918.0,15084.0,27112.0,27431.0,37050.0,18424.0,21738.0,70328.0,129490.0,96714.0,75161.0,73295.0,30014.0,77988.0,96673.0,108545.0,49834.0,147152.0,156024.0,157933.0,81444.0,116897.0,76626.0,154210.0,171438.0,192723.0,170481.0,213767.0
3.06,Resultado Financeiro,-3344.0,-2266.0,-735.0,-7187.0,-14302.0,-6568.0,14988.0,8526.0,9750.0,4229.0,3155.0,1222.0,-3736.0,-9675.0,-14280.0,-9809.0,-17883.0,12346.0,-16505.0,-14303.0,-13417.0,-1559.0,-8825.0,38374.0,-11810.0,-12425.0,-11275.0,-13635.0,-46002.0,-3855.0,-11185.0,-23157.0,-20832.0,-20412.0,-13900.0,39273.0,51447.0,13237.0,-42545.0,1990.0,-98815.0,-99790.0,-102748.0
3.06.01,Receitas Financeiras,33977.0,24826.0,71500.0,7716.0,21736.0,26197.0,26707.0,28093.0,30432.0,23895.0,16830.0,25019.0,13283.0,59782.0,55560.0,52032.0,32730.0,48485.0,55426.0,26549.0,90105.0,53536.0,47940.0,100828.0,62411.0,31822.0,58785.0,83284.0,58292.0,103642.0,119976.0,96728.0,67272.0,85453.0,106508.0,159099.0,276257.0,161393.0,74970.0,175738.0,79902.0,70398.0,67185.0
3.06.02,Despesas Financeiras,-37321.0,-27092.0,-72235.0,-14903.0,-36038.0,-32765.0,-11719.0,-19567.0,-20682.0,-19666.0,-13675.0,-23797.0,-17019.0,-69457.0,-69840.0,-61841.0,-50613.0,-36139.0,-71931.0,-40852.0,-103522.0,-55095.0,-56765.0,-62454.0,-74221.0,-44247.0,-70060.0,-96919.0,-104294.0,-107497.0,-131161.0,-119885.0,-88104.0,-105865.0,-120408.0,-119826.0,-224810.0,-148156.0,-117515.0,-173748.0,-178717.0,-170188.0,-169933.0
3.07,Resultado Antes dos Tributos sobre o Lucro,19867.0,15097.0,22627.0,9745.0,16669.0,28244.0,28381.0,12987.0,14753.0,28984.0,22802.0,17056.0,66603.0,12912.0,12650.0,10109.0,-2799.0,39458.0,10926.0,22747.0,5007.0,20179.0,61503.0,167864.0,84904.0,62736.0,62020.0,16379.0,31986.0,92818.0,97360.0,26677.0,126320.0,135612.0,144033.0,120717.0,168344.0,89863.0,111665.0,173428.0,93908.0,70691.0,111019.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-5953.0,-1046.0,-6029.0,-1846.0,-4989.0,-9098.0,-5830.0,-1887.0,-4844.0,-1076.0,-6939.0,-6576.0,-22040.0,-4248.0,-3411.0,-15986.0,-281.0,-11491.0,-1075.0,-24680.0,-6266.0,-7050.0,-19770.0,-39421.0,-24452.0,-19146.0,-22528.0,-50709.0,-4107.0,-26013.0,-24033.0,-8641.0,-35872.0,-37377.0,-37923.0,-26778.0,-59197.0,-48472.0,-22626.0,-38302.0,-23937.0,-20963.0,-3468.0
3.09,Resultado Líquido das Operações Continuadas,13914.0,14051.0,16598.0,7899.0,11680.0,19146.0,22551.0,11100.0,9909.0,27908.0,15863.0,10480.0,44563.0,17160.0,9239.0,17599.0,2518.0,27967.0,12001.0,-9681.0,1259.0,13129.0,41733.0,125925.0,60452.0,43590.0,84548.0,22032.0,27879.0,66805.0,73327.0,35318.0,90448.0,98235.0,106110.0,93939.0,109147.0,41391.0,89039.0,135126.0,69971.0,49728.0,107551.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
