data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,91097.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,42967.0
2015-12-31,T4,6.01.01.01,Lucro (prejuízo) líquido do exercício,-101404.0
2015-12-31,T4,6.01.01.02,Depreciação e Amortização,32401.0
2015-12-31,T4,6.01.01.03,Provisão para riscos,1951.0
2015-12-31,T4,6.01.01.04,Provisões diversas,6245.0
2015-12-31,T4,6.01.01.05,Variações cambiais,74267.0
2015-12-31,T4,6.01.01.06,Juros de empréstimo,32878.0
2015-12-31,T4,6.01.01.07,Baixa de investimento,0.0
2015-12-31,T4,6.01.01.08,Imposto de renda e contribuição social diferido,-7260.0
2015-12-31,T4,6.01.01.09,Plano de opção de ações outorgadas,41.0
2015-12-31,T4,6.01.01.11,Provisão ganho e perda com derivativos,1150.0
2015-12-31,T4,6.01.01.12,Valor residual ativo permanente baixado,2698.0
2015-12-31,T4,6.01.01.13,Amortização de ágio,0.0
2015-12-31,T4,6.01.01.14,Variação cambial sobre investimento líquido,0.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,48130.0
2015-12-31,T4,6.01.02.01,Contas a receber de clientes,9250.0
2015-12-31,T4,6.01.02.02,Estoques,14694.0
2015-12-31,T4,6.01.02.03,Impostos a recuperar,-4829.0
2015-12-31,T4,6.01.02.04,Contas a receber de partes relacionadas,0.0
2015-12-31,T4,6.01.02.05,Outras contas a receber,-1319.0
2015-12-31,T4,6.01.02.07,Impostos a recuperar - não circulante,306.0
2015-12-31,T4,6.01.02.08,Fornecedores,10780.0
2015-12-31,T4,6.01.02.09,Impostos e contribuições a recolher,9193.0
2015-12-31,T4,6.01.02.10,Salários e encargos sociais a recolher,3030.0
2015-12-31,T4,6.01.02.11,Outras contas a pagar,-596.0
2015-12-31,T4,6.01.02.12,Outras contas a pagar - não circulante,1828.0
2015-12-31,T4,6.01.02.13,Fornecedores - partes relacionadas,2065.0
2015-12-31,T4,6.01.02.14,Obrigações tributárias - não circulante,3728.0
2015-12-31,T4,6.01.03,Outros,0.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-39840.0
2015-12-31,T4,6.02.01,Adições do ativo imobilizado,-25769.0
2015-12-31,T4,6.02.02,Adições do ativo intangível,-9406.0
2015-12-31,T4,6.02.03,Titulos e valores mobiliários,20815.0
2015-12-31,T4,6.02.04,Aquisição de investimentos,0.0
2015-12-31,T4,6.02.05,Variação cambial sobre investimento líquido,0.0
2015-12-31,T4,6.02.06,Transações de capital entre acionistas,-25480.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-135301.0
2015-12-31,T4,6.03.01,Captações de empréstimos,195527.0
2015-12-31,T4,6.03.02,Pagamento de principal,-305789.0
2015-12-31,T4,6.03.03,Pagamento de juros,-25935.0
2015-12-31,T4,6.03.04,Ações em tesouraria,0.0
2015-12-31,T4,6.03.05,Pagamento de dividendos/Pagamento restituição de capital a acionistas,0.0
2015-12-31,T4,6.03.06,Aumento de capital,0.0
2015-12-31,T4,6.03.07,Empréstimos para partes relacionadas,896.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,140000.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,55956.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,239532.0
2015-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,295488.0
2016-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,95205.0
2016-12-31,T4,6.01.01,Caixa Gerado nas Operações,125704.0
2016-12-31,T4,6.01.01.01,Lucro (prejuízo) líquido do exercício,30548.0
2016-12-31,T4,6.01.01.02,Depreciação e Amortização,29315.0
2016-12-31,T4,6.01.01.03,Provisão para riscos,2022.0
2016-12-31,T4,6.01.01.04,Provisões diversas,4367.0
2016-12-31,T4,6.01.01.05,Variações cambiais,17198.0
2016-12-31,T4,6.01.01.06,Juros de empréstimos,29783.0
2016-12-31,T4,6.01.01.07,Baixa de investimento,0.0
2016-12-31,T4,6.01.01.08,Imposto de renda e contribuição social diferido,7839.0
2016-12-31,T4,6.01.01.09,Plano de opção de ações outorgadas,0.0
2016-12-31,T4,6.01.01.11,Provisão ganho e perda com derivativos,-693.0
2016-12-31,T4,6.01.01.12,Valor residual ativo permanente baixado,5325.0
2016-12-31,T4,6.01.01.13,Amortização de ágio,0.0
2016-12-31,T4,6.01.01.14,Variação cambial sobre investimento líquido,0.0
2016-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-30499.0
2016-12-31,T4,6.01.02.01,Contas a receber de clientes,-11010.0
2016-12-31,T4,6.01.02.02,Estoques,29569.0
2016-12-31,T4,6.01.02.03,Impostos a recuperar,10605.0
2016-12-31,T4,6.01.02.04,Contas a receber de partes relacionadas,0.0
2016-12-31,T4,6.01.02.05,Outras contas a receber,77.0
2016-12-31,T4,6.01.02.07,Impostos a recuperar - não circulante,1344.0
2016-12-31,T4,6.01.02.08,Fornecedores,-39241.0
2016-12-31,T4,6.01.02.09,Impostos e contribuições a recolher,-7828.0
2016-12-31,T4,6.01.02.10,Salários e encargos sociais a recolher,-2798.0
2016-12-31,T4,6.01.02.11,Outras contas a pagar,-5388.0
2016-12-31,T4,6.01.02.12,Outras contas a pagar - não circulante,-3435.0
2016-12-31,T4,6.01.02.13,Fornecedores - partes relacionadas,-1855.0
2016-12-31,T4,6.01.02.14,Obrigações tributárias - não circulante,-539.0
2016-12-31,T4,6.01.03,Outros,0.0
2016-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-121199.0
2016-12-31,T4,6.02.01,Adições do ativo imobilizado,-34707.0
2016-12-31,T4,6.02.02,Adições do ativo intangível,-10785.0
2016-12-31,T4,6.02.03,Titulos e valores mobiliários,-76404.0
2016-12-31,T4,6.02.04,Aquisição de investimentos,0.0
