data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-06-30,T2,1,Ativo Total,3938625.0
2015-06-30,T2,1.01,Ativo Circulante,319148.0
2015-06-30,T2,1.01.01,Caixa e Equivalentes de Caixa,168913.0
2015-06-30,T2,1.01.02,Aplicações Financeiras,0.0
2015-06-30,T2,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-06-30,T2,1.01.02.01.01,Títulos para Negociação,0.0
2015-06-30,T2,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-06-30,T2,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-06-30,T2,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-06-30,T2,1.01.03,Contas a Receber,126604.0
2015-06-30,T2,1.01.03.01,Clientes,126604.0
2015-06-30,T2,1.01.03.01.01,Concessionárias e Permissionárias,126635.0
2015-06-30,T2,1.01.03.01.02,Provisão para crédito de liquidação duvidosa,-31.0
2015-06-30,T2,1.01.03.02,Outras Contas a Receber,0.0
2015-06-30,T2,1.01.04,Estoques,0.0
2015-06-30,T2,1.01.05,Ativos Biológicos,0.0
2015-06-30,T2,1.01.06,Tributos a Recuperar,2334.0
2015-06-30,T2,1.01.06.01,Tributos Correntes a Recuperar,0.0
2015-06-30,T2,1.01.07,Despesas Antecipadas,3291.0
2015-06-30,T2,1.01.08,Outros Ativos Circulantes,18006.0
2015-06-30,T2,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-06-30,T2,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,1.01.08.03,Outros,18006.0
2015-06-30,T2,1.01.08.03.01,Partes relacionadas,242.0
2015-06-30,T2,1.01.08.03.02,Serviços em curso,15506.0
2015-06-30,T2,1.01.08.03.03,Devedores diversos,2150.0
2015-06-30,T2,1.01.08.03.04,Outros ativos,108.0
2015-06-30,T2,1.02,Ativo Não Circulante,3619477.0
2015-06-30,T2,1.02.01,Ativo Realizável a Longo Prazo,47289.0
2015-06-30,T2,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-06-30,T2,1.02.01.01.01,Títulos para Negociação,0.0
2015-06-30,T2,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-06-30,T2,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-06-30,T2,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-06-30,T2,1.02.01.03,Contas a Receber,663.0
2015-06-30,T2,1.02.01.03.01,Clientes,663.0
2015-06-30,T2,1.02.01.03.02,Outras Contas a Receber,0.0
2015-06-30,T2,1.02.01.04,Estoques,0.0
2015-06-30,T2,1.02.01.05,Ativos Biológicos,0.0
2015-06-30,T2,1.02.01.06,Tributos Diferidos,0.0
