cd_conta,conta,2014T4,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4
1,Ativo Total,0.000,3938625.000,4074586.000,4182588.000,4109124.000,4136312.000,4363111.000,4388123.000,4308307.000,3959618.000,4410825.000,4509694.000,4355816.000,4696796.000,4640899.000,4751535.000,4470478.000,4634501.000,4726504.000,4411784.000,4513894.000,4527740.000,4306518.000,5720585.000,4360187.000,4081986.000,3861606.000,3964955.000,3975692.000,4063957.000,3757259.000,3716944.000,3695600.000,3643164.000,3550141.000,0.000,0.000,0.000,0.000,0.000
1.01,Ativo Circulante,0.000,319148.000,485420.000,659620.000,632027.000,704032.000,972268.000,1015250.000,973659.000,662825.000,1157650.000,1163144.000,1034023.000,1390723.000,1194719.000,1219177.000,1260676.000,1196948.000,1332541.000,1292322.000,1430651.000,1474786.000,1251567.000,1978441.000,695339.000,479989.000,303546.000,413886.000,477507.000,619705.000,365052.000,431033.000,483342.000,496100.000,466948.000,0.000,0.000,0.000,0.000,0.000
1.01.01,Caixa e Equivalentes de Caixa,0.000,168913.000,326443.000,464069.000,451236.000,542010.000,808663.000,852563.000,770167.000,469961.000,983117.000,976841.000,878776.000,1231433.000,969271.000,991104.000,1069841.000,1039624.000,1165083.000,1121907.000,1177348.000,1243526.000,1027944.000,1110250.000,538645.000,331097.000,113517.000,185014.000,248705.000,454391.000,162813.000,220928.000,267513.000,317258.000,271965.000,0.000,0.000,0.000,0.000,0.000
1.01.02,Aplicações Financeiras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.03,Contas a Receber,0.000,126604.000,134835.000,169832.000,149004.000,132989.000,134305.000,135892.000,178609.000,167327.000,139644.000,149874.000,131004.000,134248.000,186418.000,196465.000,163378.000,136515.000,143334.000,147361.000,232313.000,213106.000,197602.000,842470.000,125308.000,116650.000,148373.000,188296.000,177514.000,129623.000,167802.000,175554.000,188478.000,155905.000,164088.000,0.000,0.000,0.000,0.000,0.000
1.01.04,Estoques,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,0.000,2334.000,3777.000,5147.000,5782.000,6384.000,8403.000,11276.000,11528.000,13881.000,12838.000,16460.000,8566.000,11172.000,17761.000,12381.000,12937.000,7489.000,9817.000,10795.000,8818.000,3625.000,2554.000,2658.000,7028.000,8016.000,8340.000,8674.000,24579.000,9133.000,1.000,6.000,298.000,309.000,306.000,0.000,0.000,0.000,0.000,0.000
1.01.07,Despesas Antecipadas,0.000,3291.000,1876.000,346.000,8389.000,5664.000,3066.000,346.000,3440.000,582.000,10206.000,7173.000,4375.000,1551.000,8619.000,6039.000,4040.000,1407.000,8424.000,5818.000,4126.000,1755.000,8188.000,5885.000,4223.000,1618.000,8122.000,6019.000,4258.000,1744.000,8735.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,0.000,18006.000,18489.000,20226.000,17616.000,16985.000,17831.000,15173.000,9915.000,11074.000,11845.000,12796.000,11302.000,12319.000,12650.000,13188.000,10480.000,11913.000,5883.000,6441.000,8046.000,12774.000,15279.000,17178.000,20135.000,22608.000,25194.000,25883.000,22451.000,24814.000,25701.000,34545.000,27053.000,22628.000,30589.000,0.000,0.000,0.000,0.000,0.000
