codigo,nome,categoria,unidade,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,1583960.93,1230780.46,1129736.84,1379670.26,1362672.27,1964527.06,1871038.11,1532966.96,1294050.75,1464975.0,2026853.03,2026853.03
P_L,P/L,Valuation,x,,5.8769,3.2067,5.8004,5.6495,8.0486,2.7165,-177.1697,5.4744,4.2432,15.0972,15.0972
P_VPA,P/VPA,Valuation,x,,0.6482,0.6534,0.8352,0.884,1.2788,0.9973,0.8173,0.7114,,,
EV_EBITDA,EV/EBITDA,Valuation,x,,2.6903,2.0741,3.0485,2.6967,3.2318,1.1388,5.3993,2.708,1.9246,15.4052,15.4052
EV_EBIT,EV/EBIT,Valuation,x,,4.4204,2.7973,4.7746,3.8696,4.7707,1.3177,12.8125,4.2764,2.9615,15.4052,15.4052
EV_RECEITA,EV/Receita,Valuation,x,,1.472,1.3537,1.3008,1.4373,1.6023,1.2649,1.961,1.4987,1.0525,3.7825,3.7825
DY,Dividend Yield,Valuation,%,38.5112,56.6996,57.5783,47.1235,46.1078,33.6148,34.9634,42.7565,50.0645,45.9876,32.5304,32.5304
PAYOUT,Payout,Valuation,%,,333.2154,184.6372,273.3358,260.4867,270.5524,94.9771,-7575.16,274.073,195.1349,491.1198,491.1198
ROE,ROE,Rentabilidade,%,,22.0582,20.1368,14.0742,15.3742,15.466,40.5406,-0.4608,12.8715,36.5051,,
ROA,ROA,Rentabilidade,%,,9.5661,8.425,5.4818,5.5265,5.3777,13.854,-0.1817,6.3324,18.3816,,
ROIC,ROIC,Rentabilidade,%,,11.831,17.4018,11.8542,14.9105,17.0116,48.9994,4.5112,12.0441,,,
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,54.7162,65.2667,42.671,53.2987,49.5794,111.0688,36.3205,55.3424,54.6874,24.5534,24.5534
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,13.2324,27.0785,16.7806,19.4039,17.8223,48.3655,-0.6534,17.7609,24.5438,25.3305,25.3305
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,1.2025,0.7759,0.8237,0.7581,0.3657,-0.022,2.2654,1.0006,0.0,0.0,0.0
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,,0.5484,0.381,0.3016,0.3259,0.1616,-0.0185,0.5809,0.4052,,,
ICJ,ICJ,Endividamento,x,,1.8578,2.75,2.3504,2.1232,2.2691,2.5018,0.6893,2.3975,3.836,3.2271,3.2271
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,,14.2567,33.7497,24.2102,14.6787,25.8917,35.0732,29.4805,27.7644,,,
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,,0.8713,0.7612,0.7307,0.8578,0.7501,0.6675,0.4166,0.424,,,
LIQ_SECA,Liquidez Seca,Liquidez,x,,0.8713,0.7612,0.7307,0.8578,0.7501,0.6675,0.4166,0.424,,,
LIQ_GERAL,Liquidez Geral,Liquidez,x,,0.2992,0.4083,0.4738,0.56,0.5521,0.5701,0.3057,0.3555,,,
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.3615,0.3038,0.3223,0.2776,0.3134,0.2537,0.3397,0.3684,,,
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,-30.2186,-164.8726,-208.8372,-345.0082,-407.6667,-17064.1508,-124.3845,-160.1559,0.0,0.0,0.0
PME,PME,Eficiência,dias,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,,-23.3847,-49.1624,-71.9263,-73.506,-86.5953,-118.4413,-28.4566,-39.0449,0.0,0.0,0.0
