data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,944003.0
2015-03-31,T1,6.01.01,Caixa Gerado nas Operações,1241397.0
2015-03-31,T1,6.01.01.01,Lucro líquido do exercício,267361.0
2015-03-31,T1,6.01.01.02,Depreciação e amortização,603272.0
2015-03-31,T1,6.01.01.03,Equivalência patrimonial,-6535.0
2015-03-31,T1,6.01.01.04,"Variação cambial, líquida",651254.0
2015-03-31,T1,6.01.01.05,"(Ganhos) Perdas com instrumentos financeiros, líquido",-15637.0
2015-03-31,T1,6.01.01.06,Benefícios pós-emprego,66072.0
2015-03-31,T1,6.01.01.07,Remuneração baseada em ações,5224.0
2015-03-31,T1,6.01.01.08,Imposto de renda e contribuição social,-680686.0
2015-03-31,T1,6.01.01.09,(Ganho) Perda na alienação de imobilizado e investimento,-1732.0
2015-03-31,T1,6.01.01.10,Provisão para risco de crédito,18432.0
2015-03-31,T1,6.01.01.11,"Provisão para passivos tributários, cíveis e trabalhistas",73998.0
2015-03-31,T1,6.01.01.12,Receita de juros de aplicações financeiras mantidas para negociação,-59016.0
2015-03-31,T1,6.01.01.13,Despesa de juros sobre dívidas financeiras,318929.0
2015-03-31,T1,6.01.01.14,Juros sobre mútuos com empresas ligadas,-649.0
2015-03-31,T1,6.01.01.15,"Provisão para ajuste ao valor líquido realizável de estoque, líquido",1110.0
2015-03-31,T1,6.01.02,Variações nos Ativos e Passivos,184632.0
2015-03-31,T1,6.01.02.01,Aumento de contas a receber,-228810.0
2015-03-31,T1,6.01.02.02,Aumento de estoques,-318686.0
2015-03-31,T1,6.01.02.03,Aumento de contas a pagar,33721.0
2015-03-31,T1,6.01.02.04,Aumento de outros ativos,-96355.0
2015-03-31,T1,6.01.02.05,Aumento (Redução) de outros passivos,76691.0
2015-03-31,T1,6.01.02.06,Recebimento de dividendos/juros sobre capital próprio,0.0
2015-03-31,T1,6.01.02.07,Aplicações financeiras de títulos para negociação,-255290.0
2015-03-31,T1,6.01.02.08,Resgate de aplicações financeiras de títulos para negociação,973361.0
2015-03-31,T1,6.01.03,Outros,-482026.0
2015-03-31,T1,6.01.03.01,Pagamento de juros de empréstimos e financiamentos,-194720.0
2015-03-31,T1,6.01.03.02,Pagamento de imposto de renda e contribuição social,-287306.0
2015-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-672543.0
2015-03-31,T1,6.02.01,Adições do imobilizado,-612344.0
2015-03-31,T1,6.02.02,"Recebimento pela venda de imobilizado, investimento e instangíveis",3974.0
2015-03-31,T1,6.02.03,Adições de outros ativos intangíveis,-23649.0
2015-03-31,T1,6.02.04,Aumento de capital em empresa com controle compartilhado,-40524.0
2015-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-79690.0
2015-03-31,T1,6.03.01,Compras de ações em tesouraria,-161278.0
2015-03-31,T1,6.03.02,Caixa recebido no período de opções de ações,0.0
2015-03-31,T1,6.03.03,Dividendos e juros sobre o capital próprio pagos,-120888.0
2015-03-31,T1,6.03.04,Empréstimos e financiamentos obtidos,913026.0
2015-03-31,T1,6.03.05,Pagamentos de empréstimos e financiamentos,-670699.0
2015-03-31,T1,6.03.06,"Financiamentos com empresas ligadas, líquido",-39851.0
2015-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,354423.0
2015-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,546193.0
2015-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,3049971.0
2015-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,3596164.0
2015-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,2225833.0
2015-06-30,T2,6.01.01,Caixa Gerado nas Operações,2620012.0
2015-06-30,T2,6.01.01.01,Lucro líquido do exercício,531835.0
2015-06-30,T2,6.01.01.02,Depreciação e amortização,1229583.0
2015-06-30,T2,6.01.01.03,Equivalência patrimonial,-13802.0
2015-06-30,T2,6.01.01.04,"Variação cambial, líquida",556862.0
2015-06-30,T2,6.01.01.05,"(Ganhos) Perdas com instrumentos financeiros, líquido",-13734.0
2015-06-30,T2,6.01.01.06,Benefícios pós-emprego,122141.0
2015-06-30,T2,6.01.01.07,Remuneração baseada em ações,28424.0
2015-06-30,T2,6.01.01.08,Imposto de renda e contribuição social,-594091.0
2015-06-30,T2,6.01.01.09,Ganho na alienação de imobilizado e investimento,-3057.0
2015-06-30,T2,6.01.01.10,Provisão para risco de crédito,38983.0
2015-06-30,T2,6.01.01.11,"Provisão para passivos tributários, cíveis e trabalhistas",162928.0
2015-06-30,T2,6.01.01.12,Receita de juros de aplicações financeiras,-95502.0
2015-06-30,T2,6.01.01.13,Despesa de juros sobre dívidas financeiras,689562.0
2015-06-30,T2,6.01.01.14,Juros sobre mútuos com empresas ligadas,-1752.0
2015-06-30,T2,6.01.01.15,"Reversão de ajuste ao valor líquido realizável de estoque, líquido",-18368.0
2015-06-30,T2,6.01.02,Variações nos Ativos e Passivos,437518.0
2015-06-30,T2,6.01.02.01,Aumento de contas a receber,-37619.0
2015-06-30,T2,6.01.02.02,Redução (Aumento) de estoques,38494.0
2015-06-30,T2,6.01.02.03,Aumento (Redução) de contas a pagar,-57405.0
2015-06-30,T2,6.01.02.04,Aumento de outros ativos,-383295.0
2015-06-30,T2,6.01.02.05,Redução de outros passivos,-230614.0
2015-06-30,T2,6.01.02.06,Recebimento de dividendos/juros sobre capital próprio,30706.0
2015-06-30,T2,6.01.02.07,Aplicações financeiras de títulos para negociação,-580350.0
2015-06-30,T2,6.01.02.08,Resgate de aplicações financeiras de títulos para negociação,1657601.0
2015-06-30,T2,6.01.03,Outros,-831697.0
2015-06-30,T2,6.01.03.01,Pagamento de juros de empréstimos e financiamentos,-446675.0
2015-06-30,T2,6.01.03.02,Pagamento de imposto de renda e contribuição social,-385022.0
2015-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-1348591.0
2015-06-30,T2,6.02.01,Adições do imobilizado,-1260537.0
2015-06-30,T2,6.02.02,"Recebimento pela venda de imobilizado, investimento e instangíveis",6906.0
2015-06-30,T2,6.02.03,Adições de outros ativos intangíveis,-33507.0
2015-06-30,T2,6.02.04,Aumento de capital em empresa com controle compartilhado,-40524.0
2015-06-30,T2,6.02.05,Pagamento na aquisição de controle de empresa,-20929.0
2015-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-296179.0
2015-06-30,T2,6.03.01,Compras de ações em tesouraria,-189071.0
2015-06-30,T2,6.03.02,Caixa recebido no período de opções de ações,0.0
2015-06-30,T2,6.03.03,Dividendos e juros sobre o capital próprio pagos,-208829.0
2015-06-30,T2,6.03.04,Empréstimos e financiamentos obtidos,1324900.0
