# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-08 08:43:36
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2015,3.01,43581241.0,43581241.0,0.0,0.0,OK
2015,3.02,-39290526.0,-39290526.0,0.0,0.0,OK
2015,3.03,4290715.0,4290715.0,0.0,0.0,OK
2015,3.04,-7506227.0,-7506227.0,0.0,0.0,OK
2015,3.04.02,-1797483.0,-1797483.0,0.0,0.0,OK
2015,3.04.05,-116431.0,-116431.0,0.0,0.0,OK
2015,3.04.05.02,0.0,,,,SEM_ANUAL
2015,3.04.06,-24502.0,-24502.0,0.0,0.0,OK
2015,3.05,-3215512.0,-3215512.0,0.0,0.0,OK
2015,3.06,-2878896.0,-2878896.0,0.0,0.0,OK
2015,3.06.01,465487.0,465487.0,0.0,0.0,OK
2015,3.06.02,-3344383.0,-3344383.0,0.0,0.0,OK
2015,3.07,-6094408.0,-6094408.0,0.0,0.0,OK
2015,3.08,-1498422.0,-1498422.0,0.0,0.0,OK
2015,3.09,4595986.0,4595986.0,0.0,0.0,OK
2015,3.10,0.0,0.0,0.0,0.0,OK
2015,3.11,4595986.0,4595986.0,0.0,0.0,OK
2015,3.11.01,-4551438.0,-4551438.0,0.0,0.0,OK
2015,3.11.02,-44548.0,-44548.0,0.0,0.0,OK
2016,3.01,37651667.0,37651667.0,0.0,0.0,OK
2016,3.02,-34187941.0,-34187941.0,0.0,0.0,OK
2016,3.03,3463726.0,3463726.0,0.0,0.0,OK
2016,3.04,-5100086.0,-5100086.0,0.0,0.0,OK
2016,3.04.02,-1528262.0,-1528262.0,0.0,0.0,OK
2016,3.04.05,-172453.0,-172453.0,0.0,0.0,OK
2016,3.04.05.02,-58223.0,-58223.0,0.0,0.0,OK
2016,3.04.06,-12771.0,-12771.0,0.0,0.0,OK
2016,3.05,-1636360.0,-1636360.0,0.0,0.0,OK
2016,3.06,-945255.0,-945255.0,0.0,0.0,OK
2016,3.06.01,1103680.0,1103680.0,0.0,0.0,OK
2016,3.06.02,-2048935.0,-2048935.0,0.0,0.0,OK
2016,3.07,-2581615.0,-2581615.0,0.0,0.0,OK
2016,3.08,-304314.0,-304314.0,0.0,0.0,OK
2016,3.09,2885929.0,2885929.0,0.0,0.0,OK
2016,3.10,0.0,0.0,0.0,0.0,OK
2016,3.11,2885929.0,2885929.0,0.0,0.0,OK
2016,3.11.01,-2890811.0,-2890811.0,0.0,0.0,OK
2016,3.11.02,4882.0,4882.0,0.0,0.0,OK
2017,3.01,36917619.0,36917619.0,0.0,0.0,OK
2017,3.02,-33312995.0,-33312995.0,0.0,0.0,OK
2017,3.03,3604624.0,3604624.0,0.0,0.0,OK
2017,3.04,-2504552.0,-2504552.0,0.0,0.0,OK
2017,3.04.02,-1129943.0,-1129943.0,0.0,0.0,OK
2017,3.04.05,-890569.0,-890569.0,0.0,0.0,OK
