data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,10447376.0
2015-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-9335523.0
2015-03-31,T1,3.03,Resultado Bruto,1111853.0
2015-03-31,T1,3.04,Despesas/Receitas Operacionais,-626613.0
2015-03-31,T1,3.04.01,Despesas com Vendas,-179519.0
2015-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-480442.0
2015-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-03-31,T1,3.04.04,Outras Receitas Operacionais,56851.0
2015-03-31,T1,3.04.05,Outras Despesas Operacionais,-30038.0
2015-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,6535.0
2015-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,485240.0
2015-03-31,T1,3.06,Resultado Financeiro,-898565.0
2015-03-31,T1,3.06.01,Receitas Financeiras,124753.0
2015-03-31,T1,3.06.01.01,Receitas Financeiras,109116.0
2015-03-31,T1,3.06.01.02,"Variação cambial, líquida",0.0
2015-03-31,T1,3.06.01.03,"Ganhos com instrumentos financeiros, líquido",15637.0
2015-03-31,T1,3.06.02,Despesas Financeiras,-1023318.0
2015-03-31,T1,3.06.02.01,Despesas Financeiras,-372064.0
2015-03-31,T1,3.06.02.02,"Variação cambial, líquida",-651254.0
2015-03-31,T1,3.06.02.03,"Perdas com instrumentos financeiros, líquidos",0.0
2015-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,-413325.0
2015-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,680686.0
2015-03-31,T1,3.08.01,Corrente,-45385.0
2015-03-31,T1,3.08.02,Diferido,726071.0
2015-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,267361.0
2015-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,267361.0
2015-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,293062.0
2015-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,-25701.0
2015-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2015-03-31,T1,3.99.01.01,ON,0.17
2015-03-31,T1,3.99.01.02,PN,0.17
2015-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2015-03-31,T1,3.99.02.01,ON,0.17
2015-03-31,T1,3.99.02.02,PN,0.17
2015-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,10759391.0
2015-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-9577977.0
2015-06-30,T2,3.03,Resultado Bruto,1181414.0
2015-06-30,T2,3.04,Despesas/Receitas Operacionais,-623463.0
2015-06-30,T2,3.04.01,Despesas com Vendas,-184878.0
2015-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-452181.0
2015-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-06-30,T2,3.04.04,Outras Receitas Operacionais,43528.0
2015-06-30,T2,3.04.05,Outras Despesas Operacionais,-37199.0
2015-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,7267.0
2015-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,557951.0
2015-06-30,T2,3.06,Resultado Financeiro,-206882.0
2015-06-30,T2,3.06.01,Receitas Financeiras,188904.0
2015-06-30,T2,3.06.01.01,Receitas Financeiras,94512.0
2015-06-30,T2,3.06.01.02,"Variação cambial, líquida",94392.0
2015-06-30,T2,3.06.01.03,"Ganhos com instrumentos financeiros, líquido",0.0
2015-06-30,T2,3.06.02,Despesas Financeiras,-395786.0
2015-06-30,T2,3.06.02.01,Despesas Financeiras,-393883.0
2015-06-30,T2,3.06.02.02,"Variação cambial, líquida",0.0
2015-06-30,T2,3.06.02.03,"Perdas com instrumentos financeiros, líquidos",-1903.0
2015-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,351069.0
2015-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-86595.0
2015-06-30,T2,3.08.01,Corrente,-244403.0
2015-06-30,T2,3.08.02,Diferido,157808.0
2015-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,264474.0
2015-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-06-30,T2,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-06-30,T2,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,3.11,Lucro/Prejuízo Consolidado do Período,264474.0
2015-06-30,T2,3.11.01,Atribuído a Sócios da Empresa Controladora,255628.0
2015-06-30,T2,3.11.02,Atribuído a Sócios Não Controladores,8846.0
2015-06-30,T2,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-06-30,T2,3.99.01,Lucro Básico por Ação,0.0
2015-06-30,T2,3.99.01.01,ON,0.15
