cd_conta,conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,4340223.0,5130344.0,5760520.0,8198711.0,8181505.0,8758602.0,9205963.0,9954991.0,10460070.0,11434974.0,12387779.0,13263938.0,13726170.0,14378139.0,15056338.0,16357296.0,16519334.0,17131008.0,17900655.0,18959322.0,20115820.0,20393545.0,23696093.0
2.01,Passivo Circulante,1091767.0,1349840.0,1593405.0,1361330.0,1172899.0,1532300.0,1567573.0,1650337.0,1867425.0,2373622.0,2208687.0,2753346.0,2930351.0,3043411.0,3209903.0,4235730.0,4152526.0,4745807.0,5218768.0,4673250.0,5232499.0,5049866.0,6415587.0
2.01.01,Obrigações Sociais e Trabalhistas,142331.0,200715.0,218954.0,178802.0,199758.0,237623.0,271913.0,224680.0,237809.0,267690.0,328581.0,301307.0,309092.0,357078.0,410755.0,394255.0,429905.0,454609.0,494728.0,445071.0,482103.0,472507.0,596021.0
2.01.02,Fornecedores,584124.0,694082.0,947406.0,944604.0,717980.0,1041790.0,1042603.0,1056585.0,1260097.0,1617196.0,1436143.0,2008574.0,2198248.0,2183737.0,2308076.0,3039206.0,2623383.0,2787903.0,2958921.0,3078569.0,3755177.0,3357777.0,4133147.0
2.01.03,Obrigações Fiscais,59516.0,96113.0,0.0,102784.0,72395.0,84235.0,80566.0,98616.0,92553.0,102658.0,108198.0,132164.0,115657.0,164978.0,145007.0,212910.0,288502.0,511963.0,642737.0,419431.0,374463.0,328697.0,328881.0
2.01.04,Empréstimos e Financiamentos,253673.0,304383.0,313178.0,128352.0,89710.0,157627.0,86364.0,233969.0,244039.0,265337.0,268801.0,273105.0,273987.0,269740.0,267280.0,501028.0,620131.0,639652.0,648716.0,420986.0,249077.0,248593.0,535225.0
2.01.05,Outras Obrigações,52123.0,54547.0,113867.0,6788.0,93056.0,11025.0,86127.0,36487.0,32927.0,120741.0,66964.0,38196.0,33367.0,67878.0,78785.0,88331.0,190605.0,351680.0,473666.0,309193.0,371679.0,642292.0,822313.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,1189888.0,1464345.0,1615310.0,1129841.0,1144346.0,1171477.0,1370141.0,1828073.0,1916850.0,2121005.0,2947822.0,2968607.0,3014222.0,3258724.0,3461024.0,3348053.0,3449204.0,3284367.0,3285171.0,4322624.0,4753581.0,5004432.0,6029108.0
2.02.01,Empréstimos e Financiamentos,1075475.0,1358194.0,1527812.0,1054615.0,1073643.0,1097750.0,1258654.0,1760073.0,1851457.0,2051948.0,2889913.0,2895283.0,2948407.0,3185340.0,3385855.0,3241524.0,3336600.0,3178685.0,3185819.0,1852872.0,1885998.0,1866925.0,2086176.0
2.02.02,Outras Obrigações,94591.0,86479.0,66503.0,34665.0,19977.0,25664.0,20285.0,20279.0,25043.0,31170.0,22835.0,25097.0,22170.0,0.0,0.0,29218.0,37542.0,25947.0,35319.0,2141843.0,2444926.0,2633692.0,3734671.0
2.02.03,Tributos Diferidos,4734.0,4517.0,4772.0,23353.0,35157.0,33313.0,76916.0,32534.0,24705.0,24199.0,22798.0,20181.0,17608.0,17715.0,17251.0,17490.0,16448.0,17990.0,0.0,22771.0,33544.0,28707.0,26377.0
2.02.04,Provisões,15088.0,15155.0,16223.0,17208.0,15569.0,14750.0,14286.0,15187.0,15645.0,13688.0,12276.0,28046.0,26037.0,55669.0,57918.0,59821.0,58614.0,61745.0,64033.0,305138.0,389113.0,475108.0,181884.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
