data_fim,trimestre,cd_conta,ds_conta,valor_mil
2020-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,-69477.0
2020-03-31,T1,6.01.01,Caixa Gerado nas Operações,166077.0
2020-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-220346.0
2020-03-31,T1,6.01.03,Outros,-15208.0
2020-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-85268.0
2020-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-32526.0
2020-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-187271.0
2020-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,398263.0
2020-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,210992.0
2020-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,454857.0
2020-06-30,T2,6.01.01,Caixa Gerado nas Operações,460519.0
2020-06-30,T2,6.01.02,Variações nos Ativos e Passivos,9546.0
2020-06-30,T2,6.01.03,Outros,-15208.0
2020-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-201187.0
2020-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,292193.0
2020-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,545863.0
2020-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,398263.0
2020-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,944126.0
2020-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,420495.0
2020-09-30,T3,6.01.01,Caixa Gerado nas Operações,788421.0
2020-09-30,T3,6.01.01.01,Lucro líquido do exercício,534088.0
2020-09-30,T3,6.01.01.02,Depreciação e amortização,81397.0
2020-09-30,T3,6.01.01.03,Amortização s/ Arrendamento,54881.0
2020-09-30,T3,6.01.01.04,Atualização ativos e passivos de arrendamento,39954.0
2020-09-30,T3,6.01.01.05,Provisão para obsolescência e quebras,-2772.0
2020-09-30,T3,6.01.01.06,Provisão para perda esperada,23103.0
2020-09-30,T3,6.01.01.07,"Juros sobre empréstimos, financiamento e debêntures provisionados",55096.0
2020-09-30,T3,6.01.01.08,Baixa de imobilizado,2783.0
2020-09-30,T3,6.01.01.09,Provisão para riscos,1135.0
2020-09-30,T3,6.01.01.10,Resultado de equivalência patrimonial,0.0
2020-09-30,T3,6.01.01.11,Imposto de renda e contribuição social,-1244.0
2020-09-30,T3,6.01.02,Variações nos Ativos e Passivos,-316119.0
2020-09-30,T3,6.01.02.01,Contas a Receber,-200770.0
2020-09-30,T3,6.01.02.02,Estoques,-592090.0
2020-09-30,T3,6.01.02.03,Tributos a recuperar,-50854.0
2020-09-30,T3,6.01.02.04,Depósitos judiciais,-3035.0
2020-09-30,T3,6.01.02.05,Tributos diferidos,0.0
2020-09-30,T3,6.01.02.06,Outros ativos,5765.0
2020-09-30,T3,6.01.02.07,Fornecedores,397482.0
2020-09-30,T3,6.01.02.08,Obrigações trabalhistas e tributárias,141329.0
2020-09-30,T3,6.01.02.09,Tributos parcelados,302.0
2020-09-30,T3,6.01.02.10,Outros passivos,-14248.0
2020-09-30,T3,6.01.03,Outros,-51807.0
2020-09-30,T3,6.01.03.01,Juros pagos,-51807.0
2020-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-369555.0
2020-09-30,T3,6.02.01,Aquisição de imobilizado,-378913.0
2020-09-30,T3,6.02.02,Aplicação em títulos e valores mobiliários,9677.0
2020-09-30,T3,6.02.03,Intangivel,-450.0
2020-09-30,T3,6.02.04,Venda de imobilizado,131.0
2020-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,362782.0
2020-09-30,T3,6.03.01,"Captação de empréstimos, financiamentos e debêntures",649159.0
2020-09-30,T3,6.03.02,Partes relacionadas,-11627.0
2020-09-30,T3,6.03.03,Adiantamento para futuro aumento de capital,69674.0
2020-09-30,T3,6.03.04,Aumento de capital,0.0
2020-09-30,T3,6.03.05,"Amortização de empréstimos, financiamentos e debêntures",-270210.0
2020-09-30,T3,6.03.06,Pagamento passivo de arrendamento,-74214.0
2020-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,413722.0
2020-09-30,T3,6.05.01,Saldo Inicial de Caixa e Equivalentes,398263.0
2020-09-30,T3,6.05.02,Saldo Final de Caixa e Equivalentes,811985.0
2021-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,18725.0
2021-03-31,T1,6.01.01,Caixa Gerado nas Operações,156720.0
2021-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-135815.0
2021-03-31,T1,6.01.03,Outros,-2180.0
2021-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-276986.0
2021-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-57537.0
2021-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2021-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-315798.0
2021-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,2112385.0
2021-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,1796587.0
2021-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,235065.0
2021-06-30,T2,6.01.01,Caixa Gerado nas Operações,347285.0
2021-06-30,T2,6.01.02,Variações nos Ativos e Passivos,-108043.0
2021-06-30,T2,6.01.03,Outros,-4177.0
2021-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-541845.0
2021-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-118582.0
2021-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2021-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,-425362.0
2021-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,2112385.0
2021-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,1687023.0
2021-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,-190602.0
2021-09-30,T3,6.01.01,Caixa Gerado nas Operações,860762.0
2021-09-30,T3,6.01.01.01,Lucro líquido do exercício,560709.0
2021-09-30,T3,6.01.01.02,Depreciação e amortização,193380.0
2021-09-30,T3,6.01.01.03,Amortização s/ Arrendamento,38612.0
2021-09-30,T3,6.01.01.04,Atualização ativos e passivos de arrendamento,41343.0
2021-09-30,T3,6.01.01.05,Provisão para obsolescência e quebras,-2.0
2021-09-30,T3,6.01.01.06,Provisão para perda esperada,5361.0
2021-09-30,T3,6.01.01.07,"Juros sobre empréstimos, financiamento e debêntures provisionados",22226.0
2021-09-30,T3,6.01.01.08,Baixa de imobilizado,2055.0
2021-09-30,T3,6.01.01.09,Provisão para riscos,-2922.0
2021-09-30,T3,6.01.01.10,Resultado de equivalência patrimonial,0.0
2021-09-30,T3,6.01.01.11,Imposto de renda e contribuição social,0.0
2021-09-30,T3,6.01.02,Variações nos Ativos e Passivos,-1045199.0
2021-09-30,T3,6.01.02.01,Contas a Receber,-244217.0
2021-09-30,T3,6.01.02.02,Estoques,-874771.0
2021-09-30,T3,6.01.02.03,Tributos a recuperar,-42420.0
2021-09-30,T3,6.01.02.04,Depósitos judiciais,-1143.0
2021-09-30,T3,6.01.02.05,Tributos diferidos,0.0
2021-09-30,T3,6.01.02.06,Outros ativos,-129865.0
2021-09-30,T3,6.01.02.07,Fornecedores,97999.0
2021-09-30,T3,6.01.02.08,Obrigações trabalhistas e tributárias,77285.0
2021-09-30,T3,6.01.02.09,Tributos parcelados,68614.0
2021-09-30,T3,6.01.02.10,Outros passivos,3319.0
2021-09-30,T3,6.01.03,Outros,-6165.0
2021-09-30,T3,6.01.03.01,Juros pagos,-6165.0
2021-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-790067.0
2021-09-30,T3,6.02.01,Aquisição de imobilizado,-800704.0
2021-09-30,T3,6.02.02,Aplicação em títulos e valores mobiliários,13627.0
2021-09-30,T3,6.02.03,Intangivel,-2840.0
2021-09-30,T3,6.02.05,Aporte de capital em investidas,-150.0
2021-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,-172637.0
2021-09-30,T3,6.03.01,"Captação de empréstimos, financiamentos e debêntures",58.0
2021-09-30,T3,6.03.02,Partes relacionadas,1019.0
2021-09-30,T3,6.03.03,Adiantamento para futuro aumento de capital,0.0
2021-09-30,T3,6.03.04,Aumento de capital,0.0
2021-09-30,T3,6.03.05,"Amortização de empréstimos, financiamentos e debêntures",-77125.0
2021-09-30,T3,6.03.06,Pagamento passivo de arrendamento,-96589.0
2021-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2021-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,-1153306.0
2021-09-30,T3,6.05.01,Saldo Inicial de Caixa e Equivalentes,2112385.0
2021-09-30,T3,6.05.02,Saldo Final de Caixa e Equivalentes,959079.0
2022-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,104733.0
2022-03-31,T1,6.01.01,Caixa Gerado nas Operações,305511.0
2022-03-31,T1,6.01.01.01,Lucro Líquido do exercício,200738.0
2022-03-31,T1,6.01.01.02,Resultado do Equivaência Patrimonial,0.0
2022-03-31,T1,6.01.01.03,Depreciação e Amortização,72195.0
2022-03-31,T1,6.01.01.04,Atualização passivos de arrendamento,22075.0
2022-03-31,T1,6.01.01.05,Provisão para obsolescência e quebras,614.0
2022-03-31,T1,6.01.01.06,Atualização monetária de arrendamentos,-22.0
2022-03-31,T1,6.01.01.07,Provisão para crédito de liquidação duvidosa,0.0
2022-03-31,T1,6.01.01.08,"Juros sobre empréstimos, financiamento e debêntures provisionados",12317.0
2022-03-31,T1,6.01.01.09,Baixa de imobilizado,0.0
