codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,52.3333,22.9844,17.4939,9.8722,10.2667,8.0941,5.2353
P_VPA,P/VPA,Valuation,x,3.0387,1.9308,1.7401,1.6973,1.3901,1.351,0.8738
EV_EBITDA,EV/EBITDA,Valuation,x,18.8734,11.5328,7.3486,6.9857,5.8601,5.1321,3.4762
EV_EBIT,EV/EBIT,Valuation,x,18.8734,14.8681,10.6178,10.308,6.9161,6.801,4.6066
EV_RECEITA,EV/Receita,Valuation,x,1.324,0.858,0.6659,0.6478,0.4507,0.4546,0.3079
DY,Dividend Yield,Valuation,%,,,,,3.0898,3.5363,5.4674
PAYOUT,Payout,Valuation,%,,,,,32.0588,28.2564,28.2564
ROE,ROE,Rentabilidade,%,12.7247,12.6196,15.1912,15.1345,14.2488,18.4263,18.4263
ROA,ROA,Rentabilidade,%,8.8583,8.4698,9.1718,8.3362,7.5596,9.1466,9.1466
ROIC,ROIC,Rentabilidade,%,12.0129,7.9631,10.1079,9.8916,13.0513,12.7242,12.7242
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,7.0153,7.4393,9.0619,9.2735,7.6906,8.8579,8.8579
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,5.8584,4.8422,4.8915,4.6114,4.1604,5.1975,5.1975
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-1.0687,0.9455,0.6959,0.9881,0.2471,0.4437,0.4437
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.1628,0.1724,0.182,0.2796,0.0612,0.1279,0.1279
ICJ,ICJ,Endividamento,x,3.804,3.3947,2.9639,2.5993,2.4913,2.2886,2.2886
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,10.85,11.7334,8.6197,13.3873,18.5142,20.4175,20.4175
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,4.4559,3.8005,3.1962,2.4483,2.5612,1.9309,1.9309
LIQ_SECA,Liquidez Seca,Liquidez,x,2.5332,1.6806,1.7487,1.2472,1.2672,1.0377,1.0377
LIQ_GERAL,Liquidez Geral,Liquidez,x,2.5128,1.858,1.5796,1.4139,1.3825,1.1155,1.1155
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.5121,1.5949,1.6412,1.6368,1.6923,1.5446,1.5446
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,101.9272,113.3947,84.0793,81.6737,81.1892,59.2598,59.2598
PME,PME,Eficiência,dias,100.1647,103.4552,84.5482,87.3806,87.6941,72.727,72.727
NCG_RECEITA,NCG/Receita,Eficiência,%,21.946,25.0587,20.7841,19.97,18.8648,14.548,14.548
