cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,71004783.0,68925716.0,76685875.0,70218773.0,65072182.0,58298383.0,58798559.0,54758969.0,53603663.0,54223304.0,52624152.0,50351780.0,51029271.0,54517369.0,56180777.0,51344416.0,52190060.0,51170654.0,53091558.0,54048736.0,60697020.0,62647813.0,63484846.0,64764475.0,69618690.0,68483413.0,77003202.0,74612666.0,72354180.0,78352342.0,80267128.0,74769525.0,76759564.0,74835364.0,77423566.0,75232462.0,77297571.0,82741560.0,82103769.0,86948529.0,85631889.0,86914266.0,87319904.0
1.01,Ativo Circulante,22969474.0,21944298.0,24273281.0,22294899.0,19929624.0,17355963.0,17919747.0,17916040.0,17803647.0,17940954.0,17521962.0,18028804.0,19606983.0,20704302.0,22227653.0,17563118.0,17611691.0,16937623.0,17546164.0,18278163.0,20651710.0,21807793.0,22178812.0,25038582.0,27803304.0,29892697.0,37087936.0,33428447.0,34723556.0,37420181.0,38044094.0,32219794.0,33424339.0,31347118.0,31899949.0,29540169.0,30075170.0,32166697.0,33069925.0,32802961.0,32249079.0,33366538.0,33463871.0
1.01.01,Caixa e Equivalentes de Caixa,3596384.0,3790669.0,5294356.0,5681778.0,4764871.0,3845394.0,3986525.0,5140117.0,4476287.0,4305641.0,3263050.0,2555433.0,2378183.0,2638013.0,2795394.0,2891217.0,1941977.0,1750949.0,2291544.0,2641713.0,3815937.0,4063725.0,4171185.0,4617274.0,4241931.0,3026287.0,3976157.0,4162748.0,4898186.0,5776762.0,6185668.0,2475896.0,2581920.0,2556083.0,2914569.0,3005688.0,3743165.0,4889582.0,8287186.0,7861818.0,6497048.0,8514872.0,9411541.0
1.01.02,Aplicações Financeiras,2281185.0,1930179.0,1548127.0,1270760.0,794989.0,1067515.0,1312389.0,1024411.0,977466.0,1124769.0,1803822.0,821518.0,870691.0,303724.0,679994.0,459470.0,590403.0,390607.0,1140196.0,3652949.0,2163024.0,2484834.0,3028760.0,4495539.0,4309646.0,4162262.0,6016849.0,3392284.0,3478503.0,2618698.0,2855876.0,3869964.0,4220563.0,2591525.0,4065304.0,2635036.0,2489496.0,2047939.0,757578.0,509030.0,390335.0,472917.0,484010.0
1.01.03,Contas a Receber,5664309.0,5491263.0,5965348.0,5044334.0,4971066.0,4537638.0,4542601.0,4249453.0,4488146.0,4596043.0,4771094.0,3269187.0,3596583.0,4100884.0,4193568.0,3201656.0,3976755.0,3732421.0,3483208.0,2672370.0,3359653.0,3612036.0,4161971.0,3737270.0,5137405.0,5785443.0,6416155.0,5414075.0,6756022.0,7261198.0,6664613.0,4999004.0,5999188.0,5593428.0,5738421.0,4875394.0,5481606.0,5875819.0,5673760.0,5176958.0,6252231.0,5799331.0,5878387.0
1.01.04,Estoques,10190200.0,9532157.0,10040178.0,8781113.0,8117680.0,6763727.0,6911010.0,6332730.0,6836354.0,6995222.0,6811831.0,6701404.0,6980484.0,8479855.0,9124052.0,9167689.0,9377329.0,9531907.0,9005860.0,7659737.0,9512743.0,9515481.0,8886566.0,9169417.0,11956742.0,13801156.0,15653770.0,16861488.0,16317038.0,18464285.0,18811541.0,17817585.0,17184069.0,16980891.0,15815393.0,15227778.0,16043134.0,16547424.0,15914442.0,16504911.0,16558443.0,16042458.0,15272440.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,1173038.0,1145410.0,1315867.0,1445687.0,1267761.0,1141689.0,1166875.0,1166772.0,1025394.0,919279.0,871407.0,935628.0,804499.0,909635.0,941142.0,1031581.0,905645.0,960663.0,911016.0,1029778.0,500336.0,432241.0,587072.0,2332621.0,1584440.0,2478807.0,2881881.0,2903410.0,2615099.0,2491770.0,2716906.0,2249682.0,2704636.0,2804773.0,2617541.0,2029411.0,1728683.0,1982880.0,1664202.0,2100876.0,1975778.0,1811850.0,1693908.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,64358.0,54620.0,109405.0,71227.0,13257.0,0.0,347.0,2557.0,0.0,0.0,758.0,3745634.0,4976543.0,4272191.0,4493503.0,811505.0,819582.0,571076.0,714340.0,621616.0,1300017.0,1699476.0,1343258.0,686461.0,573140.0,638742.0,2143124.0,694442.0,658708.0,807468.0,809490.0,807663.0,733963.0,820418.0,748721.0,1766862.0,589086.0,823053.0,772757.0,649368.0,575244.0,725110.0,723585.0
