data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,1,Ativo Total,632639.0
2015-03-31,T1,1.01,Ativo Circulante,249400.0
2015-03-31,T1,1.01.01,Caixa e Equivalentes de Caixa,956.0
2015-03-31,T1,1.01.02,Aplicações Financeiras,139522.0
2015-03-31,T1,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.01.02.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.01.03,Contas a Receber,65609.0
2015-03-31,T1,1.01.03.01,Clientes,4369.0
2015-03-31,T1,1.01.03.01.01,Consumidores,4547.0
2015-03-31,T1,1.01.03.01.02,(-) Provisão para Créditos de Liquidação Duvidosa,-178.0
2015-03-31,T1,1.01.03.02,Outras Contas a Receber,61240.0
2015-03-31,T1,1.01.03.02.01,Ativo Financeiro - Bens da Concessão,61240.0
2015-03-31,T1,1.01.03.02.02,Contas a Receber - Estado de Goiás,0.0
2015-03-31,T1,1.01.04,Estoques,2885.0
2015-03-31,T1,1.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.01.06,Tributos a Recuperar,0.0
2015-03-31,T1,1.01.06.01,Tributos Correntes a Recuperar,0.0
2015-03-31,T1,1.01.07,Despesas Antecipadas,161.0
2015-03-31,T1,1.01.08,Outros Ativos Circulantes,40267.0
2015-03-31,T1,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.01.08.03,Outros,40267.0
2015-03-31,T1,1.01.08.03.01,Devedores Diversos,38556.0
2015-03-31,T1,1.01.08.03.02,Serviços em Curso,0.0
2015-03-31,T1,1.01.08.03.03,Créditos Fiscais,0.0
2015-03-31,T1,1.01.08.03.04,Outros Créditos,0.0
2015-03-31,T1,1.01.08.03.05,Transações com Partes Relacionadas,1711.0
2015-03-31,T1,1.02,Ativo Não Circulante,383239.0
2015-03-31,T1,1.02.01,Ativo Realizável a Longo Prazo,278374.0
2015-03-31,T1,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.02.01.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.02.01.03,Contas a Receber,0.0
2015-03-31,T1,1.02.01.03.01,Clientes,0.0
2015-03-31,T1,1.02.01.03.02,Outras Contas a Receber,0.0
2015-03-31,T1,1.02.01.04,Estoques,0.0
2015-03-31,T1,1.02.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.02.01.06,Tributos Diferidos,0.0
2015-03-31,T1,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2015-03-31,T1,1.02.01.07,Despesas Antecipadas,0.0
2015-03-31,T1,1.02.01.08,Créditos com Partes Relacionadas,112620.0
2015-03-31,T1,1.02.01.08.01,Créditos com Coligadas,112620.0
2015-03-31,T1,1.02.01.08.03,Créditos com Controladores,0.0
2015-03-31,T1,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2015-03-31,T1,1.02.01.09,Outros Ativos Não Circulantes,165754.0
2015-03-31,T1,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.02.01.09.03,Ativo Financeiro - Bens da Concessão,164887.0
2015-03-31,T1,1.02.01.09.04,Fundos Vinculados,0.0
2015-03-31,T1,1.02.01.09.05,Programa Emergencial Redução Consumo Energia El.,0.0
2015-03-31,T1,1.02.01.09.06,Devedores Diversos,0.0
2015-03-31,T1,1.02.01.09.07,Contas a Receber - Estado de Goiás,0.0
2015-03-31,T1,1.02.01.09.08,Créditos Fiscais,0.0
2015-03-31,T1,1.02.01.09.09,Outros Créditos,867.0
2015-03-31,T1,1.02.01.09.10,Bens e Direitos Destinados à Alienação,0.0
2015-03-31,T1,1.02.01.09.11,(-) Provisão para Créditos de Liquidação Duvidosa,0.0
2015-03-31,T1,1.02.02,Investimentos,71978.0
2015-03-31,T1,1.02.02.01,Participações Societárias,71978.0
2015-03-31,T1,1.02.02.01.01,Participações em Coligadas,7063.0
2015-03-31,T1,1.02.02.01.04,Outras Participações Societárias,64915.0
2015-03-31,T1,1.02.02.02,Propriedades para Investimento,0.0
2015-03-31,T1,1.02.03,Imobilizado,32131.0
2015-03-31,T1,1.02.03.01,Imobilizado em Operação,32131.0
2015-03-31,T1,1.02.03.02,Imobilizado Arrendado,0.0
2015-03-31,T1,1.02.03.03,Imobilizado em Andamento,0.0
2015-03-31,T1,1.02.04,Intangível,756.0
2015-03-31,T1,1.02.04.01,Intangíveis,756.0
2015-03-31,T1,1.02.04.01.01,Contrato de Concessão,756.0
2015-03-31,T1,1.02.04.02,Goodwill,0.0
2015-06-30,T2,1,Ativo Total,641116.0
2015-06-30,T2,1.01,Ativo Circulante,239972.0
2015-06-30,T2,1.01.01,Caixa e Equivalentes de Caixa,254.0
2015-06-30,T2,1.01.02,Aplicações Financeiras,146903.0
2015-06-30,T2,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-06-30,T2,1.01.02.01.01,Títulos para Negociação,0.0
2015-06-30,T2,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-06-30,T2,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-06-30,T2,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-06-30,T2,1.01.03,Contas a Receber,57939.0
2015-06-30,T2,1.01.03.01,Clientes,4516.0
2015-06-30,T2,1.01.03.01.01,Consumidores,4697.0
2015-06-30,T2,1.01.03.01.02,(-) Provisão para Créditos de Liquidação Duvidosa,-181.0
2015-06-30,T2,1.01.03.02,Outras Contas a Receber,53423.0
2015-06-30,T2,1.01.03.02.01,Ativo Financeiro - Bens da Concessão,53423.0
2015-06-30,T2,1.01.03.02.02,Contas a Receber - Estado de Goiás,0.0
2015-06-30,T2,1.01.04,Estoques,2883.0
2015-06-30,T2,1.01.05,Ativos Biológicos,0.0
2015-06-30,T2,1.01.06,Tributos a Recuperar,0.0
2015-06-30,T2,1.01.06.01,Tributos Correntes a Recuperar,0.0
2015-06-30,T2,1.01.07,Despesas Antecipadas,171.0
2015-06-30,T2,1.01.08,Outros Ativos Circulantes,31822.0
2015-06-30,T2,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-06-30,T2,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,1.01.08.03,Outros,31822.0
2015-06-30,T2,1.01.08.03.01,Devedores Diversos,30558.0
2015-06-30,T2,1.01.08.03.02,Serviços em Curso,0.0
2015-06-30,T2,1.01.08.03.03,Créditos Fiscais,0.0
2015-06-30,T2,1.01.08.03.04,Outros Créditos,0.0
2015-06-30,T2,1.01.08.03.05,Transações com Partes Relacionadas,1264.0
2015-06-30,T2,1.02,Ativo Não Circulante,401144.0
2015-06-30,T2,1.02.01,Ativo Realizável a Longo Prazo,288173.0
2015-06-30,T2,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-06-30,T2,1.02.01.01.01,Títulos para Negociação,0.0
2015-06-30,T2,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-06-30,T2,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-06-30,T2,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-06-30,T2,1.02.01.03,Contas a Receber,0.0
2015-06-30,T2,1.02.01.03.01,Clientes,0.0
2015-06-30,T2,1.02.01.03.02,Outras Contas a Receber,0.0
2015-06-30,T2,1.02.01.04,Estoques,0.0
2015-06-30,T2,1.02.01.05,Ativos Biológicos,0.0
2015-06-30,T2,1.02.01.06,Tributos Diferidos,0.0
2015-06-30,T2,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2015-06-30,T2,1.02.01.07,Despesas Antecipadas,0.0
2015-06-30,T2,1.02.01.08,Créditos com Partes Relacionadas,114486.0
2015-06-30,T2,1.02.01.08.01,Créditos com Coligadas,114486.0
2015-06-30,T2,1.02.01.08.03,Créditos com Controladores,0.0
2015-06-30,T2,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2015-06-30,T2,1.02.01.09,Outros Ativos Não Circulantes,173687.0
2015-06-30,T2,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-06-30,T2,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,1.02.01.09.03,Ativo Financeiro - Bens da Concessão,172795.0
2015-06-30,T2,1.02.01.09.04,Fundos Vinculados,0.0
2015-06-30,T2,1.02.01.09.05,Programa Emergencial Redução Consumo Energia El.,0.0
2015-06-30,T2,1.02.01.09.06,Devedores Diversos,0.0
2015-06-30,T2,1.02.01.09.07,Contas a Receber - Estado de Goiás,0.0
2015-06-30,T2,1.02.01.09.08,Créditos Fiscais,0.0
2015-06-30,T2,1.02.01.09.09,Outros Créditos,892.0
2015-06-30,T2,1.02.01.09.10,Bens e Direitos Destinados à Alienação,0.0
2015-06-30,T2,1.02.01.09.11,(-) Provisão para Créditos de Liquidação Duvidosa,0.0
2015-06-30,T2,1.02.02,Investimentos,80057.0
2015-06-30,T2,1.02.02.01,Participações Societárias,80057.0
2015-06-30,T2,1.02.02.01.01,Participações em Coligadas,9493.0
2015-06-30,T2,1.02.02.01.04,Outras Participações Societárias,70564.0
2015-06-30,T2,1.02.02.02,Propriedades para Investimento,0.0
2015-06-30,T2,1.02.03,Imobilizado,31918.0
2015-06-30,T2,1.02.03.01,Imobilizado em Operação,31918.0
2015-06-30,T2,1.02.03.02,Imobilizado Arrendado,0.0
2015-06-30,T2,1.02.03.03,Imobilizado em Andamento,0.0
2015-06-30,T2,1.02.04,Intangível,996.0
2015-06-30,T2,1.02.04.01,Intangíveis,996.0
2015-06-30,T2,1.02.04.01.01,Contrato de Concessão,996.0
2015-06-30,T2,1.02.04.02,Goodwill,0.0
2015-09-30,T3,1,Ativo Total,651511.0
2015-09-30,T3,1.01,Ativo Circulante,255155.0
2015-09-30,T3,1.01.01,Caixa e Equivalentes de Caixa,987.0
2015-09-30,T3,1.01.02,Aplicações Financeiras,149741.0
2015-09-30,T3,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-09-30,T3,1.01.02.01.01,Títulos para Negociação,0.0
2015-09-30,T3,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-09-30,T3,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-09-30,T3,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-09-30,T3,1.01.03,Contas a Receber,78072.0
2015-09-30,T3,1.01.03.01,Clientes,6545.0
2015-09-30,T3,1.01.03.01.01,Consumidores,6732.0
2015-09-30,T3,1.01.03.01.02,(-) Provisão para Créditos de Liquidação Duvidosa,-187.0
2015-09-30,T3,1.01.03.02,Outras Contas a Receber,71527.0
2015-09-30,T3,1.01.03.02.01,Ativo Financeiro - Bens da Concessão,71527.0
2015-09-30,T3,1.01.03.02.02,Contas a Receber - Estado de Goiás,0.0
2015-09-30,T3,1.01.04,Estoques,2891.0
2015-09-30,T3,1.01.05,Ativos Biológicos,0.0
2015-09-30,T3,1.01.06,Tributos a Recuperar,0.0
2015-09-30,T3,1.01.06.01,Tributos Correntes a Recuperar,0.0
2015-09-30,T3,1.01.07,Despesas Antecipadas,172.0
2015-09-30,T3,1.01.08,Outros Ativos Circulantes,23292.0
2015-09-30,T3,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-09-30,T3,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-09-30,T3,1.01.08.03,Outros,23292.0
2015-09-30,T3,1.01.08.03.01,Devedores Diversos,23292.0
2015-09-30,T3,1.01.08.03.02,Serviços em Curso,0.0
2015-09-30,T3,1.01.08.03.03,Créditos Fiscais,0.0
2015-09-30,T3,1.01.08.03.04,Outros Créditos,0.0
2015-09-30,T3,1.01.08.03.05,Transações com Partes Relacionadas,0.0
2015-09-30,T3,1.02,Ativo Não Circulante,396356.0
2015-09-30,T3,1.02.01,Ativo Realizável a Longo Prazo,274808.0
2015-09-30,T3,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-09-30,T3,1.02.01.01.01,Títulos para Negociação,0.0
2015-09-30,T3,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-09-30,T3,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-09-30,T3,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-09-30,T3,1.02.01.03,Contas a Receber,0.0
2015-09-30,T3,1.02.01.03.01,Clientes,0.0
2015-09-30,T3,1.02.01.03.02,Outras Contas a Receber,0.0
2015-09-30,T3,1.02.01.04,Estoques,0.0
2015-09-30,T3,1.02.01.05,Ativos Biológicos,0.0
2015-09-30,T3,1.02.01.06,Tributos Diferidos,0.0
2015-09-30,T3,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2015-09-30,T3,1.02.01.07,Despesas Antecipadas,0.0
2015-09-30,T3,1.02.01.08,Créditos com Partes Relacionadas,115131.0
2015-09-30,T3,1.02.01.08.01,Créditos com Coligadas,115131.0
2015-09-30,T3,1.02.01.08.03,Créditos com Controladores,0.0
2015-09-30,T3,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2015-09-30,T3,1.02.01.09,Outros Ativos Não Circulantes,159677.0
2015-09-30,T3,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-09-30,T3,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-09-30,T3,1.02.01.09.03,Ativo Financeiro - Bens da Concessão,156010.0
2015-09-30,T3,1.02.01.09.04,Fundos Vinculados,0.0
2015-09-30,T3,1.02.01.09.05,Programa Emergencial Redução Consumo Energia El.,0.0
2015-09-30,T3,1.02.01.09.06,Devedores Diversos,0.0
2015-09-30,T3,1.02.01.09.07,Contas a Receber - Estado de Goiás,0.0
2015-09-30,T3,1.02.01.09.08,Créditos Fiscais,0.0
2015-09-30,T3,1.02.01.09.09,Outros Créditos,3667.0
2015-09-30,T3,1.02.01.09.10,Bens e Direitos Destinados à Alienação,0.0
2015-09-30,T3,1.02.01.09.11,(-) Provisão para Créditos de Liquidação Duvidosa,0.0
2015-09-30,T3,1.02.02,Investimentos,89321.0
2015-09-30,T3,1.02.02.01,Participações Societárias,89321.0
2015-09-30,T3,1.02.02.01.01,Participações em Coligadas,11922.0
2015-09-30,T3,1.02.02.01.04,Outras Participações Societárias,77399.0
2015-09-30,T3,1.02.02.02,Propriedades para Investimento,0.0
2015-09-30,T3,1.02.03,Imobilizado,31230.0
2015-09-30,T3,1.02.03.01,Imobilizado em Operação,31230.0
2015-09-30,T3,1.02.03.02,Imobilizado Arrendado,0.0
2015-09-30,T3,1.02.03.03,Imobilizado em Andamento,0.0
