cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,3169164.000,2999925.000,3217394.000,3388233.000,3710950.000,3595118.000,3773628.000,3855585.000,4240672.000,4097008.000,4235834.000,4328166.000,4758289.000,4667727.000,4864711.000,5135292.000,5941264.000,6009611.000,6432253.000,6783669.000,6969805.000,6912245.000,7216328.000,7106066.000,7678922.000,7304364.000,7394521.000,7393841.000,7927898.000,7719156.000,8440565.000,8647329.000,10472148.000,11119721.000,11224641.000,11961762.000,12602523.000,11960234.000,12095976.000,13117891.000,13826592.000,13351642.000,12959072.000,13557603.000,14478421.000,14109529.000,14144806.000,13843140.000,15221939.000,14789780.000,14173630.000,13787909.000,14272668.000,13628751.000,13368371.000,13028569.000,13633267.000,13236323.000,13546372.000,13558233.000
1.01,Ativo Circulante,1638457.000,1404973.000,1561727.000,1678688.000,1954080.000,1833660.000,1984920.000,2016806.000,2372135.000,2131496.000,2227025.000,2264418.000,2619343.000,2497003.000,2658403.000,2824015.000,3563606.000,3539803.000,3797648.000,3966750.000,4131787.000,3960169.000,4222004.000,4136464.000,4734597.000,4285565.000,4341788.000,4420611.000,4983621.000,4750585.000,5353583.000,5491414.000,6519660.000,6002693.000,6096312.000,6765560.000,7509236.000,6858815.000,6782234.000,7857287.000,8701056.000,8169907.000,7725137.000,8043178.000,8832709.000,8541799.000,8518924.000,8083846.000,10203609.000,9806350.000,9113293.000,8700398.000,9142435.000,8592143.000,8379154.000,8093561.000,8781164.000,8229871.000,8442818.000,8506180.000
1.01.01,Caixa e Equivalentes de Caixa,131051.000,27284.000,11461.000,10476.000,110705.000,69360.000,100757.000,105775.000,297238.000,134211.000,87739.000,138943.000,232914.000,240939.000,217771.000,120587.000,358993.000,145244.000,124140.000,236832.000,367355.000,419401.000,506612.000,304350.000,616363.000,433288.000,285733.000,328300.000,410287.000,170494.000,391020.000,398125.000,766719.000,460180.000,432633.000,580610.000,943009.000,579889.000,1945610.000,2914537.000,2921946.000,2349763.000,1543765.000,1471401.000,1725775.000,1407277.000,882608.000,853959.000,2044149.000,1236539.000,713867.000,990624.000,1285983.000,1450010.000,1040031.000,626636.000,1158206.000,816890.000,715624.000,546611.000
1.01.02,Aplicações Financeiras,194619.000,199747.000,150279.000,177204.000,161942.000,166349.000,169945.000,160734.000,163463.000,166292.000,169407.000,172937.000,176937.000,181205.000,185756.000,190835.000,202179.000,270646.000,254799.000,334716.000,285663.000,229282.000,236964.000,326461.000,336951.000,347633.000,357232.000,365496.000,372037.000,377914.000,383728.000,389841.000,395844.000,401834.000,408017.000,618836.000,626483.000,762639.000,424226.000,424085.000,456361.000,404478.000,407572.000,357783.000,364778.000,373616.000,384081.000,364507.000,376391.000,1298106.000,1416638.000,1021043.000,1157387.000,763354.000,699231.000,538155.000,314010.000,324083.000,484470.000,521057.000
1.01.03,Contas a Receber,843138.000,657197.000,768720.000,794359.000,1078578.000,928657.000,1030216.000,1020964.000,1291437.000,1079928.000,1171564.000,1178545.000,1522287.000,1275713.000,1456280.000,1552969.000,2102907.000,1982365.000,2188121.000,2228114.000,2498552.000,2210067.000,2341520.000,2325519.000,2710251.000,2410362.000,2553523.000,2562329.000,3073262.000,2864194.000,3193567.000,3269920.000,3812723.000,3552802.000,3729043.000,3891041.000,4351370.000,3657154.000,2803047.000,3031314.000,3738053.000,3429663.000,3984102.000,4363001.000,5243375.000,4792006.000,5347919.000,4934398.000,5208771.000,4661379.000,4577817.000,4447897.000,4691509.000,4154566.000,4355525.000,4468020.000,5111727.000,4645812.000,4952058.000,5030222.000
1.01.04,Estoques,438168.000,471370.000,547436.000,611303.000,558279.000,593782.000,605091.000,641385.000,537563.000,679602.000,700610.000,674414.000,558654.000,689333.000,687202.000,824830.000,774084.000,977575.000,1028107.000,942009.000,744888.000,899052.000,908893.000,885196.000,662271.000,766746.000,766284.000,800903.000,730258.000,938378.000,1005041.000,1056983.000,926797.000,1067843.000,989635.000,1126407.000,1051781.000,1300724.000,1120860.000,1071470.000,1042909.000,1394014.000,1261180.000,1373060.000,1272577.000,1536753.000,1438408.000,1481721.000,1339277.000,1600872.000,1541056.000,1520670.000,1278381.000,1490499.000,1495304.000,1655154.000,1461441.000,1792576.000,1690002.000,1809309.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,11007.000,17973.000,36107.000,48038.000,20491.000,31917.000,39704.000,60435.000,60735.000,49819.000,67469.000,72071.000,89817.000,68430.000,63605.000,88900.000,99730.000,100733.000,131581.000,153310.000,154522.000,134442.000,168299.000,213318.000,347493.000,250047.000,293663.000,294310.000,330437.000,314414.000,289496.000,294832.000,545816.000,430894.000,432450.000,447519.000,434656.000,450798.000,389968.000,346852.000,343034.000,378693.000,309078.000,280393.000,160489.000,340776.000,365090.000,369167.000,1093205.000,904450.000,755832.000,608401.000,627116.000,629947.000,678574.000,670150.000,605313.000,515016.000,466302.000,460576.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,20474.000,31402.000,47724.000,37308.000,24085.000,43595.000,39207.000,27513.000,21699.000,21644.000,30236.000,27508.000,38734.000,41383.000,47789.000,45894.000,25713.000,63240.000,70900.000,71769.000,80807.000,67925.000,59716.000,81620.000,61268.000,77489.000,85353.000,69273.000,67340.000,85191.000,90731.000,81713.000,71761.000,89140.000,104534.000,101147.000,101937.000,107611.000,98523.000,69029.000,198753.000,213296.000,219440.000,197540.000,65715.000,91371.000,100818.000,80094.000,141816.000,105004.000,108083.000,111763.000,102059.000,103767.000,110489.000,135446.000,130467.000,135494.000,134362.000,138405.000
