cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,48721.031,49511.938,51325.407,51759.369,53925.722,54807.245,56746.431,57554.674,59260.898,58270.353,59299.018,59214.809,58447.351,59153.306,58945.663,58734.878,57201.916,56174.922,57193.287,56244.926,55783.3,56227.505,59332.283,59702.003,61807.524,62540.366,63235.992,60349.453,59738.604,58972.456,59242.184,59270.565,58939.876,59036.321,59591.735,61698.275,63079.117,64402.026,65896.323,65364.391,67153.68,67033.894,69753.7
2.01,Passivo Circulante,24642.694,24315.077,24760.746,24282.647,25081.672,24897.797,25304.53,24886.518,26778.981,25632.529,26005.248,26143.003,25932.072,23799.293,23542.155,23384.631,23037.654,23419.503,24357.566,23394.212,24196.158,24769.576,28021.646,27950.853,28436.696,28102.07,29905.225,29178.767,29618.286,28243.501,28982.067,29160.501,26215.653,25929.736,25650.735,24832.012,24581.518,24680.813,24966.594,23957.764,24645.197,24252.562,25354.409
2.01.01,Obrigações Sociais e Trabalhistas,364.89,341.17,344.4,344.878,347.261,374.476,373.285,379.61,358.457,394.264,420.589,611.7,561.95,563.534,392.897,493.942,475.776,420.223,441.415,437.146,355.912,580.966,644.889,600.221,593.897,559.823,574.535,543.624,517.113,501.078,518.216,557.888,504.515,511.513,520.072,526.119,532.265,559.369,553.613,584.801,562.69,486.646,481.659
2.01.02,Fornecedores,897.248,681.345,907.336,921.515,1383.272,887.089,1286.972,698.686,1126.338,1126.06,1302.847,1165.824,1005.412,1631.654,1323.556,1130.37,552.812,640.29,1171.088,533.591,905.717,865.94,2073.024,2067.311,2760.397,2321.696,1792.564,1032.396,2034.623,1405.945,1331.512,1694.927,1374.789,1182.433,1152.896,944.652,1222.238,1281.759,1597.604,841.303,1225.629,982.01,2045.98
2.01.03,Obrigações Fiscais,1175.03,1064.959,1289.068,1027.601,1104.481,1106.681,1127.154,1171.432,1099.658,1026.078,1101.768,1010.586,1049.362,1074.995,1042.0,963.806,1029.405,1131.812,1192.065,1080.778,1035.374,1131.092,2626.422,3075.889,2722.719,2712.292,5244.612,5657.364,5184.272,4406.278,4966.107,5062.831,2309.826,1952.204,1551.63,1422.661,777.898,685.552,680.116,565.091,758.145,696.79,695.996
2.01.04,Empréstimos e Financiamentos,21148.21,21104.507,21070.488,21206.333,21296.41,21379.818,21469.541,21712.13,21806.298,21903.365,22006.058,22262.224,22369.656,19434.499,19554.415,19714.85,19857.972,20022.865,20194.971,20397.115,20578.377,20765.395,20759.741,20776.705,20771.05,20765.395,20759.74,20776.705,20776.705,20765.395,20759.74,20754.086,20754.086,20754.086,20754.086,20754.086,20754.086,20754.086,20754.086,20754.086,20754.086,20754.086,20754.086
2.01.05,Outras Obrigações,202.881,205.836,202.258,165.76,230.568,282.015,204.772,250.782,1601.315,201.816,210.601,315.681,136.023,132.478,130.539,199.1,170.37,133.814,183.449,169.821,330.731,165.454,539.05,462.39,392.682,374.015,372.603,359.719,315.384,256.887,239.696,302.24,288.948,295.502,256.003,228.265,190.069,190.344,264.2,298.581,252.665,199.027,346.917
2.01.06,Provisões,854.435,917.26,947.196,616.56,719.68,867.718,842.806,673.878,786.915,980.946,963.385,776.988,809.669,962.133,1098.748,882.563,951.319,1070.499,1174.578,775.761,990.047,1260.729,1378.52,968.337,1195.951,1368.849,1161.171,808.959,790.189,907.918,1166.796,788.529,983.489,1233.998,1416.048,956.229,1104.962,1209.703,1116.975,913.902,1091.982,1134.003,1029.771
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,107751.347,108070.987,108434.514,112319.467,112858.508,113290.649,113735.427,114240.433,114726.09,115141.228,115576.068,116049.759,116474.766,116919.261,117246.644,112192.103,112657.292,113747.349,114044.866,108357.224,108547.216,108818.333,107679.005,101679.698,101845.186,102015.857,99662.095,93077.103,92735.566,93821.91,93014.097,86470.636,89216.396,88560.21,89457.045,90742.471,91251.83,91762.911,92199.184,92718.994,93281.454,93953.543,94649.474
