codigo,nome,categoria,unidade,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,74.1532,156.9587,1085.1905,1197.6923,,-667.5,-334.5,-44.8125,-19.2125
P_VPA,P/VPA,Valuation,x,7.1401,19.4313,108.1084,105.1801,11.1655,10.2174,5.181,0.2063,0.0885
EV_EBITDA,EV/EBITDA,Valuation,x,27.2277,120.5059,436.2823,824.8858,302.1277,196.5308,116.725,3.3445,1.9637
EV_EBIT,EV/EBIT,Valuation,x,28.5557,137.2216,667.8009,2053.4853,-3538.3392,433.3879,345.7199,9.4504,5.5489
EV_RECEITA,EV/Receita,Valuation,x,5.4324,25.1696,98.9128,112.876,23.2227,18.2854,8.8597,0.4681,0.2749
DY,Dividend Yield,Valuation,%,0.2004,0.055,0.0108,0.0016,,,,,
PAYOUT,Payout,Valuation,%,6.546,9.1082,11.5986,3.4921,,,,,
ROE,ROE,Rentabilidade,%,21.8626,15.6766,10.4062,5.4373,2.6153,1.5455,1.3262,1.505,1.505
ROA,ROA,Rentabilidade,%,16.1654,9.8307,6.0469,2.896,1.6464,1.0347,0.8854,0.9876,0.9876
ROIC,ROIC,Rentabilidade,%,21.1383,8.5591,11.2545,2.5427,-0.1841,1.4379,0.9287,1.8476,1.8476
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,19.9518,20.8866,22.6717,13.6838,7.6864,9.3041,7.5902,13.9964,13.9964
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,17.228,15.1187,9.1795,5.0624,3.2669,2.7275,2.2458,2.4686,2.4686
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.9725,0.6011,-0.2063,2.6091,3.8994,1.7505,1.8136,0.9275,0.9275
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.2462,0.0974,-0.0511,0.3337,0.146,0.0918,0.0818,0.0792,0.0792
ICJ,ICJ,Endividamento,x,21.0937,4.8162,4.4197,1.5175,-0.0702,0.4037,0.3147,0.4805,0.4805
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,,3.5529,2.066,12.7459,14.7342,18.3053,7.4548,10.6278,10.6278
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.2921,1.2383,1.6515,1.042,1.0612,1.376,2.1086,1.9802,1.9802
LIQ_SECA,Liquidez Seca,Liquidez,x,1.2727,1.1966,1.6035,0.9927,1.0236,1.3282,2.0388,1.9228,1.9228
LIQ_GERAL,Liquidez Geral,Liquidez,x,3.4207,0.9722,1.0118,1.0005,0.5786,0.6691,0.6698,0.7156,0.7156
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.9383,0.4524,0.6328,0.4699,0.3244,0.3794,0.3934,0.3985,0.3985
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,6.5028,16.6117,16.9153,16.4047,19.782,8.1705,7.4061,7.4536,7.4536
PME,PME,Eficiência,dias,2.5075,7.6971,7.027,8.2869,5.5861,4.638,5.1501,5.0111,5.0111
NCG_RECEITA,NCG/Receita,Eficiência,%,-13.0988,-16.217,-12.3079,-12.3469,-10.1722,-8.5877,-6.9288,-6.7124,-6.7124
