cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,5140838.0,5171910.0,5018693.0,5083155.0,5139248.0,5150717.0,5403848.0,5359180.0,5308817.0,5187089.0,4998624.0,4968060.0,4818159.0,4710757.0,4479836.0,4138007.0,4100808.0,4396488.0,4320166.0,4627984.0,4380183.0,4441579.0,4493227.0,4354640.0,4346626.0,4260977.0,4252484.0,4306710.0,4469809.0,4616767.0,5096699.0,5197531.0,5211254.0,5512858.0,5747100.0,6080884.0,6361878.0,6375143.0,6424434.0,6697413.0,6384577.0,6462804.0,6584084.0
2.01,Passivo Circulante,1152737.0,1235454.0,1103786.0,1249605.0,1583618.0,1504205.0,1616166.0,1710014.0,1818457.0,1375633.0,1336059.0,1008991.0,1117047.0,1205430.0,1354357.0,1343288.0,1312913.0,1327707.0,1340742.0,1268913.0,945339.0,982697.0,984502.0,1017436.0,938522.0,961535.0,1046434.0,846822.0,883663.0,1000582.0,1042610.0,990136.0,1006338.0,1031350.0,1119202.0,1457487.0,1614774.0,1770799.0,1889198.0,1921140.0,1528189.0,1376050.0,1489987.0
2.01.01,Obrigações Sociais e Trabalhistas,7502.0,7802.0,9313.0,10373.0,6480.0,6409.0,4315.0,4625.0,4854.0,4658.0,3763.0,4741.0,4944.0,4555.0,6928.0,6978.0,7654.0,8220.0,4054.0,8647.0,10255.0,4947.0,6136.0,8194.0,10906.0,6688.0,8769.0,9155.0,10806.0,6568.0,9999.0,10569.0,13478.0,10129.0,12324.0,13253.0,16028.0,9427.0,12565.0,14844.0,6777.0,10192.0,14670.0
2.01.02,Fornecedores,22463.0,23145.0,20579.0,33816.0,38104.0,37235.0,35524.0,28441.0,40113.0,32332.0,33248.0,41861.0,31527.0,27863.0,21848.0,28414.0,32992.0,34546.0,88374.0,58408.0,45854.0,57356.0,55578.0,62615.0,80536.0,63247.0,59769.0,54063.0,46260.0,43363.0,54458.0,30382.0,47959.0,43032.0,49973.0,41455.0,52734.0,56790.0,52145.0,62095.0,79577.0,98405.0,98858.0
2.01.03,Obrigações Fiscais,5102.0,3291.0,2589.0,2176.0,2839.0,1709.0,1562.0,1138.0,980.0,924.0,902.0,1517.0,842.0,1151.0,1325.0,1476.0,1273.0,2746.0,2108.0,1884.0,1813.0,1759.0,2321.0,5581.0,8649.0,7665.0,5017.0,5161.0,3604.0,5574.0,5337.0,5924.0,6154.0,5568.0,6376.0,6786.0,8072.0,6956.0,6635.0,8068.0,9804.0,6611.0,9799.0
2.01.04,Empréstimos e Financiamentos,673692.0,786856.0,663386.0,778112.0,949144.0,1087960.0,1184679.0,1162441.0,1287646.0,884106.0,856447.0,499146.0,584746.0,690256.0,798222.0,743852.0,681431.0,674809.0,591152.0,478203.0,321030.0,346803.0,356889.0,460706.0,415040.0,499914.0,533701.0,435408.0,436366.0,564808.0,565759.0,644290.0,659341.0,696702.0,664006.0,803573.0,839374.0,867203.0,910377.0,836026.0,554014.0,524430.0,582871.0
2.01.05,Outras Obrigações,418152.0,388695.0,378560.0,395239.0,555235.0,338175.0,354732.0,480164.0,452109.0,423538.0,411921.0,436227.0,472083.0,461363.0,509373.0,550948.0,579227.0,597319.0,644134.0,707948.0,556199.0,559802.0,548899.0,469962.0,412879.0,373856.0,429942.0,335260.0,378961.0,372800.0,397664.0,288450.0,267167.0,261455.0,371286.0,578431.0,663322.0,795880.0,869186.0,960416.0,846184.0,706435.0,755872.0
2.01.06,Provisões,25826.0,25665.0,29359.0,29889.0,31816.0,32717.0,35354.0,33205.0,32755.0,30075.0,29778.0,25499.0,22905.0,20242.0,16661.0,11620.0,10336.0,10067.0,10920.0,13823.0,10188.0,12030.0,14679.0,10378.0,10512.0,10165.0,9236.0,7775.0,7666.0,7469.0,9393.0,10521.0,12239.0,14464.0,15237.0,13989.0,35244.0,34543.0,38290.0,39691.0,31833.0,29977.0,27917.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,2176317.0,2124484.0,2043516.0,1963238.0,1644985.0,1750413.0,1933426.0,1773522.0,1661047.0,2066629.0,2023262.0,2163746.0,1998678.0,1902529.0,1717743.0,1645664.0,1662442.0,1948335.0,1917709.0,1755589.0,1854117.0,1869984.0,1892216.0,1662257.0,1671323.0,1509520.0,1365104.0,1645499.0,1679029.0,1658671.0,2055464.0,2082578.0,2029158.0,2252836.0,2335569.0,2253800.0,2348087.0,2141876.0,1956756.0,2065079.0,2070190.0,2267050.0,2290551.0
2.02.01,Empréstimos e Financiamentos,974625.0,923705.0,1187465.0,1189566.0,1083600.0,1069509.0,1077387.0,1008780.0,928703.0,1343708.0,1369353.0,1551823.0,1405061.0,1295618.0,1114711.0,1075475.0,1025729.0,1333061.0,1168699.0,1023685.0,1089587.0,1188351.0,1254856.0,968465.0,965792.0,821823.0,713021.0,859357.0,913021.0,906141.0,1048952.0,1171660.0,1159759.0,1372965.0,1274013.0,1119735.0,1246702.0,1227979.0,1094180.0,1155652.0,1166360.0,1215945.0,1272425.0
