data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-369654.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,237638.0
2015-12-31,T4,6.01.01.01,Lucro Líquido antes do IRPJ e CSLL,155380.0
2015-12-31,T4,6.01.01.02,Depreciações e Amortizações Acumuladas,5092.0
2015-12-31,T4,6.01.01.03,Provisões para Contingências,3073.0
2015-12-31,T4,6.01.01.04,Tributos Diferidos (PIS e COFINS),1280.0
2015-12-31,T4,6.01.01.05,Apropriações de Encargos s/ Financiamentos,126590.0
2015-12-31,T4,6.01.01.06,Prov. p/ Perdas de Investimentos/Amortização de Ágio,0.0
2015-12-31,T4,6.01.01.07,Resultado da Equivalência,-333.0
2015-12-31,T4,6.01.01.08,Participantes em SCPs,0.0
2015-12-31,T4,6.01.01.09,Participações de Minoritários em Controladas,0.0
2015-12-31,T4,6.01.01.10,Baixa de Investimentos - Risidual,0.0
2015-12-31,T4,6.01.01.11,Ajuste a Valor Presente,-14610.0
2015-12-31,T4,6.01.01.12,Encargos Financeiros s/ Financ. Amort. Capitalizados,-41825.0
2015-12-31,T4,6.01.01.13,Apropriações de Encargos Financeiros s/ Mutuo,-3266.0
2015-12-31,T4,6.01.01.14,Apropriação Programa de Opções de Compra de Ações,0.0
2015-12-31,T4,6.01.01.15,Valor justo Títulos valores mobiliários,0.0
2015-12-31,T4,6.01.01.16,Ganho ou Perdas em investimentos,0.0
2015-12-31,T4,6.01.01.17,Provisão para rescisões de contratos de cliente,6257.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-607292.0
2015-12-31,T4,6.01.02.01,Contas a Receber,-33383.0
2015-12-31,T4,6.01.02.02,Imóveis Destinados a Venda,-2414.0
2015-12-31,T4,6.01.02.03,Impostos e Contribuições a Recuperar,-281.0
2015-12-31,T4,6.01.02.04,Despesas com Vendas,18051.0
2015-12-31,T4,6.01.02.05,Depositos Judiciais,-2185.0
2015-12-31,T4,6.01.02.06,Outros Ativos,-1642.0
2015-12-31,T4,6.01.02.07,Fornecedores,-20377.0
2015-12-31,T4,6.01.02.08,Obrigações Trabalhistas e Tributárias,-4662.0
2015-12-31,T4,6.01.02.09,Adiantamento de Clientes,-492327.0
2015-12-31,T4,6.01.02.10,Credores por Imóveis Compromissados,-19939.0
2015-12-31,T4,6.01.02.11,Dividendos Pagos,0.0
2015-12-31,T4,6.01.02.12,Contas a Pagar,13181.0
2015-12-31,T4,6.01.02.13,Aquisição de Participações Societárias,0.0
2015-12-31,T4,6.01.02.14,Imposto de Renda e contribuição Social Pagos,-23611.0
2015-12-31,T4,6.01.02.15,Pagamento de Juros sobre Financiamento,-40203.0
2015-12-31,T4,6.01.02.16,Recebimento de Juros sobre empréstimos e mútuos,0.0
2015-12-31,T4,6.01.02.17,Aplicações Financeiras,0.0
2015-12-31,T4,6.01.02.18,Contas a receber de partes relacionadas,2500.0
2015-12-31,T4,6.01.02.19,Contas a pagar a partes relacionadas,0.0
2015-12-31,T4,6.01.03,Outros,0.0
2015-12-31,T4,6.01.03.01,Distribuição de Dividendos,0.0
2015-12-31,T4,6.01.03.02,Integralização de Capital - Novas Ações,0.0
2015-12-31,T4,6.01.03.03,Despesas com Oferta Publica de Ações,0.0
2015-12-31,T4,6.01.03.04,Integralização de Capital,0.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-12154.0
2015-12-31,T4,6.02.01,Adições no Ativo Imobilizado,3415.0
2015-12-31,T4,6.02.02,Adições em Investimentos,-13009.0
2015-12-31,T4,6.02.03,Adições em Intangíveis,130.0
2015-12-31,T4,6.02.04,Aplicações Financeiras (Cepac),0.0
2015-12-31,T4,6.02.05,Aplicações financeiras,-6388.0
2015-12-31,T4,6.02.06,Aquisições de participações societárias,11387.0
2015-12-31,T4,6.02.08,Aquisições de Cepac,-7689.0
2015-12-31,T4,6.02.09,Alienações de Cepac,0.0
2015-12-31,T4,6.02.10,Outras Movimentações Cepac,0.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,282295.0
2015-12-31,T4,6.03.01,Capitalização Empréstimos e Financiamentos,1399770.0
2015-12-31,T4,6.03.02,Débitos com Participações em Sociedades,0.0
2015-12-31,T4,6.03.03,Partes Relacionadas do Ativo,0.0
2015-12-31,T4,6.03.04,Partes Relacionadas do Passivo,0.0
2015-12-31,T4,6.03.05,Pagamento de Emprestimos e Financiamentos,-972316.0
2015-12-31,T4,6.03.06,Pagamento de Juros sobre Financiamento,0.0
2015-12-31,T4,6.03.07,Aumento (Diminuição) das Participações Minoritárias,-27915.0
2015-12-31,T4,6.03.08,Pagamento de Dividendos,-100110.0
2015-12-31,T4,6.03.09,Diminuição Débitos com Participantes em SCPs,-319.0
2015-12-31,T4,6.03.10,Integralização de Capital - Novas Ações,0.0
2015-12-31,T4,6.03.11,Empréstimo,-5050.0
2015-12-31,T4,6.03.12,Recebimento de empréstimos e mutuos principal,2907.0
2015-12-31,T4,6.03.13,Ações em tesouraria,-14672.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-99513.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,235917.0
2015-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,136404.0
2016-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-224514.0
2016-12-31,T4,6.01.01,Caixa Gerado nas Operações,-10900.0
2016-12-31,T4,6.01.01.01,Lucro Líquido antes do IRPJ e CSLL,-94718.0
2016-12-31,T4,6.01.01.02,Depreciações e Amortizações Acumuladas,3956.0
2016-12-31,T4,6.01.01.03,Provisões para Contingências,3339.0
2016-12-31,T4,6.01.01.04,Tributos Diferidos (PIS e COFINS),-4104.0
2016-12-31,T4,6.01.01.05,Apropriações de Encargos s/ Financiamentos,144978.0
2016-12-31,T4,6.01.01.06,Prov. p/ Perdas de Investimentos/Amortização de Ágio,0.0
2016-12-31,T4,6.01.01.07,Resultado da Equivalência,-430.0
2016-12-31,T4,6.01.01.08,Participantes em SCPs,0.0
