codigo,nome,categoria,unidade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,902894.1,2777034.05,6942436.3,5901328.56,3844883.06,1419926.65,1896631.78,3535087.29,2724581.53,11993056.09,1288985.82,496587.48,227546.82,410922.79,165975.33,477848.33,323919.59
P_L,P/L,Valuation,x,4.9594,13.0166,25.5128,19.4045,18.2432,20.6166,-18.377,-11.4359,-7.9916,-115.1031,20.8055,3.4271,2.112,2.3775,1.0181,3.6278,2.4592
P_VPA,P/VPA,Valuation,x,1.2405,3.0551,4.8726,3.4443,2.1612,0.7592,1.0112,1.9691,2.3711,7.4794,0.7696,0.2737,0.1071,0.1734,0.0612,0.1704,0.1155
EV_EBITDA,EV/EBITDA,Valuation,x,5.8046,14.0132,24.2087,15.1277,16.1232,27.5713,-57.6853,-21.0413,-13.9872,992.5443,42.6919,9.3915,11.5969,9.0425,6.9867,11.3366,10.467
EV_EBIT,EV/EBIT,Valuation,x,5.8046,14.0132,24.2087,15.1277,16.1232,27.5713,-57.6853,-21.0413,-13.9872,992.5443,42.6919,9.3915,11.5969,9.0425,6.9867,11.3366,10.467
EV_RECEITA,EV/Receita,Valuation,x,1.1646,2.8143,5.372,3.5473,2.7275,2.3346,4.2119,10.1035,6.8229,10.0039,2.3296,1.493,1.8843,1.6114,1.3199,1.7865,1.6495
DY,Dividend Yield,Valuation,%,0.7292,0.7113,0.3754,0.4417,0.6779,1.8356,1.7378,1.3101,1.6998,0.5644,1.0503,2.7261,5.9494,3.2945,8.1565,2.8331,4.1793
PAYOUT,Payout,Valuation,%,3.6164,9.2581,9.5782,8.5702,12.3667,37.8432,-31.9355,-14.9822,-13.5844,-64.9639,21.8512,9.3429,12.565,7.8325,8.3043,10.2776,10.2776
ROE,ROE,Rentabilidade,%,25.0139,26.0682,23.3196,19.382,12.0695,3.7746,-5.5103,-16.8415,-23.1581,-7.5708,3.7795,8.3052,5.4702,7.6914,6.4171,4.8948,4.8948
ROA,ROA,Rentabilidade,%,8.6727,9.0218,7.9851,6.6919,4.2337,1.3591,-1.9767,-5.9866,-7.488,-2.3772,1.3794,3.3459,2.2672,3.065,2.5515,2.0251,2.0251
ROIC,ROIC,Rentabilidade,%,13.4127,10.7832,9.6368,11.1029,6.9424,2.086,-1.1505,-4.698,-7.4245,0.3402,1.3212,3.6393,2.6962,3.7382,3.7518,2.6967,2.6967
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,20.0629,20.0829,22.1905,23.4491,16.9163,8.4675,-7.3016,-48.0175,-48.7795,1.0079,5.4569,15.8974,16.2487,17.8205,18.8923,15.7587,15.7587
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,18.4424,18.1027,18.9984,15.6376,11.4186,5.2679,-11.4426,-59.6599,-53.8082,-8.0714,6.3619,15.2847,11.8862,13.5446,12.8324,11.7257,11.7257
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.2458,2.2801,2.3659,2.1874,3.809,14.745,-28.8861,-6.8327,-5.1717,70.7815,18.4355,6.0965,10.0519,7.2355,6.2951,8.6372,8.6372
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.339,0.5937,0.5278,0.5822,0.6685,0.8728,1.0142,0.9469,1.3911,0.5743,0.5849,0.5064,0.6968,0.6944,0.5573,0.5454,0.5454
ICJ,ICJ,Endividamento,x,15.2762,15.1254,9.2252,13.5392,6.5117,1.6997,-0.6347,-1.6796,-1.776,0.1002,0.9714,2.3756,1.8258,3.2226,2.4026,2.2486,2.2486
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,53.054,62.5932,44.7251,42.9114,49.5688,39.5447,53.5386,24.3371,40.8861,31.8401,32.2359,33.6283,35.4795,41.7808,41.976,31.4166,31.4166
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.5752,2.1928,2.2717,2.9492,2.4082,3.0507,2.2892,3.6219,1.9693,2.7501,3.1243,3.1523,3.0362,2.1979,1.5233,1.8419,1.8419
LIQ_SECA,Liquidez Seca,Liquidez,x,1.6159,1.2866,1.3712,1.6267,1.2117,1.382,1.0429,1.4486,0.4568,0.9205,1.0858,1.0318,0.8789,0.7814,0.837,0.7554,0.7554
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.5044,1.515,1.5003,1.5214,1.5307,1.5691,1.5109,1.5045,1.2685,1.4313,1.5001,1.516,1.448,1.403,1.3077,1.3238,1.3238
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.4703,0.4481,0.3422,0.3966,0.3653,0.2572,0.1683,0.1043,0.1531,0.2789,0.2236,0.2201,0.1744,0.2099,0.1897,0.1706,0.1706
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,520.0642,546.9881,627.9432,642.6069,627.4537,1103.2941,1529.7488,2167.4989,1235.1076,867.2055,1142.3997,1053.5553,1341.7666,1017.7766,778.8335,943.5781,943.5781
PME,PME,Eficiência,dias,314.9045,325.4013,377.9711,403.153,405.2901,745.0812,952.6437,1438.6138,1037.8159,733.4113,955.1554,927.2366,1176.6646,828.1826,562.2037,778.0422,778.0422
NCG_RECEITA,NCG/Receita,Eficiência,%,96.8631,104.8977,107.2904,122.0478,120.3463,229.8747,343.4928,539.1673,288.0307,164.0695,223.0901,198.5276,256.4947,178.0067,107.0978,134.5064,134.5064
