data_fim,trimestre,cd_conta,ds_conta,valor_mil
2020-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,26614.0
2020-03-31,T1,6.01.01,Caixa Gerado nas Operações,27228.0
2020-03-31,T1,6.01.01.01,Lucro Liquido antes IRPJ e CSLL,17714.0
2020-03-31,T1,6.01.01.02,Depreciações e amortizações,118.0
2020-03-31,T1,6.01.01.03,Tributos diferidos,0.0
2020-03-31,T1,6.01.01.04,Resultado de equivalência patrimonial,-25108.0
2020-03-31,T1,6.01.01.05,Encargos sobre financiamentos não liquidados,28311.0
2020-03-31,T1,6.01.01.06,Baixa de investimentos,0.0
2020-03-31,T1,6.01.01.07,Baixa de propriedades para investimento,0.0
2020-03-31,T1,6.01.01.08,Efeito de mudanças na participação em controladas (compras e vendas),0.0
2020-03-31,T1,6.01.01.09,Provisão para perda esperada com créditos de liquidação duvidosa,5499.0
2020-03-31,T1,6.01.01.10,Variação do valor justo de propriedades para investimento,0.0
2020-03-31,T1,6.01.01.11,Provisão para demandas judiciais,0.0
2020-03-31,T1,6.01.01.12,Atualização sobre contas a pagar de aquisição de imóveis,694.0
2020-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-614.0
2020-03-31,T1,6.01.02.01,Contas a receber,-4123.0
2020-03-31,T1,6.01.02.02,Adiantamentos,376.0
2020-03-31,T1,6.01.02.03,Tributos a recuperar,2215.0
2020-03-31,T1,6.01.02.04,Outros ativos,-2059.0
2020-03-31,T1,6.01.02.05,Fornecedores,1862.0
2020-03-31,T1,6.01.02.06,Obrigações trabalhistas e tributárias,-2860.0
2020-03-31,T1,6.01.02.07,Contas a pagar,0.0
2020-03-31,T1,6.01.02.08,Provisão para perda de investimentos,0.0
2020-03-31,T1,6.01.02.09,Contas a pagar aquisição de imóveis,0.0
2020-03-31,T1,6.01.02.10,Outros passivos,3975.0
2020-03-31,T1,6.01.03,Outros,0.0
2020-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-11290.0
2020-03-31,T1,6.02.01,Investimentos,-1748.0
2020-03-31,T1,6.02.03,Títulos e valores mobiliários,2339.0
2020-03-31,T1,6.02.04,Acréscimo do ativo imobilizado e intangível,-96.0
2020-03-31,T1,6.02.05,Propriedade para investimento,-30159.0
2020-03-31,T1,6.02.09,Efeito das participações acionistas não controladores,18614.0
2020-03-31,T1,6.02.10,Imposto de renda e contribuição social pagos,-240.0
2020-03-31,T1,6.02.12,Aqusições de imóveis,0.0
2020-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-33418.0
2020-03-31,T1,6.03.01,Captação de empréstimos e financiamentos,4548.0
2020-03-31,T1,6.03.02,Pagamentos de empréstimos e financiamentos,-34901.0
2020-03-31,T1,6.03.03,Pagamento de aquisições de imóveis,-3065.0
2020-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-18094.0
2020-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,59765.0
2020-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,41671.0
2020-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,17452.0
2020-06-30,T2,6.01.01,Caixa Gerado nas Operações,8795.0
2020-06-30,T2,6.01.01.01,Lucro Liquido antes IRPJ e CSLL,-6378.0
2020-06-30,T2,6.01.01.02,Depreciações e amortizações,252.0
2020-06-30,T2,6.01.01.04,Resultado de equivalência patrimonial,-5232.0
2020-06-30,T2,6.01.01.05,Encargos sobre financiamentos não liquidados,18688.0
2020-06-30,T2,6.01.01.12,Atualização sobre contas a pagar de aquisição de imóveis,1465.0
2020-06-30,T2,6.01.02,Variações nos Ativos e Passivos,8657.0
2020-06-30,T2,6.01.02.01,Contas a receber,-2444.0
2020-06-30,T2,6.01.02.02,Adiantamentos,5256.0
2020-06-30,T2,6.01.02.03,Tributos a recuperar,2022.0
2020-06-30,T2,6.01.02.04,Outros ativos,-1960.0
2020-06-30,T2,6.01.02.05,Fornecedores,985.0
2020-06-30,T2,6.01.02.06,Obrigações trabalhistas e tributárias,-828.0
2020-06-30,T2,6.01.02.10,Outros passivos,5626.0
2020-06-30,T2,6.01.03,Outros,0.0
2020-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-36115.0
2020-06-30,T2,6.02.01,Investimentos,-13865.0
2020-06-30,T2,6.02.02,Dividendos recebidos,0.0
2020-06-30,T2,6.02.03,Títulos e valores mobiliários,-907.0
2020-06-30,T2,6.02.04,Acréscimo do ativo imobilizado e intangível,-756.0
2020-06-30,T2,6.02.05,Propriedade para investimento,-49411.0
2020-06-30,T2,6.02.08,Transações de capital,0.0
2020-06-30,T2,6.02.09,Efeito das participações acionistas não controladores,29605.0
2020-06-30,T2,6.02.10,Imposto de renda e contribuição social pagos,-780.0
2020-06-30,T2,6.02.11,Outras movimentações,-1.0
2020-06-30,T2,6.02.12,Aquisição de Imoveis,0.0
2020-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,29611.0
2020-06-30,T2,6.03.01,Captação de empréstimos e financiamentos,64189.0
2020-06-30,T2,6.03.02,Pagamentos de empréstimos e financiamentos,-29546.0
2020-06-30,T2,6.03.03,Pagamentos de aquisições de imóveis,-5032.0
2020-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,10948.0
2020-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,59765.0
2020-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,70713.0
2020-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,72288.0
2020-09-30,T3,6.01.01,Caixa Gerado nas Operações,47998.0
2020-09-30,T3,6.01.01.01,Lucro / Prejuízo antes IRPJ e CSLL,3388.0
2020-09-30,T3,6.01.01.02,Depreciações e amortizações,386.0
2020-09-30,T3,6.01.01.04,Resultado de equivalência patrimonial,-19279.0
2020-09-30,T3,6.01.01.05,Encargos sobre financiamentos não liquidados,29456.0
2020-09-30,T3,6.01.01.06,Provisão para perda esperada com créditos de liquidação duvidosa,6244.0
2020-09-30,T3,6.01.01.07,Baixa de investimentos,0.0
2020-09-30,T3,6.01.01.08,Encargos sobre debêntures não liquidados,22114.0
2020-09-30,T3,6.01.01.09,Baixa de propriedades para investimento,3394.0
2020-09-30,T3,6.01.01.12,Atualização sobre contas a pagar de aquisição de imóveis,2295.0
2020-09-30,T3,6.01.02,Variações nos Ativos e Passivos,24290.0
2020-09-30,T3,6.01.02.01,Contas a receber,-11950.0
2020-09-30,T3,6.01.02.02,Adiantamentos,3481.0
2020-09-30,T3,6.01.02.03,Tributos a recuperar,1223.0
2020-09-30,T3,6.01.02.04,Outros ativos,-3417.0
2020-09-30,T3,6.01.02.05,Fornecedores,2822.0
2020-09-30,T3,6.01.02.06,Obrigações trabalhistas e tributárias,-2130.0
2020-09-30,T3,6.01.02.10,Outros passivos,34261.0
2020-09-30,T3,6.01.03,Outros,0.0
2020-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-37356.0
2020-09-30,T3,6.02.01,Investimentos,-44125.0
2020-09-30,T3,6.02.02,Dividendos recebidos,1551.0
2020-09-30,T3,6.02.03,Títulos e valores mobiliários,47139.0
2020-09-30,T3,6.02.04,Acréscimo do ativo imobilizado e intangível,-951.0
2020-09-30,T3,6.02.05,Propriedades para Investimento,-54606.0
2020-09-30,T3,6.02.08,Transações de capital,0.0
2020-09-30,T3,6.02.09,Efeito das participações acionistas não controladores,15024.0
2020-09-30,T3,6.02.10,Imposto de renda e contribuição social pagos,-1384.0
2020-09-30,T3,6.02.11,Outras movimentações,-4.0
2020-09-30,T3,6.02.12,Aquisição de Imoveis,0.0
2020-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,-63525.0
2020-09-30,T3,6.03.01,Captação de empréstimos e financiamentos,70104.0
2020-09-30,T3,6.03.02,Pagamentos de empréstimos e financiamentos,-44361.0
2020-09-30,T3,6.03.03,Pagamentos de aquisições de imóveis,-65382.0
2020-09-30,T3,6.03.04,Captação de debêntures,0.0
2020-09-30,T3,6.03.05,Pagamentos de debêntures,-23886.0
2020-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,-28593.0
2020-09-30,T3,6.05.01,Saldo Inicial de Caixa e Equivalentes,59765.0
2020-09-30,T3,6.05.02,Saldo Final de Caixa e Equivalentes,31172.0
2021-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,38786.0
2021-03-31,T1,6.01.01,Caixa Gerado nas Operações,-3223.0
2021-03-31,T1,6.01.01.01,Lucro / Prejuízo antes IRPJ e CSLL,-14341.0
2021-03-31,T1,6.01.01.02,Depreciações e amortizações,144.0
2021-03-31,T1,6.01.01.04,Resultado de equivalência patrimonial,222.0
2021-03-31,T1,6.01.01.05,Encargos sobre financiamentos não liquidados,-5959.0
2021-03-31,T1,6.01.01.06,Provisão para perda esperada com créditos de liquidação duvidosa,-597.0
2021-03-31,T1,6.01.01.07,Baixa de investimentos,0.0
2021-03-31,T1,6.01.01.08,Encargos sobre debêntures não liquidados,15387.0
2021-03-31,T1,6.01.01.09,Baixa de propriedades para investimento,0.0
2021-03-31,T1,6.01.01.10,Variação do valor justo de propriedades para investimento,0.0
2021-03-31,T1,6.01.01.11,Efeito de mudanças na participação em controladas (compras e vendas),0.0
2021-03-31,T1,6.01.01.12,Atualização sobre contas a pagar de aquisição de imóveis,1921.0
2021-03-31,T1,6.01.01.13,Provisão para demandas judiciais,0.0
2021-03-31,T1,6.01.02,Variações nos Ativos e Passivos,42009.0
2021-03-31,T1,6.01.02.01,Contas a receber,1229.0
2021-03-31,T1,6.01.02.02,Adiantamentos,-1380.0
2021-03-31,T1,6.01.02.03,Tributos a recuperar,867.0
2021-03-31,T1,6.01.02.04,Outros ativos,4728.0
