codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,-49.761,4.3479,5.5165,3.554,1.6979,3.949,4.3315
P_VPA,P/VPA,Valuation,x,0.2914,0.2887,0.1406,0.1715,0.078,0.1308,0.1434
EV_EBITDA,EV/EBITDA,Valuation,x,,4.0481,5.3949,3.5191,5.6894,6.5411,6.6658
EV_EBIT,EV/EBIT,Valuation,x,,4.0481,5.3949,3.5191,5.6894,6.5411,6.6658
EV_RECEITA,EV/Receita,Valuation,x,,14.2549,8.601,9.9496,9.8416,8.4948,8.6567
DY,Dividend Yield,Valuation,%,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,
ROE,ROE,Rentabilidade,%,2.0092,9.7161,4.9942,10.2677,4.7711,6.5116,6.5116
ROA,ROA,Rentabilidade,%,1.0482,5.6558,2.9933,5.9573,2.7715,3.6474,3.6474
ROIC,ROIC,Rentabilidade,%,2.7057,6.9832,4.4414,7.5536,4.3038,4.3728,4.3728
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,113.0669,352.1422,159.4274,282.73,172.9805,129.8671,129.8671
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,35.4273,205.3184,85.5309,174.216,83.1527,82.737,82.737
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,8.7986,1.8545,3.8465,2.4388,4.8732,5.2544,5.2544
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.5642,0.2441,0.3492,0.3872,0.4658,0.534,0.534
ICJ,ICJ,Endividamento,x,1.1652,2.5077,1.8447,3.4095,1.8839,1.4712,1.4712
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,6.9925,9.5977,8.6915,7.1612,9.4035,10.1028,10.1028
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.609,2.3854,1.1951,1.649,1.6366,1.5661,1.5661
LIQ_SECA,Liquidez Seca,Liquidez,x,0.609,2.3854,1.1951,1.649,1.6366,1.5661,1.5661
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.154,0.5086,0.2955,0.3028,0.3011,0.2932,0.2932
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.0296,0.0233,0.0329,0.0327,0.032,0.0433,0.0433
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-72.5536,-82.9281,-85.5783,-40.1552,-16.3748,-14.7171,-14.7171
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,-197.2909,-70.3772,-101.3665,55.661,109.7661,100.1463,100.1463
