data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,3159728.0
2010-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-1353303.0
2010-12-31,T4,3.03,Resultado Bruto,1806425.0
2010-12-31,T4,3.04,Despesas/Receitas Operacionais,-1194469.0
2010-12-31,T4,3.04.01,Despesas com Vendas,-1069012.0
2010-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-196012.0
2010-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2010-12-31,T4,3.04.04,Outras Receitas Operacionais,147310.0
2010-12-31,T4,3.04.05,Outras Despesas Operacionais,-76755.0
2010-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2010-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,611956.0
2010-12-31,T4,3.06,Resultado Financeiro,-183230.0
2010-12-31,T4,3.06.01,Receitas Financeiras,147256.0
2010-12-31,T4,3.06.02,Despesas Financeiras,-330486.0
2010-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,428726.0
2010-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-166825.0
2010-12-31,T4,3.08.01,Corrente,134652.0
2010-12-31,T4,3.08.02,Diferido,-301477.0
2010-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,261901.0
2010-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2010-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2010-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,261901.0
2010-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,261901.0
2010-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,0.0
2010-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2010-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2010-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2010-12-31,T4,3.99.02.01,PNNR,0.0
2011-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,3324630.0
2011-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-1320566.0
2011-12-31,T4,3.03,Resultado Bruto,2004064.0
2011-12-31,T4,3.04,Despesas/Receitas Operacionais,-1583055.0
2011-12-31,T4,3.04.01,Despesas com Vendas,-1283048.0
2011-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-259856.0
2011-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2011-12-31,T4,3.04.04,Outras Receitas Operacionais,204676.0
2011-12-31,T4,3.04.05,Outras Despesas Operacionais,-244827.0
2011-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2011-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,421009.0
2011-12-31,T4,3.06,Resultado Financeiro,-608426.0
2011-12-31,T4,3.06.01,Receitas Financeiras,268084.0
2011-12-31,T4,3.06.02,Despesas Financeiras,-876510.0
2011-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-187417.0
