data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,242945.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,442805.0
2015-12-31,T4,6.01.01.01,Lucro antes do imposto de renda e contribuição social,-521200.0
2015-12-31,T4,6.01.01.02,"Encargos, rendimentos financeiros e atualizações monetárias",276921.0
2015-12-31,T4,6.01.01.03,Depreciação e amortização,108530.0
2015-12-31,T4,6.01.01.04,Perdas sobre contas a receber,7628.0
2015-12-31,T4,6.01.01.05,Provisões (reversões) de Processos Judiciais,128.0
2015-12-31,T4,6.01.01.06,Atualização monetária de processos judicias,0.0
2015-12-31,T4,6.01.01.07,Atualização de depósitos judiciais,-167.0
2015-12-31,T4,6.01.01.08,Equivalência patrimonial,760252.0
2015-12-31,T4,6.01.01.09,Resultado na alienação e baixa de ativo,-28551.0
2015-12-31,T4,6.01.01.10,Ganho na apuração do valor justo,0.0
2015-12-31,T4,6.01.01.11,Participação de empregados e administradores,0.0
2015-12-31,T4,6.01.01.12,Perda na baixa de ativo permanente,0.0
2015-12-31,T4,6.01.01.13,Receitas diferidas,-38160.0
2015-12-31,T4,6.01.01.14,Atualização do programa de Refinanciamento Fiscal,0.0
2015-12-31,T4,6.01.01.15,Reclassificação ajustes reflexos dos investimentos,-120216.0
2015-12-31,T4,6.01.01.16,Deságio em investimentos,0.0
2015-12-31,T4,6.01.01.17,Remuneração baseada em ações,2876.0
2015-12-31,T4,6.01.01.18,Ganho (perda) de participação,-2431.0
2015-12-31,T4,6.01.01.19,Prescrição de dividendos,-294.0
2015-12-31,T4,6.01.01.20,"Outras receitas, líquidas das despesas",-2511.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,133488.0
2015-12-31,T4,6.01.02.01,Contas a receber,18506.0
2015-12-31,T4,6.01.02.02,Estoques,-305.0
2015-12-31,T4,6.01.02.03,Tributos,38393.0
2015-12-31,T4,6.01.02.04,Aplicações financeiras mantidas para negociação,0.0
2015-12-31,T4,6.01.02.05,Resgate de aplicações financeiras mantidas para negociação,0.0
2015-12-31,T4,6.01.02.06,Despesas antecipadas,0.0
2015-12-31,T4,6.01.02.07,Fornecedores,-12174.0
2015-12-31,T4,6.01.02.08,"Salários, encargos e benefícios",5233.0
2015-12-31,T4,6.01.02.09,Provisões,0.0
2015-12-31,T4,6.01.02.10,Provisão para fundo de pensão,0.0
2015-12-31,T4,6.01.02.11,Depósitos e bloqueios judiciais,-58.0
2015-12-31,T4,6.01.02.12,Outras contas ativas e passivas,83893.0
2015-12-31,T4,6.01.03,Outros,-333348.0
2015-12-31,T4,6.01.03.01,Encargos financiamentos pagos,-236451.0
2015-12-31,T4,6.01.03.02,Imposto de renda e contribuição social pagos  - Empresa,-98379.0
2015-12-31,T4,6.01.03.03,Imposto de renda e contribuição social pagos - Terceiros,0.0
2015-12-31,T4,6.01.03.04,Dividendos e juros sobre o capital próprio recebidos,1482.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-255857.0
2015-12-31,T4,6.02.01,Ativo financeiro disponível para venda,0.0
2015-12-31,T4,6.02.02,Aquisições de bens do ativo imobilizado e intangível,-388246.0
2015-12-31,T4,6.02.03,Transações com partes relacionadas,-14807.0
2015-12-31,T4,6.02.04,"Aumento de investimentos permanentes, menos caixa líquido incluido na aquisição",-59682.0
2015-12-31,T4,6.02.05,Depósitos e bloqueios judiciais,0.0
2015-12-31,T4,6.02.06,Resgates judiciais de depósitos e bloqueios judiciais,0.0
2015-12-31,T4,6.02.07,Recursos obtidos na venda de bens,0.0
2015-12-31,T4,6.02.08,Caixa líquido recebido na venda de participações societárias,0.0
2015-12-31,T4,6.02.09,Créditos entre empresas ligadas - Recebimento,0.0
2015-12-31,T4,6.02.10,Caixa restrito,0.0
2015-12-31,T4,6.02.11,Aplicações financeiras - Títulos mantidos para negociação,206878.0
2015-12-31,T4,6.02.12,Caixa líquido adquirido da investida,0.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-113331.0
2015-12-31,T4,6.03.01,Captações líquidas de custos,197792.0
2015-12-31,T4,6.03.02,"Pagamentos de principal de empréstimos, financiamentos e debêntures",-269876.0
2015-12-31,T4,6.03.03,Transações com partes relacionadas,0.0
2015-12-31,T4,6.03.04,Aquisição de ações de controladas e recompra de ações,-13119.0
2015-12-31,T4,6.03.05,Autorizações e concessões,0.0
2015-12-31,T4,6.03.06,Programa de Refinanciamento Fiscal,0.0
2015-12-31,T4,6.03.07,Pagamento de dividendos e juros sobre o capital próprio,-29629.0
2015-12-31,T4,6.03.08,Aumento de capital de controladas,1501.0
2015-12-31,T4,6.03.09,Pagamento de ações preferenciais,0.0
2015-12-31,T4,6.03.10,Variação caixa advindo de mudança percentual na reorganização societária,0.0
2015-12-31,T4,6.03.11,Reembolso de ações,0.0
2015-12-31,T4,6.03.12,Bonificação de ações,0.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-126243.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,259126.0
2015-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,132883.0
2016-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,283641.0
