cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
3.01,Receita de Venda de Bens e/ou Serviços,73874.0,109897.0,89331.0,177915.0,16881.0,37465.0,11903.0,2601.0,14450.0,10230.0,5859.0,9264.0,3526.0,2252.0,28391.0,14698.0,4847.0,5758.0,1202.0,1336.0,1185.0,2098.0,2672.0,1726.0,1670.0,2475.0,2533.0,17707.0,2686.0,1628.0,2073.0,4335.0,1284.0,1282.0,2467.0,1450.0,1880.0,742.0,216.0,1564.0,713.0,1543.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-56643.0,-82098.0,-88310.0,-52676.0,-28032.0,-27455.0,-19307.0,26298.0,-14903.0,-14159.0,-13168.0,10473.0,-2251.0,-3161.0,-6470.0,-8681.0,-3085.0,-5417.0,-1073.0,-1568.0,-1339.0,-794.0,-2165.0,-989.0,-3395.0,-2096.0,-2858.0,-7452.0,-4444.0,-2377.0,-1799.0,-9631.0,-2573.0,-2554.0,-2212.0,-2331.0,-3928.0,-1008.0,-144.0,-1435.0,-2095.0,-1720.0
3.03,Resultado Bruto,17231.0,27799.0,1021.0,125239.0,11151.0,10010.0,7404.0,-8211.0,453.0,3929.0,7309.0,-3645.0,1275.0,909.0,21921.0,4199.0,1762.0,341.0,129.0,-232.0,154.0,1304.0,507.0,429.0,1725.0,379.0,325.0,6155.0,1758.0,749.0,274.0,4748.0,1289.0,1272.0,255.0,371.0,2048.0,266.0,72.0,-273.0,1382.0,177.0
3.04,Despesas/Receitas Operacionais,-31863.0,-86144.0,-81223.0,-201847.0,-17589.0,-23232.0,-24633.0,-359730.0,-7327.0,-12440.0,-8482.0,-124031.0,-22231.0,-21704.0,-19346.0,-206817.0,-11923.0,-20771.0,-31195.0,-257647.0,-24249.0,-18062.0,-10066.0,-272252.0,-17437.0,-106967.0,-17143.0,-1266656.0,-3599.0,-6250.0,-6147.0,-58376.0,-8904.0,-13061.0,-21841.0,-33921.0,-19791.0,-61588.0,-29414.0,-24452.0,-39411.0,-222703.0
3.04.02,Despesas Gerais e Administrativas,-20691.0,-17061.0,-36776.0,-308596.0,-18198.0,-24886.0,-16602.0,-357003.0,-13786.0,-14750.0,-14212.0,-82794.0,-13114.0,-14014.0,-12178.0,-197449.0,-12339.0,-12011.0,-57921.0,-184989.0,-11894.0,-10651.0,-26136.0,-183501.0,-24991.0,-30261.0,-11558.0,-1351314.0,-12130.0,-17972.0,-7948.0,-19853.0,-8045.0,-9897.0,-14087.0,-31731.0,-7293.0,-10548.0,-7870.0,-40337.0,-16401.0,-21255.0
3.04.05,Outras Despesas Operacionais,-3351.0,-136870.0,-53048.0,-186365.0,-7706.0,-7977.0,-14567.0,-14523.0,-2559.0,-4052.0,-2655.0,-4372.0,-14493.0,-12425.0,-11361.0,-31117.0,-15674.0,-9457.0,-120594.0,-132753.0,-4892.0,-6428.0,-34642.0,-8077.0,-143019.0,-5686.0,-5944.0,-154649.0,-1330.0,-4613.0,-7442.0,-13385.0,-1784.0,-2338.0,-5347.0,-9469.0,-12996.0,-5174.0,-4713.0,-22883.0,-25127.0,-588892.0
3.04.05.02,Depreciação e amortização,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,-11361.0,,,,-89787.0,,,,-21092.0,,,,-4938.0,,,,-6175.0,,,,-5347.0,,,,-4713.0,,,
3.04.06,Resultado de Equivalência Patrimonial,-8231.0,6219.0,-3000.0,-2222.0,3086.0,3336.0,3934.0,-12423.0,-43.0,237.0,-677.0,-5113.0,-337.0,-6.0,-740.0,-17223.0,-1230.0,-749.0,-877.0,-2821.0,-6141.0,-2575.0,-1107.0,-6641.0,464.0,-156.0,1071.0,-2368.0,-2150.0,-1735.0,-1658.0,-7674.0,-2418.0,-2212.0,-3080.0,-3898.0,-2578.0,-47605.0,36786.0,-2555.0,-474.0,-906.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-14632.0,113943.0,-80202.0,-248896.0,-28740.0,-13222.0,-32037.0,-330831.0,-7780.0,-16369.0,-15791.0,-104294.0,-20956.0,-22613.0,2575.0,-200800.0,-10161.0,-20430.0,-31066.0,-257879.0,-24403.0,-16758.0,-9559.0,-271515.0,15712.0,107346.0,16818.0,1276911.0,1841.0,-6999.0,-5873.0,-70870.0,-10193.0,-14333.0,-21586.0,-34802.0,-21839.0,-61854.0,29486.0,-34247.0,-40793.0,-222880.0
3.06,Resultado Financeiro,-33396.0,-20070.0,-23941.0,-37188.0,-33401.0,-33485.0,-75699.0,-54391.0,-35911.0,-33645.0,-39957.0,-63530.0,-34335.0,-31771.0,3283.0,-10029.0,-22813.0,-36817.0,-40013.0,-31635.0,-34969.0,-24241.0,-14444.0,-156734.0,-27436.0,-46575.0,-10250.0,-43713.0,-51142.0,-51245.0,-57822.0,-124138.0,-61078.0,-58998.0,-34688.0,-15028.0,-41079.0,-25787.0,-41865.0,-39039.0,-10769.0,-75605.0
