cd_conta,conta,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
1,Ativo Total,375178.0,364198.0,247238.207,254088.0,629659.0,675412.0,790113.0,786722.0,785940.0,820057.0,811843.0,823704.0,784640.0,787332.0,891606.0,966377.0,1000090.0,942093.0,1084681.0,1046809.0,1081556.0,1000821.0,1038245.0,1086850.0,1213068.0,1292673.0,1290079.0,1457854.0
1.01,Ativo Circulante,171544.0,183095.0,212651.364,220838.132,298080.0,336640.0,309903.0,409603.0,328830.0,426286.0,413975.0,390124.0,397268.0,342048.0,381687.0,365593.0,364180.0,329593.0,503472.0,443028.0,414884.0,429701.0,461381.0,538613.0,618292.0,532886.0,640980.0,689512.0
1.01.01,Caixa e Equivalentes de Caixa,30490.0,30363.0,63497.403,62127.009,52710.0,64550.0,50893.0,51023.0,64875.0,97754.0,55539.0,41684.0,35558.0,26681.0,48182.0,71253.0,63322.0,23174.0,35828.0,38809.0,31321.0,20637.0,5346.0,4356.0,7464.0,15049.0,23334.0,20602.0
1.01.02,Aplicações Financeiras,43852.0,54805.0,51914.346,19387.107,17171.0,17261.0,16473.0,5834.0,4673.0,16476.0,4761.0,4536.0,4512.0,20070.0,96.0,92.0,84.0,21145.0,46.0,41.0,47.0,8668.0,9518.0,9394.0,10712.0,42247.0,14630.0,14828.0
1.01.03,Contas a Receber,20278.0,27266.0,31927.194,40315.915,40750.0,47811.0,51737.0,45928.0,48619.0,44784.0,78370.0,68478.0,78237.0,46485.0,75749.0,58579.0,102449.0,59318.0,137076.0,163048.0,136874.0,141712.0,101018.0,84443.0,128029.0,93149.0,178066.0,197093.0
1.01.04,Estoques,73279.0,68008.0,60806.661,93911.329,181520.0,202387.0,155931.0,274465.0,191727.0,262672.0,270071.0,267315.0,271988.0,241124.0,249759.0,227463.0,189521.0,213428.0,318025.0,228329.0,232753.0,244524.0,334162.0,411902.0,450728.0,366715.0,410128.0,436643.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7158.0,0.0,0.0,0.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,3645.0,2653.0,4505.76,5096.772,5929.0,4631.0,34869.0,32353.0,18936.0,4600.0,5234.0,8111.0,6973.0,7688.0,7901.0,8206.0,8804.0,12528.0,12497.0,12801.0,13889.0,14160.0,11337.0,28518.0,14201.0,15726.0,14822.0,20346.0
1.02,Ativo Não Circulante,203634.0,181103.0,34586.843,33249.868,331579.0,338772.0,480210.0,377119.0,457110.0,393771.0,397868.0,433580.0,387372.0,445284.0,509919.0,600784.0,635910.0,612500.0,581209.0,603781.0,666672.0,571120.0,576864.0,548237.0,594776.0,759787.0,649099.0,768342.0
1.02.01,Ativo Realizável a Longo Prazo,185748.0,159984.0,9015.074,8092.244,300620.0,311068.0,413620.0,310137.0,382563.0,301761.0,305496.0,341006.0,293995.0,304724.0,350521.0,441749.0,481314.0,425187.0,371323.0,384532.0,487445.0,459836.0,465777.0,437368.0,483978.0,661474.0,549308.0,667726.0
1.02.02,Investimentos,19.0,19.0,17.366,361.304,24.0,14.0,50262.0,50262.0,57663.0,57914.0,58443.0,59074.0,60402.0,106930.0,125735.0,125212.0,121420.0,168671.0,191729.0,201439.0,162094.0,97002.0,97276.0,97366.0,97577.0,84410.0,85631.0,86357.0
1.02.03,Imobilizado,17824.0,21057.0,25419.003,24755.674,29100.0,27651.0,16249.0,16592.0,16756.0,34096.0,33926.0,33497.0,32972.0,33627.0,33654.0,33814.0,33129.0,18598.0,18116.0,17771.0,17097.0,14248.0,13780.0,13475.0,13195.0,13880.0,14140.0,14241.0
1.02.04,Intangível,43.0,43.0,135.4,40.646,1835.0,39.0,79.0,128.0,128.0,0.0,3.0,3.0,3.0,3.0,9.0,9.0,47.0,44.0,41.0,39.0,36.0,34.0,31.0,28.0,26.0,23.0,20.0,18.0
