cd_conta,conta,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
2,Passivo Total,375178.0,364198.0,247238.207,254088.0,629659.0,675412.0,790113.0,786722.0,785940.0,820057.0,811843.0,823704.0,784640.0,787332.0,891606.0,966377.0,1000090.0,942093.0,1084681.0,1046809.0,1081556.0,1000821.0,1038245.0,1086850.0,1213068.0,1292673.0,1290079.0,1457854.0
2.01,Passivo Circulante,101134.0,102279.0,98646.206,109470.417,140898.0,154672.0,148219.0,253581.0,208776.0,340433.0,308173.0,284132.0,290566.0,262816.0,256216.0,282337.0,327706.0,384828.0,441471.0,427930.0,501079.0,485919.0,455394.0,526900.0,781615.0,772417.0,597744.0,496396.0
2.01.01,Obrigações Sociais e Trabalhistas,1926.0,1663.0,1849.905,2330.521,3110.0,2590.0,2624.0,5468.0,6114.0,4026.0,5471.0,6055.0,5974.0,6061.0,7764.0,8873.0,10079.0,9427.0,11736.0,15790.0,13914.0,19740.0,23935.0,25611.0,22739.0,22859.0,26808.0,32861.0
2.01.02,Fornecedores,35713.0,31771.0,12256.104,20115.44,39239.0,21230.0,39197.0,28089.0,26039.0,28368.0,34040.0,46950.0,45229.0,41018.0,36793.0,50635.0,92988.0,71377.0,93874.0,85262.0,96322.0,61850.0,59587.0,52038.0,50578.0,56788.0,68155.0,71945.0
2.01.03,Obrigações Fiscais,2669.0,4116.0,3057.008,2953.969,8028.0,11639.0,13221.0,16950.0,18935.0,20180.0,15021.0,16478.0,16836.0,14798.0,19210.0,24807.0,44971.0,25304.0,43370.0,54328.0,67515.0,80260.0,66110.0,64765.0,68127.0,76892.0,79613.0,75593.0
2.01.04,Empréstimos e Financiamentos,288.0,11168.0,59130.275,69220.31,60731.0,81947.0,79061.0,119237.0,133431.0,208031.0,174260.0,123590.0,136910.0,115152.0,112524.0,136211.0,120524.0,146000.0,144363.0,120732.0,139848.0,152409.0,118512.0,155910.0,258405.0,208260.0,224436.0,167813.0
2.01.05,Outras Obrigações,57941.0,50369.0,22352.914,14850.177,25318.0,33565.0,10518.0,80679.0,21399.0,75477.0,74762.0,86885.0,80342.0,80857.0,75904.0,59115.0,56939.0,128616.0,140810.0,142983.0,175105.0,163136.0,178387.0,219439.0,371497.0,396595.0,187537.0,137527.0
2.01.06,Provisões,2597.0,3192.0,0.0,0.0,4472.0,3701.0,3598.0,3158.0,2858.0,4351.0,4619.0,4174.0,5275.0,4930.0,4021.0,2696.0,2205.0,4104.0,7318.0,8835.0,8375.0,8524.0,8863.0,9137.0,10269.0,11023.0,11195.0,10657.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,250529.0,237417.0,92181.74,86260.8,436794.0,468957.0,550930.0,458305.0,498728.0,431687.0,450963.0,485770.0,425463.0,461196.0,527440.0,564194.0,544916.0,430156.0,494056.0,458283.0,411697.0,341790.0,412916.0,373749.0,291356.0,303038.0,461725.0,714544.0
2.02.01,Empréstimos e Financiamentos,85385.0,89944.0,74976.615,73976.189,107274.0,110880.0,101421.0,55795.0,53865.0,46628.0,44940.0,89652.0,74846.0,94107.0,126841.0,115762.0,121012.0,93988.0,114359.0,159971.0,135924.0,138867.0,171890.0,157637.0,88659.0,149305.0,148264.0,206000.0
2.02.02,Outras Obrigações,161505.0,144805.0,12249.953,7384.653,323881.0,353659.0,444347.0,396296.0,438899.0,377234.0,399306.0,388471.0,343001.0,359180.0,392108.0,438735.0,414874.0,328118.0,370913.0,291416.0,269204.0,197230.0,234758.0,208326.0,194232.0,145340.0,305058.0,496558.0
