# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-07 22:54:31
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2018,3.01,44002.0,194003.0,-150001.0,-77.31890743957568,INCOMPLETO
2018,3.02,-27718.0,-124679.0,96961.0,77.7685095324794,INCOMPLETO
2018,3.03,16284.0,69324.0,-53040.0,-76.5102994633893,INCOMPLETO
2018,3.04,-4738.0,-16828.0,12090.0,71.84454480627525,INCOMPLETO
2018,3.04.02,-2163.0,-6662.0,4499.0,67.53227259081356,INCOMPLETO
2018,3.04.05,-111.0,-997.0,886.0,88.86659979939819,INCOMPLETO
2018,3.04.05.02,0.0,,,,SEM_ANUAL
2018,3.04.06,0.0,0.0,0.0,,INCOMPLETO
2018,3.05,11546.0,52496.0,-40950.0,-78.00594330996647,INCOMPLETO
2018,3.06,-1292.0,3.0,-1295.0,-43166.66666666667,INCOMPLETO
2018,3.06.01,867.0,12325.0,-11458.0,-92.96551724137932,INCOMPLETO
2018,3.06.02,-2159.0,-12322.0,10163.0,82.47849375101445,INCOMPLETO
2018,3.07,10254.0,52499.0,-42245.0,-80.46819939427418,INCOMPLETO
2018,3.08,-825.0,-5195.0,4370.0,84.11934552454284,INCOMPLETO
2018,3.09,9429.0,47304.0,-37875.0,-80.06722475900558,INCOMPLETO
2018,3.10,0.0,0.0,0.0,,INCOMPLETO
2018,3.11,9429.0,47304.0,-37875.0,-80.06722475900558,INCOMPLETO
2018,3.11.01,9409.0,47302.0,-37893.0,-80.10866348145956,INCOMPLETO
2018,3.11.02,20.0,2.0,18.0,900.0,INCOMPLETO
2019,3.01,281026.0,281026.0,0.0,0.0,OK
2019,3.02,-185444.0,-185444.0,0.0,0.0,OK
2019,3.03,95582.0,95582.0,0.0,0.0,OK
2019,3.04,-44906.0,-44906.0,0.0,0.0,OK
