cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,446122.0,379429.0,637601.0,671224.0,696459.0,724950.0,758978.0,906785.0,866198.0,1015835.0,1132759.0,1217831.0,1036773.0,970829.0,933653.0,1162421.0,1039031.0,1185559.0,1243880.0,1287676.0,921267.0,1246448.0,1124689.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-289601.0,-228133.0,-410352.0,-505456.0,-487872.0,-506420.0,-534102.0,-649502.0,-612575.0,-735372.0,-810133.0,-873014.0,-709247.0,-636750.0,-631472.0,-849200.0,-687132.0,-812664.0,-879398.0,-914323.0,-650051.0,-880767.0,-777597.0
3.03,Resultado Bruto,156521.0,151296.0,227249.0,165768.0,208587.0,218530.0,224876.0,257283.0,253623.0,280463.0,322626.0,344817.0,327526.0,334079.0,302181.0,313221.0,351899.0,372895.0,364482.0,373353.0,271216.0,365681.0,347092.0
3.04,Despesas/Receitas Operacionais,-94394.0,-84057.0,-122280.0,-13729.0,-112582.0,-129699.0,-150248.0,-154139.0,-163310.0,-176935.0,-190316.0,-207594.0,-201592.0,-215305.0,-194240.0,-144545.0,-206884.0,-237836.0,-238777.0,-234815.0,-218815.0,-239820.0,-232974.0
3.04.02,Despesas Gerais e Administrativas,-19186.0,-22569.0,-37343.0,-63236.0,-42662.0,-46323.0,-47493.0,-46477.0,-50811.0,-50122.0,-54502.0,-69586.0,-62852.0,-63248.0,-54602.0,-57438.0,-63424.0,-66202.0,-65526.0,-64190.0,-50783.0,-70275.0,-71767.0
3.04.05,Outras Despesas Operacionais,-14995.0,0.0,-17331.0,-32326.0,-9983.0,0.0,-7742.0,-10126.0,-4903.0,-6835.0,-6750.0,-16630.0,-2912.0,-7127.0,-2609.0,-12648.0,-8047.0,-7046.0,-2872.0,-17965.0,-30965.0,-4676.0,-10320.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,62127.0,67239.0,104969.0,152039.0,96005.0,88831.0,74628.0,103144.0,90313.0,103528.0,132310.0,137223.0,125934.0,118774.0,107941.0,168676.0,145015.0,135059.0,125705.0,138538.0,52401.0,125861.0,114118.0
3.06,Resultado Financeiro,-115545.0,-21172.0,1447.0,65622.0,-8475.0,2283.0,9721.0,4389.0,13599.0,-8509.0,-4650.0,6249.0,-5447.0,619.0,-5297.0,5494.0,9391.0,-13187.0,437.0,-26123.0,-2955.0,11124.0,29374.0
3.06.01,Receitas Financeiras,10802.0,11303.0,13732.0,65068.0,12902.0,15104.0,20827.0,194456.0,34510.0,118409.0,74252.0,125883.0,59905.0,104926.0,88827.0,118515.0,52089.0,118143.0,139557.0,180414.0,46224.0,55635.0,66377.0
3.06.02,Despesas Financeiras,-126347.0,-32475.0,-12285.0,-554.0,-21377.0,-12821.0,-11106.0,-190067.0,-20911.0,-126918.0,-78902.0,-119634.0,-65352.0,-104307.0,-94124.0,-113021.0,-42698.0,-131330.0,-139120.0,-206537.0,-49179.0,-44511.0,-37003.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-53418.0,46067.0,106416.0,217661.0,87530.0,91114.0,84349.0,107533.0,103912.0,95019.0,127660.0,143472.0,120487.0,119393.0,102644.0,174170.0,154406.0,121872.0,126142.0,112415.0,49446.0,136985.0,143492.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-29082.0,-4937.0,-11874.0,-34663.0,-2177.0,-5838.0,-4011.0,-5009.0,-5346.0,-1757.0,-4994.0,-2912.0,-11568.0,-1372.0,-8306.0,-7618.0,-467.0,-4321.0,-3241.0,-5548.0,-12148.0,-690.0,-4412.0
3.09,Resultado Líquido das Operações Continuadas,24336.0,51004.0,94542.0,158074.0,89707.0,85276.0,88360.0,100166.0,98566.0,96776.0,122666.0,161240.0,132055.0,118021.0,110950.0,184532.0,153939.0,117551.0,129383.0,127539.0,61594.0,136295.0,147904.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,24336.0,51004.0,94542.0,158074.0,89707.0,85276.0,88360.0,100166.0,98566.0,96776.0,122666.0,161240.0,132055.0,118021.0,110950.0,184532.0,153939.0,117551.0,129383.0,127539.0,61594.0,136295.0,147904.0
3.11.01,Atribuído a Sócios da Empresa Controladora,-24336.0,51004.0,94542.0,206746.0,89707.0,85084.0,89229.0,100423.0,99175.0,97054.0,123041.0,160992.0,131804.0,117618.0,110526.0,184283.0,153971.0,118032.0,130237.0,126694.0,61438.0,136547.0,148059.0
3.11.02,Atribuído a Sócios Não Controladores,0.0,0.0,0.0,0.0,0.0,192.0,-869.0,-257.0,-609.0,-278.0,-375.0,248.0,251.0,403.0,424.0,249.0,-32.0,-481.0,-854.0,845.0,156.0,-252.0,-155.0
3.99,Lucro por Ação (Reais/Ação),-0.86417,1.81,3.36,7.33989,0.27382,0.26,0.27,0.30861,0.30272172,0.29,0.37,0.50322828,0.40232,0.36024725,0.34,0.55864275,0.46998,0.3588107,0.4,0.38572719,0.18753,0.41602679,0.45
