codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,1.0158,21.1609,17.8246,11.618,7.1043,7.6218,8.2194
P_VPA,P/VPA,Valuation,x,,4.0185,3.8076,2.4101,1.2667,1.131,1.2197
EV_EBITDA,EV/EBITDA,Valuation,x,,17.9071,14.0533,8.9225,5.9352,5.3683,5.8149
EV_EBIT,EV/EBIT,Valuation,x,,19.9132,17.4733,11.402,7.002,7.8592,8.513
EV_RECEITA,EV/Receita,Valuation,x,,2.3389,1.9129,1.4485,0.8013,0.7394,0.801
DY,Dividend Yield,Valuation,%,,0.6992,2.1519,2.7689,4.2528,4.433,4.1107
PAYOUT,Payout,Valuation,%,,14.8345,38.4385,32.0911,30.2432,33.6587,33.6587
ROE,ROE,Rentabilidade,%,33.5941,25.1097,22.9997,22.3965,18.9054,15.6597,15.6597
ROA,ROA,Rentabilidade,%,13.429,12.1211,11.2194,11.0485,10.1056,8.2048,8.2048
ROIC,ROIC,Rentabilidade,%,35.2408,16.7609,17.1383,15.3279,11.8951,9.5745,9.5745
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,19.1993,13.0615,13.6119,16.2341,13.5015,13.7742,13.7742
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,15.3654,11.7748,11.3227,13.2944,11.1101,10.3346,10.3346
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.6165,-1.2184,-0.805,-0.5685,0.0835,-0.3285,-0.3285
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.2588,-0.256,-0.2063,-0.1444,0.0181,-0.0652,-0.0652
ICJ,ICJ,Endividamento,x,5.5475,,,112.5729,18.4627,,
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,30.2227,31.1311,22.4482,13.5499,23.1595,32.7889,32.7889
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.8895,2.3306,2.1884,2.6449,2.2695,2.5356,2.5356
LIQ_SECA,Liquidez Seca,Liquidez,x,1.3389,1.309,1.425,1.7904,1.2826,1.6007,1.6007
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.4284,1.8319,1.4403,1.6456,1.6425,1.7814,1.7814
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.874,0.8682,0.8487,0.8395,0.854,0.8191,0.8191
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,67.7578,144.2839,108.0817,120.4159,152.2983,159.5568,159.5568
PME,PME,Eficiência,dias,149.5158,214.1322,158.3513,148.6975,193.7685,169.2875,169.2875
NCG_RECEITA,NCG/Receita,Eficiência,%,16.8322,28.613,17.9696,26.0018,33.8594,34.4442,34.4442
