data_fim,trimestre,cd_conta,ds_conta,valor_mil
2016-12-31,T4,2,Passivo Total,13585195.0
2016-12-31,T4,2.01,Passivo Circulante,9308476.0
2016-12-31,T4,2.01.01,Contas a Pagar,209314.0
2016-12-31,T4,2.01.01.01,Obrigações Sociais,29527.0
2016-12-31,T4,2.01.01.02,Obrigações Trabalhistas,0.0
2016-12-31,T4,2.01.01.03,Provisões trabalhistas,7849.0
2016-12-31,T4,2.01.01.04,Provisões para benefícios pós-emprego,32771.0
2016-12-31,T4,2.01.01.05,Obrigações a pagar,18490.0
2016-12-31,T4,2.01.01.06,Provisões para impostos e contribuições,115941.0
2016-12-31,T4,2.01.01.07,Provisões para desvalorização de Investimento,4736.0
2016-12-31,T4,2.01.02,Débitos de Operações,1210068.0
2016-12-31,T4,2.01.02.01,Seguros e Resseguros,1210068.0
2016-12-31,T4,2.01.02.01.01,Operações com seguradoras,269827.0
2016-12-31,T4,2.01.02.01.02,Operações com resseguradoras,861092.0
2016-12-31,T4,2.01.02.01.03,Corretores de resseguros e retrocessões,49383.0
2016-12-31,T4,2.01.02.01.04,Outros débitos operacionais,29766.0
2016-12-31,T4,2.01.02.02,Previdência Complementar,0.0
2016-12-31,T4,2.01.02.02.01,Previdência Complementar,0.0
2016-12-31,T4,2.01.02.03,Capitalização,0.0
2016-12-31,T4,2.01.02.03.01,Capitalização,0.0
2016-12-31,T4,2.01.02.04,Outras Operações,0.0
2016-12-31,T4,2.01.02.04.01,Outras Operações,0.0
2016-12-31,T4,2.01.03,Depósitos de Terceiros,59963.0
2016-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,0.0
2016-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2016-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,0.0
2016-12-31,T4,2.01.03.04,Depósitos de terceiros,59963.0
2016-12-31,T4,2.01.04,Provisões Técnicas,7829131.0
2016-12-31,T4,2.01.04.01,Seguros e Resseguros,7829131.0
2016-12-31,T4,2.01.04.01.01,Em Moeda Nacional,0.0
2016-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,0.0
2016-12-31,T4,2.01.04.01.03,Provisão de prêmios não ganhos,1498083.0
2016-12-31,T4,2.01.04.01.04,Sinistros a liquidar,4653516.0
2016-12-31,T4,2.01.04.01.05,Provisão de sinistros ocorridos mas não avisados,1577065.0
2016-12-31,T4,2.01.04.01.06,Outras Provisões,100467.0
2016-12-31,T4,2.01.04.02,Previdência Complementar,0.0
2016-12-31,T4,2.01.04.02.01,Previdência Complementar,0.0
2016-12-31,T4,2.01.04.03,Capitalização,0.0
2016-12-31,T4,2.01.04.03.01,Capitalização,0.0
2016-12-31,T4,2.01.04.04,Outras Provisões,0.0
2016-12-31,T4,2.01.05,Outros Débitos,0.0
2016-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2016-12-31,T4,2.01.05.02,Outros,0.0
2016-12-31,T4,2.01.05.04,Riscos vigentes emitidos,0.0
2016-12-31,T4,2.01.05.05,Riscos vigentes não emitidos,0.0
2016-12-31,T4,2.01.05.06,Sinistros a liquidar,0.0
2016-12-31,T4,2.01.05.07,Provisão de sinistros ocorridos mas não avisados,0.0
2016-12-31,T4,2.01.05.08,Outras provisões,0.0
2016-12-31,T4,2.01.06,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0
2016-12-31,T4,2.01.06.01,Passivos sobre Ativos Não Correntes a Venda,0.0
2016-12-31,T4,2.01.06.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2016-12-31,T4,2.02,Passivo Não Circulante,948502.0
2016-12-31,T4,2.02.01,Passivo Exigível a Longo Prazo,948502.0
2016-12-31,T4,2.02.01.01,Contas a Pagar,738660.0
2016-12-31,T4,2.02.01.01.01,Em Moeda Nacional,0.0
2016-12-31,T4,2.02.01.01.02,Em Moeda Estrangeira,0.0
2016-12-31,T4,2.02.01.01.03,Provisões para Impostos e contribuições,389427.0
2016-12-31,T4,2.02.01.01.04,Provisões para benefícios pós-emprego,348923.0
2016-12-31,T4,2.02.01.01.05,Outras contas a pagar,310.0
2016-12-31,T4,2.02.01.02,Débitos das Operações,789.0
2016-12-31,T4,2.02.01.02.01,Débitos das operações com resseguros e retrocessões,0.0
2016-12-31,T4,2.02.01.03,Provisões Técnicas,150880.0
2016-12-31,T4,2.02.01.03.01,Seguros e Resseguros,150880.0
2016-12-31,T4,2.02.01.03.02,Previdência Complementar,0.0
2016-12-31,T4,2.02.01.03.03,Capitalização,0.0
2016-12-31,T4,2.02.01.03.04,Outras Provisões,0.0
2016-12-31,T4,2.02.01.04,Outros Passivos,58173.0
2016-12-31,T4,2.02.01.04.01,Contingências fiscais,0.0
2016-12-31,T4,2.02.01.04.02,Contingências trabalhistas,53732.0
2016-12-31,T4,2.02.01.04.03,Contingências previdenciárias,0.0
2016-12-31,T4,2.02.01.04.04,Outras provisões,4441.0
2016-12-31,T4,2.02.01.05,Tributos Diferidos,0.0
2016-12-31,T4,2.02.01.05.01,Tributos Diferidos,0.0
2016-12-31,T4,2.02.01.06,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0
2016-12-31,T4,2.02.01.06.01,Passivos sobre Ativos Não Correntes a Venda,0.0
2016-12-31,T4,2.02.01.06.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2016-12-31,T4,2.02.01.07,Lucros e Receitas a Apropriar,0.0
2016-12-31,T4,2.02.01.07.01,Lucros a Apropriar,0.0
2016-12-31,T4,2.02.01.07.02,Receitas a Apropriar,0.0
