cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,7212442.0,7070059.0,7415899.0,7338703.0,7370688.0,7488522.0,15010254.0,15066999.0,15637467.0,16235152.0,17538460.0,17252173.0,17417558.0,17534705.0,18907128.0,18542224.0,19169401.0,19908537.0,20014346.0,21599094.0,20731467.0,22431569.0,22150093.0,24592358.0,26505399.0,27869531.0,28193896.0,28976739.0,30008395.0,31193101.0,32100817.0,32243550.0,33749701.0,34161217.0,35162727.0,35911156.0,37956747.0,38556190.0,40648205.0,43304632.0,44691886.0,43946662.0,45643761.0
1.01,Ativo Circulante,1414291.0,1126552.0,1114063.0,898826.0,841028.0,867812.0,1450286.0,1680344.0,2295056.0,2363009.0,2839435.0,2643709.0,2912813.0,3120901.0,4057863.0,2899644.0,3256291.0,3598068.0,3614358.0,4933448.0,3770491.0,4966636.0,4433476.0,5507858.0,4631986.0,4103140.0,3738589.0,3747849.0,4054686.0,4220089.0,4736444.0,4670170.0,5460527.0,5284979.0,5844501.0,5978428.0,6781303.0,6495217.0,6615500.0,7939449.0,8045878.0,6605421.0,7065287.0
1.01.01,Caixa e Equivalentes de Caixa,5635.0,7372.0,6428.0,6135.0,5308.0,3635.0,4503.0,4524.0,5614.0,5005.0,10711.0,6585.0,11749.0,7059.0,12736.0,16740.0,17968.0,14039.0,7110.0,595971.0,757278.0,1320153.0,799542.0,2067337.0,853688.0,1090994.0,231326.0,282632.0,316445.0,221490.0,168236.0,336523.0,1484897.0,724877.0,279053.0,245819.0,1266111.0,71491.0,63411.0,2914747.0,783780.0,653574.0,719176.0
1.01.02,Aplicações Financeiras,426857.0,389300.0,536050.0,440054.0,404537.0,422084.0,570381.0,336138.0,435348.0,254925.0,629035.0,610066.0,716226.0,843828.0,1591227.0,680909.0,1087284.0,1330308.0,1197427.0,2068611.0,511984.0,565480.0,541218.0,453557.0,469733.0,724512.0,976131.0,813634.0,882793.0,860842.0,1185524.0,907326.0,323338.0,737115.0,1577130.0,1526208.0,1479543.0,2548033.0,2448525.0,485995.0,2492903.0,1176687.0,1700986.0
1.01.03,Contas a Receber,762031.0,538264.0,392400.0,319961.0,289609.0,292485.0,723438.0,1221016.0,1691428.0,1932619.0,1935546.0,1924928.0,1913173.0,1916407.0,2041938.0,2086298.0,0.0,0.0,0.0,2061882.0,2082903.0,2598707.0,2728926.0,2804373.0,3057083.0,1992387.0,2203432.0,2344141.0,2481722.0,2714897.0,2905423.0,3030059.0,3163797.0,3282217.0,3408653.0,3370449.0,3240632.0,3018457.0,3292884.0,3604640.0,3796997.0,3782091.0,3751988.0
1.01.04,Estoques,43714.0,43610.0,40876.0,40476.0,37755.0,38307.0,37205.0,37723.0,38427.0,38649.0,43892.0,37639.0,38357.0,35204.0,34907.0,39173.0,37516.0,34742.0,34550.0,103818.0,63747.0,34337.0,41637.0,45297.0,49717.0,56604.0,56578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164941.0,106716.0,135191.0,99988.0,94384.0,114377.0,113278.0,84601.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,14725.0,36166.0,63140.0,5763.0,22127.0,44176.0,57350.0,8563.0,26452.0,48655.0,140732.0,14162.0,132735.0,216638.0,315452.0,29521.0,84201.0,169403.0,215694.0,32335.0,43483.0,84600.0,210886.0,28807.0,72195.0,107737.0,149271.0,72150.0,96648.0,126437.0,161365.0,114235.0,138970.0,171914.0,230573.0,268730.0,303125.0,363886.0,437136.0,453046.0,398505.0,444644.0,401625.0
1.01.07,Despesas Antecipadas,26485.0,18654.0,10900.0,6057.0,40570.0,20262.0,9631.0,10303.0,42185.0,25119.0,13850.0,4607.0,40927.0,22245.0,13145.0,8384.0,34841.0,24862.0,14657.0,4677.0,33212.0,24292.0,15324.0,6400.0,36595.0,28473.0,18009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,134844.0,93186.0,64269.0,80380.0,41122.0,46863.0,47778.0,62077.0,55602.0,58037.0,65669.0,45722.0,59646.0,79520.0,48458.0,38619.0,1994481.0,2024714.0,2144920.0,66154.0,277884.0,339067.0,95943.0,102087.0,92975.0,102433.0,103842.0,235292.0,277078.0,296423.0,315896.0,282027.0,349525.0,368856.0,349092.0,402281.0,385176.0,358159.0,273556.0,386637.0,459316.0,435147.0,406911.0
