cd_conta,conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,2544449.000,2699843.000,3015808.000,2811810.000,3461102.000,3543402.000,3560263.000,3768740.000,4249872.000,4704371.000,5303485.000,5886611.000,6160219.000,6302695.000,6554833.000,6740850.000,6701940.000,7215464.000,7415472.000,7349243.000,7137606.000,7445998.000,7446329.000
1.01,Ativo Circulante,804998.000,998460.000,1385232.000,1315728.000,1770221.000,1791188.000,1868245.000,1790350.000,1996487.000,2113240.000,2683880.000,2095530.000,2051383.000,2167236.000,2530179.000,2526128.000,2120283.000,2633886.000,2879133.000,2764608.000,2301201.000,2616614.000,2841194.000
1.01.01,Caixa e Equivalentes de Caixa,389082.000,467534.000,742740.000,647750.000,1194100.000,1093059.000,1032832.000,855864.000,1242658.000,1184662.000,1654043.000,967787.000,999121.000,839105.000,914008.000,1088671.000,1049863.000,1297853.000,1204199.000,1175276.000,1237342.000,1504948.000,1485735.000
1.01.02,Aplicações Financeiras,29923.000,61802.000,11781.000,7623.000,26635.000,100766.000,361.000,76.000,57792.000,95096.000,30223.000,28532.000,14149.000,30505.000,12774.000,13232.000,17453.000,17800.000,9756.000,9978.000,3486.000,1523.000,174.000
1.01.03,Contas a Receber,44034.000,67244.000,96202.000,71194.000,36523.000,0.000,46600.000,43674.000,45243.000,32896.000,92911.000,49476.000,47500.000,88303.000,85174.000,99417.000,126075.000,72615.000,97405.000,124647.000,90249.000,80740.000,111606.000
1.01.04,Estoques,69884.000,138613.000,237009.000,256180.000,76621.000,138533.000,297183.000,318365.000,131581.000,264818.000,398606.000,363465.000,196186.000,472115.000,830147.000,723087.000,224848.000,490879.000,855616.000,711453.000,212591.000,394165.000,630959.000
1.01.05,Ativos Biológicos,186860.000,186834.000,226717.000,274119.000,369899.000,417598.000,449192.000,517370.000,432968.000,443165.000,410238.000,514401.000,599551.000,524191.000,515035.000,369191.000,531263.000,585366.000,543841.000,599264.000,614539.000,404537.000,314014.000
1.01.06,Tributos a Recuperar,40298.000,45786.000,44258.000,37054.000,42756.000,32483.000,31772.000,43225.000,38479.000,58565.000,82803.000,146731.000,156718.000,153735.000,125587.000,106482.000,94017.000,115145.000,145391.000,116074.000,105885.000,117190.000,152008.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,44917.000,30647.000,26525.000,21808.000,23687.000,8749.000,10305.000,11776.000,47766.000,34038.000,15056.000,25138.000,38158.000,59282.000,47454.000,126048.000,76764.000,54228.000,22925.000,27916.000,37109.000,113511.000,146698.000
1.02,Ativo Não Circulante,1739451.000,1701383.000,1630576.000,1496082.000,1690881.000,1752214.000,1692018.000,1978390.000,2253385.000,2591131.000,2619605.000,3791081.000,4108836.000,4135459.000,4024654.000,4214722.000,4581657.000,4581578.000,4536339.000,4584635.000,4836405.000,4829384.000,4605135.000
1.02.01,Ativo Realizável a Longo Prazo,109147.000,95167.000,89186.000,90357.000,120076.000,116009.000,120830.000,155993.000,211580.000,244827.000,320221.000,443291.000,491648.000,436357.000,425228.000,410145.000,336545.000,316427.000,322568.000,290684.000,278184.000,313159.000,326165.000
1.02.02,Investimentos,132240.000,132137.000,138241.000,103737.000,101928.000,107699.000,104285.000,111882.000,100007.000,83908.000,88386.000,86676.000,82222.000,87623.000,94966.000,94867.000,89652.000,95086.000,97554.000,100032.000,88595.000,91851.000,95117.000
1.02.03,Imobilizado,1488000.000,1463911.000,1393507.000,1292441.000,1459756.000,1519822.000,1458670.000,1702779.000,1933980.000,2254066.000,2202156.000,3247224.000,3519861.000,3596633.000,3489673.000,3694938.000,4140707.000,4153897.000,4099383.000,4175263.000,4448886.000,4397782.000,4153420.000
1.02.04,Intangível,10064.000,10168.000,9642.000,9547.000,9121.000,8684.000,8233.000,7736.000,7818.000,8330.000,8842.000,13890.000,15105.000,14846.000,14787.000,14772.000,14753.000,16168.000,16834.000,18656.000,20740.000,26592.000,30433.000
