data_fim,trimestre,cd_conta,ds_conta,valor_mil
2020-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,71445.0
2020-06-30,T2,6.01.01,Caixa Gerado nas Operações,111313.0
2020-06-30,T2,6.01.01.01,Resultado do período,-16929.0
2020-06-30,T2,6.01.01.02,Depreciação e amortização,49075.0
2020-06-30,T2,6.01.01.03,Amortização de tratos culturais,30512.0
2020-06-30,T2,6.01.01.04,Resultado na alienação de ativo imobilizado,619.0
2020-06-30,T2,6.01.01.05,Resultado de equivalência patrimonial,-3846.0
2020-06-30,T2,6.01.01.06,Provisão para contingências,62.0
2020-06-30,T2,6.01.01.07,Amortização de custo de transação de empréstimos e financiamentos,2191.0
2020-06-30,T2,6.01.01.08,Provisão para perda de créditos esperada,68.0
2020-06-30,T2,6.01.01.09,Provisão com instrumentos financeiros derivativos,36485.0
2020-06-30,T2,6.01.01.10,Variação do valor jusoto do ativo biológico,-6859.0
2020-06-30,T2,6.01.01.11,Remensurações de contratos de arrendamento e direitos de uso,0.0
2020-06-30,T2,6.01.01.12,Provisão para estoque de lenta movimentação,-162.0
2020-06-30,T2,6.01.01.13,Variação cambial de empréstimos,12457.0
2020-06-30,T2,6.01.01.14,Ajuste a valor presente,-3936.0
2020-06-30,T2,6.01.01.15,Impostos e contribuições correntes,771.0
2020-06-30,T2,6.01.01.16,Impostos e contribuições diferidos,-8845.0
2020-06-30,T2,6.01.01.17,Juros provisionados sobre contratos de arrendamento,3993.0
2020-06-30,T2,6.01.01.18,Juros provisionados sobre emrpéstimos e financiamentos,15657.0
2020-06-30,T2,6.01.02,Variações nos Ativos e Passivos,-19727.0
2020-06-30,T2,6.01.02.01,Contas a recber e outros recebíveis,-20891.0
2020-06-30,T2,6.01.02.02,Estoques,-17319.0
2020-06-30,T2,6.01.02.03,Ativos biológicos,-40393.0
2020-06-30,T2,6.01.02.04,Adiantamentos a fornecedores,9023.0
2020-06-30,T2,6.01.02.05,Impostos e contribuições a recuperar,6563.0
2020-06-30,T2,6.01.02.06,Imposto de renda e contribuição social a recuperar,-369.0
2020-06-30,T2,6.01.02.07,Depósitos judiciais,-444.0
2020-06-30,T2,6.01.02.08,Fornecedores e outras contas a pagar,11668.0
2020-06-30,T2,6.01.02.09,Provisões e encargos trabalhistas,7891.0
2020-06-30,T2,6.01.02.10,Obrigações fiscais,15497.0
2020-06-30,T2,6.01.02.11,Adiantamento de clientes,9047.0
2020-06-30,T2,6.01.03,Outros,-20141.0
2020-06-30,T2,6.01.03.01,Liquidação de instrumentos financiros derivativos,1359.0
2020-06-30,T2,6.01.03.02,Juros pagos sobre empréstimos e financiamentos,-16788.0
2020-06-30,T2,6.01.03.03,Juros pagos de arrendamentos,-3993.0
2020-06-30,T2,6.01.03.04,Imposto de renta e contribuição social pagos,-719.0
2020-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-76569.0
2020-06-30,T2,6.02.01,Aplicação em caixa restrito,-42960.0
2020-06-30,T2,6.02.02,Resgate de aplicação em caixa restrito,13826.0
2020-06-30,T2,6.02.03,Aquisição de outros investimentos,0.0
2020-06-30,T2,6.02.04,Aquisição de ativo imobilizado,-19247.0
2020-06-30,T2,6.02.05,Aquisição de ativo intangível,-795.0
2020-06-30,T2,6.02.06,Dividendos recebidos,1200.0
2020-06-30,T2,6.02.07,Valor recebido em caixa por venda de imobilizado,970.0
2020-06-30,T2,6.02.08,Plantações e aquisições de lavouras de cana-de-açúcar,-29563.0
2020-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,83576.0
2020-06-30,T2,6.03.01,Empréstimos e financiamentos tomados,133896.0
2020-06-30,T2,6.03.02,Amortização de empréstimos e financiamentos,-33374.0
2020-06-30,T2,6.03.03,Amortização de parcerias agrícolas,-16946.0
2020-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,78452.0
2020-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,389082.0
2020-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,467534.0
2020-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,190339.0
2020-09-30,T3,6.01.01,Caixa Gerado nas Operações,322238.0
2020-09-30,T3,6.01.01.01,Resultado do período,48685.0
2020-09-30,T3,6.01.01.02,Depreciação e amortização,111263.0
2020-09-30,T3,6.01.01.03,Amortização de tratos culturais,71809.0
2020-09-30,T3,6.01.01.04,Resultado na alienação de ativo imobilizado,144.0
2020-09-30,T3,6.01.01.05,Resultado de equivalência patrimonial,-9097.0
2020-09-30,T3,6.01.01.06,Provisão para contingências,-227.0
2020-09-30,T3,6.01.01.07,Amortização de custos de transação de empréstimos,4604.0
2020-09-30,T3,6.01.01.08,Provisão para perdas de créditos esperada,-127.0
2020-09-30,T3,6.01.01.09,Provisão com instrumentos de derivativos,88346.0
2020-09-30,T3,6.01.01.10,Variação do valor justo de ativo biológico,-64956.0
2020-09-30,T3,6.01.01.11,Remensurações de contratos de direito de uso e parcerias/arrendamentos,0.0
2020-09-30,T3,6.01.01.12,Remensurações de parcerias agrícolas a pagar,0.0
2020-09-30,T3,6.01.01.13,Provisão para estoque de lenta movimentação,89.0
2020-09-30,T3,6.01.01.14,Variação cambial de empréstimos,20807.0
2020-09-30,T3,6.01.01.15,Ajuste a valor presente,790.0
2020-09-30,T3,6.01.01.16,Impostos e contribuições correntes,1562.0
2020-09-30,T3,6.01.01.17,Impostos e contribuições diferidos,6253.0
2020-09-30,T3,6.01.01.18,Juros provisionados sobre contratos de arrendaments e parcerias agrícolas,7985.0
2020-09-30,T3,6.01.01.19,Juros provisionados de empréstimos e finciamentos,34308.0
2020-09-30,T3,6.01.02,Variações nos Ativos e Passivos,-82469.0
2020-09-30,T3,6.01.02.01,Contas a receber e outros recebíveis,-49561.0
2020-09-30,T3,6.01.02.02,Parcerias agrícolas a pagar,0.0
2020-09-30,T3,6.01.02.03,Estoques,-45036.0
2020-09-30,T3,6.01.02.04,Ativos biológicos,-91239.0
2020-09-30,T3,6.01.02.05,Adiantamentos a fornecedores,11262.0
2020-09-30,T3,6.01.02.06,Impostos e contribuições a recuperar,5056.0
2020-09-30,T3,6.01.02.07,Imposto de renda e contribuição social a recuperar,-1002.0
2020-09-30,T3,6.01.02.08,Outros ativos,-4001.0
2020-09-30,T3,6.01.02.09,Depósitos judiciais,-3304.0
2020-09-30,T3,6.01.02.10,Fornecedores e outras contas a pagar,35034.0
2020-09-30,T3,6.01.02.11,Provisões e encargos trabalhistas,12995.0
2020-09-30,T3,6.01.02.12,Obrigações fiscais,-1283.0
2020-09-30,T3,6.01.02.13,Adiantamento de clientes,48610.0
2020-09-30,T3,6.01.03,Outros,-49430.0
2020-09-30,T3,6.01.03.01,Liquidação de instrumentos financeiros derivativos,-11928.0
2020-09-30,T3,6.01.03.02,Juros pagos de empréstimos e financiamentos,-28028.0
2020-09-30,T3,6.01.03.03,Juros pagos de arrendamentos,-7985.0
2020-09-30,T3,6.01.03.04,Imposto de renda e contribuição social pagos,-1489.0
2020-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-48189.0
2020-09-30,T3,6.02.01,Aplicações em caixa restrito,-59879.0
2020-09-30,T3,6.02.02,Resgate de caixa restrito,93185.0
2020-09-30,T3,6.02.03,Aquisição de outros investimentos,-849.0
2020-09-30,T3,6.02.04,Aquisição de ativo imobilizado,-34650.0
2020-09-30,T3,6.02.05,Aquisição de ativo intangível,-960.0
2020-09-30,T3,6.02.06,Valor recebido por redução de capital em investida,945.0
2020-09-30,T3,6.02.07,Dividendos recebidos,1559.0
2020-09-30,T3,6.02.08,Valor recebido em caixa por venda de imobilizado,2171.0
2020-09-30,T3,6.02.09,Plantações e aquisições de lavouras de cana-de-açúcar,-49711.0
2020-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,211508.0
2020-09-30,T3,6.03.01,Empréstimos e financiamentos tomados,399999.0
2020-09-30,T3,6.03.02,Amortização de empréstimos e financiamentos,-131225.0
2020-09-30,T3,6.03.03,Amortização de parcerias agrícolas,-38771.0
2020-09-30,T3,6.03.04,Amortização de arrendamentos,0.0
2020-09-30,T3,6.03.05,Pagamento de dividendos,-18495.0
2020-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,353658.0
2020-09-30,T3,6.05.01,Saldo Inicial de Caixa e Equivalentes,389082.0
2020-09-30,T3,6.05.02,Saldo Final de Caixa e Equivalentes,742740.0
2020-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,230356.0
2020-12-31,T4,6.01.01,Caixa Gerado nas Operações,485709.0
2020-12-31,T4,6.01.01.01,Resultado do período,99271.0
2020-12-31,T4,6.01.01.02,Depreciação e amortização,164691.0
2020-12-31,T4,6.01.01.03,Amortização de tratos culturais,107484.0
2020-12-31,T4,6.01.01.04,Resultado na alienação de ativo imobilizado,2425.0
2020-12-31,T4,6.01.01.05,Resultado de equivalência patrimonial,-12932.0
2020-12-31,T4,6.01.01.06,Provisão para contingências,-201.0
2020-12-31,T4,6.01.01.07,Amortização de custos de transação de empréstimos,6958.0
2020-12-31,T4,6.01.01.08,Provisão para perdas de créditos esperada,4991.0
2020-12-31,T4,6.01.01.09,Provisão com instrumentos de derivativos,105444.0
2020-12-31,T4,6.01.01.10,Variação do valor justo de ativo biológico,-99637.0
2020-12-31,T4,6.01.01.11,Remensurações de contratos de direito de uso e parcerias/arrendamentos,0.0
2020-12-31,T4,6.01.01.12,Remensurações de parcerias agrícolas a pagar,0.0
2020-12-31,T4,6.01.01.13,Provisão para estoque de lenta movimentação,449.0
2020-12-31,T4,6.01.01.14,Variação cambial de empréstimos,-2843.0
2020-12-31,T4,6.01.01.15,Ajuste a valor presente,-2213.0
2020-12-31,T4,6.01.01.16,Impostos e contribuições correntes,2361.0
2020-12-31,T4,6.01.01.17,Impostos e contribuições diferidos,37988.0
2020-12-31,T4,6.01.01.18,Juros provisionados sobre contratos de arrendaments e parcerias agrícolas,11979.0
2020-12-31,T4,6.01.01.19,Juros provisionados de empréstimos e finciamentos,59494.0
2020-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-159028.0
2020-12-31,T4,6.01.02.01,Contas a receber e outros recebíveis,-4940.0
2020-12-31,T4,6.01.02.02,Parcerias agrícolas a pagar,-28882.0
2020-12-31,T4,6.01.02.03,Estoques,-47208.0
2020-12-31,T4,6.01.02.04,Ativos biológicos,-141121.0
2020-12-31,T4,6.01.02.05,Adiantamentos a fornecedores,10202.0
2020-12-31,T4,6.01.02.06,Impostos e contribuições a recuperar,11624.0
2020-12-31,T4,6.01.02.07,Imposto de renda e contribuição social a recuperar,-1746.0
2020-12-31,T4,6.01.02.08,Outros ativos,1481.0
2020-12-31,T4,6.01.02.09,Depósitos judiciais,-5256.0
2020-12-31,T4,6.01.02.10,Fornecedores e outras contas a pagar,22202.0
2020-12-31,T4,6.01.02.11,Provisões e encargos trabalhistas,-823.0
2020-12-31,T4,6.01.02.12,Obrigações fiscais,9025.0
2020-12-31,T4,6.01.02.13,Adiantamento de clientes,16414.0
2020-12-31,T4,6.01.03,Outros,-96325.0
2020-12-31,T4,6.01.03.01,Liquidação de instrumentos financeiros derivativos,-38527.0
2020-12-31,T4,6.01.03.02,Juros pagos de empréstimos e financiamentos,-43594.0
2020-12-31,T4,6.01.03.03,Juros pagos de arrendamentos,-11979.0
2020-12-31,T4,6.01.03.04,Imposto de renda e contribuição social pagos,-2225.0
2020-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-93159.0
2020-12-31,T4,6.02.01,Aplicações em caixa restrito,-67617.0
2020-12-31,T4,6.02.02,Resgate de caixa restrito,104178.0
2020-12-31,T4,6.02.03,Aquisição de outros investimentos,-1250.0
2020-12-31,T4,6.02.04,Aquisição de ativo imobilizado,-62368.0
2020-12-31,T4,6.02.05,Aquisição de ativo intangível,-1561.0
2020-12-31,T4,6.02.06,Valor recebido por redução de capital em investida,1645.0
2020-12-31,T4,6.02.07,Dividendos recebidos,1559.0
2020-12-31,T4,6.02.08,Valor recebido em caixa por venda de imobilizado,3512.0
2020-12-31,T4,6.02.09,Plantações e aquisições de lavouras de cana-de-açúcar,-71257.0
2020-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,121471.0
2020-12-31,T4,6.03.01,Empréstimos e financiamentos tomados,409755.0
2020-12-31,T4,6.03.02,Amortização de empréstimos e financiamentos,-210510.0
2020-12-31,T4,6.03.03,Amortização de parcerias agrícolas,-29209.0
2020-12-31,T4,6.03.04,Amortização de arrendamentos,0.0
2020-12-31,T4,6.03.05,Pagamento de dividendos,-48565.0
2020-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,258668.0
2020-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,389082.0
2020-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,647750.0
2021-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,172402.0
2021-06-30,T2,6.01.01,Caixa Gerado nas Operações,267771.0
2021-06-30,T2,6.01.01.01,Resultado do período incluindo operações descontinuadas,115686.0
2021-06-30,T2,6.01.01.02,Depreciação e amortização,66253.0
2021-06-30,T2,6.01.01.03,Amortização de tratos culturais,45113.0
2021-06-30,T2,6.01.01.04,Resultado na alienação de imobilizado,-217.0
2021-06-30,T2,6.01.01.05,Resultado de equivalência patrimonial,-5014.0
2021-06-30,T2,6.01.01.06,Provisão para contingências,-40.0
2021-06-30,T2,6.01.01.07,Amortização de custos de transação de empréstimos,1741.0
2021-06-30,T2,6.01.01.08,Provisão para perdas de crédito esperada,-785.0
2021-06-30,T2,6.01.01.09,Provisão com instrumentos derivativos,77869.0
2021-06-30,T2,6.01.01.10,Variação do valor justo do ativo biológico,-61216.0
2021-06-30,T2,6.01.01.11,Valor justo de CBIOS,-984.0
2021-06-30,T2,6.01.01.12,Remensurações de contratos de direito de uso earrendamentos a pagar,0.0
2021-06-30,T2,6.01.01.13,Provisão para estoque de lenta movimentação,-323.0
2021-06-30,T2,6.01.01.14,Variação cambial de empréstimos,-30870.0
2021-06-30,T2,6.01.01.15,Ajuste a valor presente,-7128.0
2021-06-30,T2,6.01.01.16,Impostos e contribuições correntes,869.0
2021-06-30,T2,6.01.01.17,Impostos e contribuições diferidos,40219.0
2021-06-30,T2,6.01.01.18,Juros provisionados sobre contratos de arrendamento eparcerias agrícolas,5829.0
2021-06-30,T2,6.01.01.19,Juros provisionados de empréstimos e financiamentos,20769.0
2021-06-30,T2,6.01.02,Variações nos Ativos e Passivos,15466.0
2021-06-30,T2,6.01.02.01,Contas a receber e outros recebíveis,-6219.0
2021-06-30,T2,6.01.02.02,Estoques,-14537.0
2021-06-30,T2,6.01.02.03,Ativos biológicos,-46035.0
2021-06-30,T2,6.01.02.04,Adiantamentos a fornecedores,13173.0
2021-06-30,T2,6.01.02.05,Impostos e contribuições a recuperar,5231.0
2021-06-30,T2,6.01.02.06,Imposto de renda e contribuição social a recuperar,4679.0
2021-06-30,T2,6.01.02.07,Outros ativos,-428.0
2021-06-30,T2,6.01.02.08,Depósitos judiciais,-3476.0
2021-06-30,T2,6.01.02.09,Fornecedores e outras contas a pagar,24323.0
2021-06-30,T2,6.01.02.10,Provisões e encargos trabalhistas,8175.0
2021-06-30,T2,6.01.02.11,Obrigações fiscais,19033.0
2021-06-30,T2,6.01.02.12,Adiantamentos de clientes,11547.0
2021-06-30,T2,6.01.03,Outros,-110835.0
2021-06-30,T2,6.01.03.01,Aplicações em caixa restrito,-176246.0
2021-06-30,T2,6.01.03.02,Resgate de caixa restrito,144139.0
2021-06-30,T2,6.01.03.03,Liquidaçção de instrumentos financeiros derivativos,-54183.0
2021-06-30,T2,6.01.03.04,Juros pagos de empréstimos e financiamentos,-17944.0
2021-06-30,T2,6.01.03.05,Juros pagos de arrendamentos,-5829.0
2021-06-30,T2,6.01.03.06,Imposto de renda e contribuição social pagos,-772.0
2021-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-62550.0
2021-06-30,T2,6.02.01,Aquisição de outros investimentos,-757.0
2021-06-30,T2,6.02.02,Aquisição de ativo imobilizado,-27576.0
2021-06-30,T2,6.02.03,Aquisição de ativo intangível,-286.0
2021-06-30,T2,6.02.04,Dividendos recebidos,0.0
2021-06-30,T2,6.02.05,Valor recebido em caixa por venda de imobilizado,572.0
2021-06-30,T2,6.02.06,Plantações e aquisições de lavouras de cana-de-açúcar,-34503.0
2021-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-210893.0
2021-06-30,T2,6.03.01,Empréstimos e financiamentos tomados,0.0
2021-06-30,T2,6.03.02,Amortização de empréstimos e financiamentos,-177451.0
2021-06-30,T2,6.03.03,Aumento de capital,0.0
2021-06-30,T2,6.03.04,Custo de emissão de ações,-3406.0
2021-06-30,T2,6.03.05,Amortização de parcerias agrícolas,-30036.0
2021-06-30,T2,6.03.06,Amortização de arrendamentos,0.0
2021-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2021-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,-101041.0
2021-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,1194100.0
2021-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,1093059.0
2021-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,321886.0
2021-09-30,T3,6.01.01,Caixa Gerado nas Operações,537468.0
2021-09-30,T3,6.01.01.01,Resultado do período,105449.0
2021-09-30,T3,6.01.01.02,Depreciação e amortização,120280.0
2021-09-30,T3,6.01.01.03,Amortização de tratos culturais,80263.0
2021-09-30,T3,6.01.01.04,Resultado de alienação de ativo imobilizado,975.0
2021-09-30,T3,6.01.01.05,Resultado de equivalência patrimonial,-12273.0
2021-09-30,T3,6.01.01.06,Provisão para contingências,-2048.0
2021-09-30,T3,6.01.01.07,Amortização de custos de transação de empréstimos,3011.0
2021-09-30,T3,6.01.01.08,Provisão para perdas de créditos esperada,-6475.0
2021-09-30,T3,6.01.01.09,Provisão com instrumentos financeiros derivativos,300655.0
2021-09-30,T3,6.01.01.10,Variação do valor justo de ativo biológico,-100328.0
2021-09-30,T3,6.01.01.11,Valor justo de CBIOS,-243.0
2021-09-30,T3,6.01.01.12,Remensuração de contratos de arrendamento e direito de uso,0.0
2021-09-30,T3,6.01.01.13,Provisão para estoque de lenta movimentação,108.0
2021-09-30,T3,6.01.01.14,Variação cambial de empréstimos,-11506.0
2021-09-30,T3,6.01.01.15,Ajuste a valor presente,-1987.0
2021-09-30,T3,6.01.01.16,Impostos e contribuições correntes,1919.0
2021-09-30,T3,6.01.01.17,Impostos e contribuições diferidos,3516.0
2021-09-30,T3,6.01.01.18,Atualização financeira de depósitos judiciais,-1688.0
2021-09-30,T3,6.01.01.19,Juros provisionados sobre contratos de arrendamentos,11658.0
2021-09-30,T3,6.01.01.20,Juros provisionados de empréstimos e financiamentos,46182.0
2021-09-30,T3,6.01.02,Variações nos Ativos e Passivos,-81693.0
2021-09-30,T3,6.01.02.01,Contas a receber e outros recebíveis,-3602.0
2021-09-30,T3,6.01.02.02,Estoques,-71530.0
2021-09-30,T3,6.01.02.03,Ativos biológicos,-110860.0
2021-09-30,T3,6.01.02.04,Adiantamento a fornecedores,11436.0
2021-09-30,T3,6.01.02.05,Impostos e contrinbuições a recuperar,7146.0
2021-09-30,T3,6.01.02.06,Imposto de renda e contribuição social a recuperar,2375.0
2021-09-30,T3,6.01.02.07,Outros ativos,134.0
2021-09-30,T3,6.01.02.08,Depósitos judiciais,-6732.0
2021-09-30,T3,6.01.02.09,Fornecedores e outras contas a pagar,24673.0
2021-09-30,T3,6.01.02.10,Provisões e encargos trabalhistas,13991.0
2021-09-30,T3,6.01.02.11,Obrigações fiscais,5602.0
2021-09-30,T3,6.01.02.12,Adiantamentos de clientes,45674.0
2021-09-30,T3,6.01.03,Outros,-133889.0
2021-09-30,T3,6.01.03.01,Aplicações em caixa restrito,-189246.0
2021-09-30,T3,6.01.03.02,Resgate de caixa restrito,214889.0
2021-09-30,T3,6.01.03.03,Liquidação de instrumentos financeiros derivativos,-116422.0
2021-09-30,T3,6.01.03.04,Juros pagos de empréstimos e financiamentos,-29746.0
2021-09-30,T3,6.01.03.05,Juros pagos de arrendamentos,-11658.0
2021-09-30,T3,6.01.03.06,Imposto de renda e contribuição social pagos,-1706.0
2021-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-110524.0
2021-09-30,T3,6.02.01,Aquisição de outros investimentos,-760.0
2021-09-30,T3,6.02.02,Aquisição de ativo imobilizado,-60990.0
2021-09-30,T3,6.02.03,Aquisição de ativo intangível,-577.0
2021-09-30,T3,6.02.04,Dividendos recebidos,7701.0
2021-09-30,T3,6.02.05,Valor recebido em caixa por venda de imobilizado,1240.0
2021-09-30,T3,6.02.06,Plantações e aquisições de lavouras de cana-de-açúcar,-57138.0
2021-09-30,T3,6.02.07,Valor recebido por redução de capital em investida,0.0
2021-09-30,T3,6.02.08,Plantações e aquisições de lavouras de cana-de-açúcar,0.0
2021-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,-372630.0
2021-09-30,T3,6.03.01,Empréstimos e financiamentos tomados,0.0
2021-09-30,T3,6.03.02,Amortização de empréstimos e financiamentos,-294898.0
2021-09-30,T3,6.03.03,Integralização de capital,0.0
2021-09-30,T3,6.03.04,Custo de emissão de ações,-4836.0
2021-09-30,T3,6.03.05,Amortização de parcerias agrícolas,-32266.0
2021-09-30,T3,6.03.06,Amortização de arrendamentos,0.0
2021-09-30,T3,6.03.07,Pagamento de dividendos,-40630.0
2021-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2021-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,-161268.0
2021-09-30,T3,6.05.01,Saldo Inicial de Caixa e Equivalentes,1194100.0
2021-09-30,T3,6.05.02,Saldo Final de Caixa e Equivalentes,1032832.0
2021-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,407644.0
2021-12-31,T4,6.01.01,Caixa Gerado nas Operações,841665.0
2021-12-31,T4,6.01.01.01,Resultado do período,274924.0
2021-12-31,T4,6.01.01.02,Depreciação e amortização,180633.0
2021-12-31,T4,6.01.01.03,Amortização de tratos culturais,114554.0
2021-12-31,T4,6.01.01.04,Resulado de alienação de ativo imobilizado,968.0
2021-12-31,T4,6.01.01.05,Resultado de equivalência patrimonial,-19791.0
2021-12-31,T4,6.01.01.06,Provisão para contingências,-2060.0
2021-12-31,T4,6.01.01.07,Amortização de custos de transação de empréstimos,4101.0
2021-12-31,T4,6.01.01.08,Provisão para perdas de créditos esperada,-7391.0
2021-12-31,T4,6.01.01.09,Provisão com instrumentos financeiros derivativos,322654.0
2021-12-31,T4,6.01.01.10,Variação do valor justo de ativo biológico,-140764.0
2021-12-31,T4,6.01.01.11,Avaliação de outros ativos a valor justo,-301.0
2021-12-31,T4,6.01.01.12,Remensuração de contratos de arrendamento e direito de uso,-12339.0
2021-12-31,T4,6.01.01.13,Provisão para estoque de lenta movimentação,-212.0
2021-12-31,T4,6.01.01.14,Variação cambial de empréstimos,-5377.0
2021-12-31,T4,6.01.01.15,Ajuste a valor presente,8553.0
2021-12-31,T4,6.01.01.16,Impostos e contribuições correntes,2971.0
2021-12-31,T4,6.01.01.17,Impostos e contribuições diferidos,31198.0
2021-12-31,T4,6.01.01.18,Atualização financeira de depósitos judiciais,-2609.0
2021-12-31,T4,6.01.01.19,Juros provisionados sobre contratos de arrendamentos,17505.0
2021-12-31,T4,6.01.01.20,Juros provisionados de empréstimos e financiamentos,74448.0
2021-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-240020.0
2021-12-31,T4,6.01.02.01,Contas a receber e outros recebíveis,-424.0
2021-12-31,T4,6.01.02.02,Estoques,-83847.0
2021-12-31,T4,6.01.02.03,Ativos biológicos,-167971.0
2021-12-31,T4,6.01.02.04,Adiantamento a fornecedores,11457.0
2021-12-31,T4,6.01.02.05,Impostos e contrinbuições a recuperar,-1438.0
2021-12-31,T4,6.01.02.06,Imposto de renda e contribuição social a recuperar,-1169.0
2021-12-31,T4,6.01.02.07,Outros ativos,-1729.0
2021-12-31,T4,6.01.02.08,Depósitos judiciais,-9282.0
2021-12-31,T4,6.01.02.09,Fornecedores e outras contas a pagar,15176.0
2021-12-31,T4,6.01.02.10,Provisões e encargos trabalhistas,17.0
2021-12-31,T4,6.01.02.11,Obrigações fiscais,-9105.0
2021-12-31,T4,6.01.02.12,Adiantamentos de clientes,8295.0
2021-12-31,T4,6.01.02.14,Parcerias agrícolas a pagar,0.0
2021-12-31,T4,6.01.03,Outros,-194001.0
2021-12-31,T4,6.01.03.01,Aplicações em caixa restrito,-190272.0
2021-12-31,T4,6.01.03.02,Resgate de caixa restrito,218196.0
2021-12-31,T4,6.01.03.03,Liquidação de instrumentos financeiros derivativos,-152522.0
2021-12-31,T4,6.01.03.04,Juros pagos de empréstimos e financiamentos,-49213.0
2021-12-31,T4,6.01.03.05,Juros pagos de arrendamentos,-17505.0
2021-12-31,T4,6.01.03.06,Imposto de renda e contribuição social pagos,-2685.0
2021-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-229378.0
2021-12-31,T4,6.02.01,Aquisição de outros investimentos,-821.0
2021-12-31,T4,6.02.02,Aquisição de ativo imobilizado,-162874.0
2021-12-31,T4,6.02.03,Aquisição de ativo intangível,-750.0
2021-12-31,T4,6.02.04,Dividendos recebidos,7701.0
2021-12-31,T4,6.02.05,Valor recebido em caixa por venda de imobilizado,7256.0
