cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1204674.000,1330800.000,1452129.000,1479336.000,1801495.000,1860692.000,2043903.000,2167588.000,2631623.000,2810316.000,3043993.000,3209937.000,3400251.000,3622109.000,3419475.000,3199517.000,3194502.000,3212621.000,3139287.000,3161102.000,3045479.000,2954516.000,2900808.000,2793493.000,2641547.000,2656365.000,2450449.000,2327825.000,2157254.000,2067512.000,1970956.000,1923975.000,1806.492,1787.857,1553.230,1480.879,1352519.000,1319456.000,1308071.000,1304063.000,1280373.000,1273104.000,1267316.000,1244553.000,1199309.000,1178425.000,1162121.000,1153156.000,1133288.000,1168020.000,1136678.000,1088816.000,1057095.000,1016154.000,961139.000,955012.000,857867.000,820667.000,785887.000,748692.000
1.01,Ativo Circulante,744035.000,860789.000,913787.000,951776.000,1022088.000,1147025.000,1359818.000,1456387.000,1667043.000,1684658.000,2023636.000,2038437.000,2046127.000,2195529.000,2468306.000,2238043.000,2038309.000,2081662.000,2140117.000,2320286.000,2245345.000,2172469.000,2157089.000,2088938.000,1983297.000,1930850.000,1786979.000,1735376.000,1593060.000,1553163.000,1589767.000,1521554.000,1532.976,1518.520,1357.110,1287.256,1158320.000,1126063.000,1117026.000,1113954.000,1080933.000,1074538.000,1071047.000,1054184.000,1008408.000,988806.000,979767.000,978917.000,965835.000,955137.000,924921.000,857498.000,846239.000,842731.000,787399.000,796827.000,784020.000,752892.000,719833.000,673985.000
1.01.01,Caixa e Equivalentes de Caixa,118773.000,174122.000,166582.000,22332.000,62887.000,147447.000,150046.000,65405.000,138552.000,71865.000,86538.000,131373.000,94103.000,188960.000,92127.000,106946.000,72123.000,53313.000,61587.000,82408.000,42842.000,33120.000,33620.000,35759.000,20786.000,58070.000,29091.000,19970.000,30689.000,26318.000,15116.000,11527.000,15.733,12.101,9.297,9.725,9610.000,12554.000,10618.000,9596.000,9736.000,13304.000,12017.000,13710.000,20063.000,14287.000,11882.000,15055.000,7739.000,12216.000,17879.000,28852.000,20845.000,32663.000,31199.000,31975.000,8363.000,5222.000,6756.000,3723.000
1.01.02,Aplicações Financeiras,4245.000,0.000,0.000,0.000,48931.000,0.000,0.000,23320.000,60226.000,69961.000,84956.000,35495.000,10949.000,8331.000,36686.000,1264.000,26592.000,80109.000,4312.000,6098.000,2598.000,38776.000,22809.000,10.000,5.000,3857.000,3976.000,5.000,5.000,65.000,65.000,65.000,0.065,0.065,0.065,0.064,3.000,0.000,0.000,0.000,0.000,0.000,0.000,4878.000,6868.000,7932.000,9130.000,192.000,685.000,1174.000,1174.000,1534.000,1656.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.03,Contas a Receber,349938.000,279545.000,329918.000,482705.000,455849.000,460683.000,576044.000,625102.000,819385.000,821685.000,814735.000,815165.000,925420.000,951579.000,1209995.000,900325.000,866227.000,840274.000,1038817.000,1115462.000,1038408.000,929693.000,929781.000,841515.000,729494.000,624138.000,526178.000,489800.000,428141.000,377276.000,387258.000,349318.000,234.416,217.245,193.439,181.983,195025.000,188434.000,182641.000,180830.000,153099.000,152105.000,150694.000,138000.000,138693.000,139973.000,118546.000,114853.000,105337.000,125228.000,105322.000,51677.000,40397.000,35492.000,53985.000,69060.000,119514.000,161329.000,175342.000,179457.000
1.01.04,Estoques,243943.000,355177.000,341200.000,376471.000,384944.000,457218.000,530960.000,647530.000,551015.000,609817.000,920158.000,924755.000,888562.000,908174.000,990953.000,1069193.000,920065.000,884474.000,856209.000,936447.000,1015774.000,1024801.000,1056488.000,1095277.000,1102650.000,1118170.000,1128738.000,1132702.000,1036817.000,1057060.000,1089343.000,1061972.000,1128.088,1134.431,1039.462,984.551,880571.000,851286.000,849362.000,848474.000,849054.000,842812.000,848557.000,837654.000,789457.000,776101.000,781255.000,789165.000,792994.000,761469.000,748052.000,722714.000,731144.000,721664.000,647609.000,624688.000,575921.000,506825.000,473914.000,429050.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,5835.000,6028.000,6544.000,12469.000,12961.000,12629.000,15053.000,10458.000,15449.000,12955.000,11721.000,10097.000,9168.000,8248.000,8564.000,16073.000,12693.000,11512.000,10976.000,9837.000,8440.000,8652.000,9846.000,10776.000,10983.000,10927.000,11207.000,11709.000,11836.000,11865.000,12034.000,11326.000,11.643,11.559,11.643,9.705,9264.000,9167.000,9288.000,9299.000,9302.000,8909.000,8912.000,8943.000,4303.000,4309.000,4317.000,4314.000,3111.000,3127.000,3165.000,3168.000,3175.000,3181.000,3306.000,3307.000,3355.000,3436.000,3381.000,2976.000
1.01.07,Despesas Antecipadas,0.000,11630.000,14443.000,14731.000,17394.000,22568.000,27781.000,26357.000,29395.000,32099.000,34516.000,35983.000,37418.000,38662.000,31387.000,31025.000,28980.000,29998.000,29746.000,27741.000,22625.000,21609.000,19872.000,19288.000,18233.000,0.000,14243.000,12749.000,10189.000,9359.000,9097.000,9060.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,21301.000,34287.000,55100.000,43068.000,39122.000,46480.000,59934.000,58215.000,53021.000,66276.000,71012.000,85569.000,80507.000,91575.000,98594.000,113217.000,111629.000,181982.000,138470.000,142293.000,114658.000,115818.000,84673.000,86313.000,101146.000,115688.000,73546.000,68441.000,75383.000,71220.000,76854.000,78286.000,143.031,143.119,103.204,101.228,63847.000,64622.000,65117.000,65755.000,59742.000,57408.000,50867.000,50999.000,49024.000,46204.000,54637.000,55338.000,55969.000,51923.000,49329.000,49553.000,49022.000,49731.000,51300.000,67797.000,76867.000,76080.000,60440.000,58779.000
