cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,3212621.0,3139287.0,3161102.0,3045479.0,2954516.0,2900808.0,2793493.0,2641547.0,2656365.0,2450449.0,2327825.0,2157256.0,2067512.0,1970956.0,1923975.0,1754147.0,1787.857,1553.23,1480.879,1352519.0,1319456.0,1308071.0,1304063.0,1280373.0,1273104.0,1267316.0,1244553.0,1199309.0,1178425.0,1162121.0,1153156.0,1133288.0,1168020.0,1136678.0,1088816.0,1057095.0,1016154.0,961139.0,955012.0,857867.0,820667.0,785887.0,748692.0
2.01,Passivo Circulante,1467549.0,1387705.0,1263397.0,1294832.0,1321265.0,1176669.0,1202209.0,1211645.0,1200044.0,1169935.0,1228493.0,1184032.0,1229511.0,1105639.0,1097908.0,927835.0,1137.385,1133.377,1119.404,1084460.0,1082956.0,1098629.0,1135673.0,1167150.0,1178963.0,1187803.0,1191841.0,1171674.0,1151685.0,1150103.0,1142687.0,1151341.0,1090172.0,1088388.0,1103594.0,1102761.0,1109346.0,395792.0,400183.0,428685.0,427181.0,432360.0,406597.0
2.01.01,Obrigações Sociais e Trabalhistas,9223.0,11300.0,12408.0,6771.0,8296.0,8409.0,8940.0,6039.0,6736.0,8408.0,6737.0,4537.0,4592.0,4314.0,4108.0,2102.0,2.735,3.758,4.595,4562.0,5445.0,5870.0,6030.0,5577.0,5981.0,6906.0,7577.0,2281.0,2669.0,2436.0,2890.0,2599.0,3041.0,2942.0,3363.0,3012.0,3572.0,4425.0,5221.0,5015.0,5865.0,6897.0,7879.0
2.01.02,Fornecedores,43953.0,45300.0,39017.0,36306.0,61836.0,73924.0,70392.0,69520.0,57080.0,48712.0,58449.0,55541.0,57093.0,55761.0,56419.0,58405.0,63.339,62.123,59.675,59233.0,56755.0,57493.0,58510.0,65931.0,65164.0,65244.0,66265.0,65605.0,67347.0,68249.0,66718.0,66418.0,67994.0,66141.0,66505.0,68973.0,71017.0,36383.0,42352.0,59132.0,57542.0,56807.0,34446.0
2.01.03,Obrigações Fiscais,41373.0,51524.0,47769.0,51607.0,61515.0,77474.0,73125.0,79588.0,94588.0,84112.0,94883.0,49935.0,54180.0,59853.0,58636.0,46261.0,59.183,64.296,67.171,77818.0,88848.0,93029.0,94883.0,98213.0,99774.0,103027.0,104266.0,81361.0,59803.0,60165.0,53770.0,63193.0,75192.0,73172.0,74731.0,82098.0,82703.0,84538.0,81011.0,90494.0,92215.0,98165.0,100626.0
2.01.04,Empréstimos e Financiamentos,1057190.0,936622.0,813369.0,855674.0,836438.0,670586.0,756042.0,773909.0,757449.0,758132.0,839301.0,836810.0,841646.0,728848.0,722723.0,547779.0,523.723,528.624,508.551,505040.0,507220.0,511320.0,543116.0,554242.0,562420.0,564886.0,564589.0,565829.0,567129.0,563869.0,563978.0,563303.0,492164.0,497809.0,511004.0,497630.0,501792.0,106873.0,114557.0,121444.0,123657.0,124651.0,127182.0
2.01.05,Outras Obrigações,313451.0,340486.0,348429.0,342053.0,350604.0,343631.0,290905.0,279787.0,280970.0,267200.0,225507.0,233713.0,268641.0,253582.0,252955.0,269878.0,485.092,471.415,476.432,435157.0,422345.0,428574.0,430791.0,441492.0,443979.0,446153.0,447616.0,455239.0,453564.0,454387.0,454627.0,455390.0,451573.0,448274.0,447991.0,451048.0,450262.0,163573.0,157042.0,152600.0,147902.0,145840.0,136464.0
2.01.06,Provisões,2359.0,2473.0,2405.0,2421.0,2576.0,2645.0,2805.0,2802.0,3221.0,3371.0,3616.0,3496.0,3359.0,3281.0,3067.0,3410.0,3.313,3.161,2.98,2650.0,2343.0,2343.0,2343.0,1695.0,1645.0,1587.0,1528.0,1359.0,1173.0,997.0,704.0,438.0,208.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,831642.0,651257.0,836065.0,778558.0,721782.0,889297.0,879914.0,921910.0,828661.0,771749.0,642257.0,518112.0,426953.0,477762.0,494414.0,565473.0,608.409,594.384,605.254,557685.0,574518.0,577008.0,561113.0,569888.0,564273.0,598068.0,628427.0,679924.0,718709.0,720736.0,744799.0,759936.0,815706.0,783081.0,765179.0,781939.0,756763.0,515000.0,530520.0,524588.0,529793.0,546920.0,530132.0
2.02.01,Empréstimos e Financiamentos,386231.0,259124.0,469168.0,390029.0,374862.0,547376.0,442451.0,420653.0,386674.0,353415.0,227769.0,91481.0,40688.0,76779.0,46399.0,72024.0,113.431,90.179,94.407,63597.0,83366.0,75864.0,42346.0,31004.0,18928.0,16816.0,23505.0,33141.0,31015.0,28824.0,33028.0,43249.0,120476.0,113680.0,99456.0,112175.0,128654.0,125746.0,139678.0,143444.0,149441.0,154253.0,163246.0
2.02.02,Outras Obrigações,309126.0,247891.0,207247.0,205538.0,168370.0,157284.0,253216.0,322287.0,257555.0,225912.0,239594.0,247658.0,193950.0,200504.0,258601.0,198034.0,302.005,309.147,315.636,302136.0,301950.0,317661.0,330478.0,349585.0,356530.0,383539.0,413564.0,459779.0,498140.0,510855.0,534456.0,543277.0,528737.0,519425.0,525313.0,539926.0,499208.0,257980.0,261245.0,263656.0,265840.0,278630.0,255968.0
2.02.03,Tributos Diferidos,101178.0,97312.0,94550.0,95437.0,85703.0,87391.0,87632.0,68102.0,63949.0,62610.0,31071.0,27548.0,24493.0,22652.0,4879.0,51270.0,80.969,79.344,75.228,67404.0,64781.0,64642.0,64619.0,68757.0,69847.0,72111.0,72395.0,64645.0,62620.0,61859.0,60971.0,58994.0,57561.0,54676.0,50984.0,50474.0,48794.0,45511.0,43636.0,34861.0,28105.0,24402.0,22936.0
