data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,603646.0
2010-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-396222.0
2010-12-31,T4,3.03,Resultado Bruto,207424.0
2010-12-31,T4,3.04,Despesas/Receitas Operacionais,-74659.0
2010-12-31,T4,3.04.01,Despesas com Vendas,-29076.0
2010-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-62487.0
2010-12-31,T4,3.04.02.01,Despesas Administrativas Diversas,-47743.0
2010-12-31,T4,3.04.02.02,Honorários da Administração,-3117.0
2010-12-31,T4,3.04.02.03,Participação de Funcionários,-11627.0
2010-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2010-12-31,T4,3.04.04,Outras Receitas Operacionais,14318.0
2010-12-31,T4,3.04.05,Outras Despesas Operacionais,0.0
2010-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,2586.0
2010-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,132765.0
2010-12-31,T4,3.06,Resultado Financeiro,-30823.0
2010-12-31,T4,3.06.01,Receitas Financeiras,8939.0
2010-12-31,T4,3.06.02,Despesas Financeiras,-39762.0
2010-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,101942.0
2010-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-12828.0
2010-12-31,T4,3.08.01,Corrente,-11062.0
2010-12-31,T4,3.08.02,Diferido,-1766.0
2010-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,89114.0
2010-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2010-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2010-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,89114.0
2010-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,91892.0
2010-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,-2778.0
2010-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2010-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2010-12-31,T4,3.99.01.01,ON,0.91892
2010-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2011-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,644959.0
2011-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-448787.0
2011-12-31,T4,3.03,Resultado Bruto,196172.0
2011-12-31,T4,3.04,Despesas/Receitas Operacionais,-95124.0
2011-12-31,T4,3.04.01,Despesas com Vendas,-49265.0
2011-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-70298.0
2011-12-31,T4,3.04.02.01,Despesas Administrativas Diversas,-51963.0
2011-12-31,T4,3.04.02.02,Honorários da Administração,-11665.0
2011-12-31,T4,3.04.02.03,Participação de Funcionários,-6670.0
2011-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2011-12-31,T4,3.04.04,Outras Receitas Operacionais,27650.0
2011-12-31,T4,3.04.05,Outras Despesas Operacionais,-4559.0
2011-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,1348.0
2011-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,101048.0
2011-12-31,T4,3.06,Resultado Financeiro,-19376.0
2011-12-31,T4,3.06.01,Receitas Financeiras,21572.0
