cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,5958150.0,6155820.0,6377778.0,6565587.0,6478158.0,5810284.0,5745669.0,4750550.0,4447718.0,4492062.0,4464170.0,4466181.0,4491392.0,4578075.0,4665492.0,4815061.0,4693431.0,4860472.0,4980142.0,5837934.0,5866202.0,6360208.0,7031621.0,7282039.0,7619655.0,8032952.0,8041157.0,8411534.0,8574369.0,9483245.0,9805348.0,10321737.0,10474756.0,10661379.0,10755819.0,11078069.0,11975291.0,11970125.0,12445119.0,13293747.0,14554070.0,15473499.0,15658342.0
2.01,Passivo Circulante,756999.0,941174.0,923891.0,1671085.0,1609555.0,933793.0,1163575.0,609448.0,371687.0,454404.0,468941.0,351934.0,394673.0,396507.0,434094.0,680168.0,665456.0,441027.0,403951.0,429940.0,408690.0,434370.0,556996.0,1078153.0,866764.0,804781.0,797854.0,843724.0,764652.0,890577.0,855965.0,774310.0,872571.0,943900.0,1071565.0,1238472.0,1579495.0,1735567.0,2121260.0,2387896.0,2291739.0,2249853.0,1897531.0
2.01.01,Obrigações Sociais e Trabalhistas,31675.0,33389.0,31424.0,24412.0,29953.0,31375.0,28118.0,27507.0,28499.0,32377.0,34377.0,32820.0,37474.0,41694.0,45125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.02,Fornecedores,79857.0,89747.0,93740.0,97042.0,80436.0,79177.0,74035.0,50626.0,67942.0,62035.0,53469.0,42867.0,45110.0,48253.0,49011.0,37644.0,37942.0,40889.0,70933.0,65871.0,60759.0,0.0,0.0,99584.0,85886.0,119276.0,125747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.03,Obrigações Fiscais,30455.0,32185.0,32805.0,31854.0,30383.0,28766.0,24422.0,18533.0,16412.0,14416.0,13283.0,11784.0,9662.0,8451.0,9975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.04,Empréstimos e Financiamentos,466672.0,631135.0,560270.0,559888.0,574293.0,425044.0,323707.0,280315.0,101484.0,217719.0,264258.0,131349.0,178991.0,152100.0,187207.0,134771.0,180968.0,235172.0,227215.0,179638.0,143705.0,122391.0,103208.0,384142.0,104499.0,118403.0,264635.0,258627.0,225106.0,376116.0,335319.0,135298.0,242489.0,294550.0,352671.0,265073.0,540582.0,640942.0,886272.0,1083774.0,890027.0,625422.0,593667.0
2.01.05,Outras Obrigações,148340.0,154718.0,205652.0,253192.0,198486.0,229828.0,331212.0,232467.0,157350.0,127857.0,103554.0,133114.0,123436.0,146009.0,142776.0,507753.0,446546.0,164966.0,105803.0,184431.0,204226.0,311979.0,453788.0,594427.0,676379.0,567102.0,407472.0,585097.0,539546.0,514461.0,520646.0,639012.0,630082.0,649350.0,718894.0,973399.0,1038913.0,1094625.0,1234988.0,1304122.0,1401712.0,1624431.0,1303864.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,704697.0,696004.0,139603.0,382081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,2838651.0,2701601.0,2874730.0,2229573.0,2257183.0,2323068.0,2098456.0,1923917.0,1871608.0,1843880.0,1834925.0,1966467.0,1957515.0,2050959.0,1983728.0,1867645.0,1741750.0,2139069.0,2224756.0,2351206.0,2421201.0,2646742.0,2620354.0,2377211.0,2746029.0,2897606.0,2732134.0,3021350.0,3132720.0,3681896.0,3881122.0,4387754.0,4346159.0,4331347.0,4292002.0,4616652.0,5012951.0,4686562.0,4635745.0,5069337.0,6093892.0,6810184.0,7042626.0
