cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1434539.0,1373825.0,1477762.0,1566240.0,1525487.0,1552104.0,1610688.0,1667337.0,1635007.0,1703289.0,1648105.0,1712639.0,1650547.0,1754628.0,1751654.0,1815501.0,1889161.0,1826742.0,1865970.0,1802268.0,1816881.0,1929489.0,2099743.0,2031804.0,1993091.0,2072617.0,2190306.0,2196576.0,2220031.0,2328548.0,2502673.0,2411619.0,2409036.0,2240772.0,2352551.0,2388031.0,2245409.0,2250587.0,2217465.0,2306859.0,2272588.0,2254478.0,2247987.0
1.01,Ativo Circulante,877996.0,812679.0,906325.0,985881.0,942276.0,965030.0,1022277.0,1081325.0,1050550.0,1120349.0,1065537.0,1133187.0,1068197.0,1171220.0,1175018.0,1236171.0,1212320.0,1147102.0,1185623.0,1119356.0,1134069.0,1252360.0,1425516.0,1347961.0,1311411.0,1397345.0,1539547.0,1553036.0,1582980.0,1692286.0,1869354.0,1773058.0,1781280.0,1610010.0,1742764.0,1762272.0,1621910.0,1633256.0,1604894.0,1690658.0,1639243.0,1621493.0,1624122.0
1.01.01,Caixa e Equivalentes de Caixa,274923.0,201738.0,212532.0,259071.0,257968.0,212190.0,217421.0,305040.0,346213.0,426883.0,376714.0,444507.0,413308.0,11838.0,14484.0,11218.0,11827.0,13967.0,16323.0,7749.0,10452.0,12588.0,30344.0,10965.0,17541.0,27320.0,19441.0,4307.0,134029.0,37120.0,36994.0,39202.0,31938.0,29933.0,10826.0,4885.0,6968.0,8366.0,7063.0,11606.0,5511.0,33367.0,105924.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464092.0,425572.0,457826.0,453413.0,347637.0,401683.0,384432.0,370364.0,370450.0,388060.0,525076.0,555721.0,612581.0,615362.0,615265.0,490607.0,598050.0,668177.0,620740.0,587858.0,502788.0,647575.0,732352.0,627771.0,648038.0,568247.0,736848.0,647630.0,659474.0,635506.0
1.01.03,Contas a Receber,337723.0,218692.0,307674.0,387037.0,395867.0,311023.0,356501.0,429280.0,409171.0,256159.0,307254.0,372261.0,366451.0,273278.0,378893.0,414237.0,438105.0,352960.0,379588.0,416356.0,444074.0,350138.0,445570.0,427620.0,445555.0,365831.0,425230.0,513120.0,532868.0,403004.0,483552.0,581808.0,569365.0,393683.0,510349.0,553781.0,516626.0,435221.0,522935.0,564118.0,547138.0,379573.0,456340.0
1.01.04,Estoques,183205.0,302072.0,288597.0,237409.0,194047.0,339678.0,348525.0,264427.0,206382.0,334682.0,272537.0,212452.0,181589.0,303838.0,248592.0,227067.0,192655.0,306659.0,276775.0,216084.0,214470.0,396790.0,430203.0,290168.0,189755.0,281817.0,371923.0,304821.0,314459.0,560367.0,585005.0,441743.0,501126.0,586358.0,470271.0,366047.0,358853.0,436780.0,414458.0,292338.0,344969.0,454244.0,335469.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,54659.0,62216.0,64311.0,76006.0,66115.0,72096.0,69677.0,55740.0,54865.0,60621.0,61576.0,64067.0,66886.0,74083.0,73066.0,81472.0,80299.0,86429.0,87319.0,79228.0,77561.0,89721.0,90091.0,75383.0,77455.0,85235.0,89119.0,89407.0,85700.0,70682.0,71205.0,65859.0,68540.0,76491.0,83315.0,83497.0,89017.0,82642.0,72859.0,67608.0,70900.0,73007.0,70393.0
1.01.07,Despesas Antecipadas,6165.0,5852.0,5525.0,5420.0,9196.0,6408.0,5506.0,6896.0,7212.0,8224.0,7155.0,6856.0,7892.0,7169.0,7601.0,7682.0,9667.0,8835.0,7727.0,6146.0,7866.0,9105.0,5700.0,7060.0,8788.0,9315.0,8597.0,13079.0,15450.0,13496.0,14661.0,14498.0,14128.0,12293.0,10927.0,12324.0,13913.0,13142.0,9967.0,8219.0,12063.0,10661.0,9065.0
1.01.08,Outros Ativos Circulantes,21321.0,22109.0,27686.0,20938.0,19083.0,23635.0,24647.0,19942.0,26707.0,33780.0,40301.0,33044.0,32071.0,36922.0,26810.0,36669.0,26354.0,30615.0,16208.0,9361.0,9282.0,23568.0,35548.0,11689.0,16596.0,15246.0,9875.0,13037.0,9867.0,9567.0,9760.0,9208.0,8325.0,8464.0,9501.0,9386.0,8762.0,9067.0,9365.0,9921.0,11032.0,11167.0,11425.0
1.02,Ativo Não Circulante,556543.0,561146.0,571437.0,580359.0,583211.0,587074.0,588411.0,586012.0,584457.0,582940.0,582568.0,579452.0,582350.0,583408.0,576636.0,579330.0,676841.0,679640.0,680347.0,682912.0,682812.0,677129.0,674227.0,683843.0,681680.0,675272.0,650759.0,643540.0,637051.0,636262.0,633319.0,638561.0,627756.0,630762.0,609787.0,625759.0,623499.0,617331.0,612571.0,616201.0,633345.0,632985.0,623865.0
1.02.01,Ativo Realizável a Longo Prazo,10210.0,11703.0,16258.0,22777.0,25456.0,28161.0,29515.0,28300.0,29028.0,28355.0,28983.0,29747.0,32863.0,33979.0,30478.0,34755.0,131726.0,133979.0,136120.0,137441.0,139548.0,136877.0,132254.0,129583.0,128441.0,126286.0,105002.0,101521.0,94254.0,99088.0,98564.0,107029.0,110519.0,116398.0,113725.0,129470.0,128529.0,121544.0,120438.0,129894.0,142783.0,143804.0,135185.0
1.02.02,Investimentos,304711.0,305382.0,306117.0,307066.0,307904.0,309049.0,310055.0,310819.0,311246.0,312156.0,312755.0,310544.0,310622.0,310702.0,310074.0,310003.0,309929.0,309812.0,309733.0,309793.0,309729.0,309647.0,309605.0,326109.0,326024.0,325539.0,325452.0,325418.0,325331.0,323149.0,323059.0,322969.0,322882.0,322794.0,323323.0,326025.0,325936.0,325848.0,325195.0,321630.0,321542.0,321454.0,321424.0
1.02.03,Imobilizado,239660.0,242118.0,247132.0,248603.0,247945.0,247970.0,246956.0,245011.0,242289.0,240513.0,238919.0,237256.0,236965.0,236831.0,234192.0,232590.0,233217.0,233869.0,232512.0,233711.0,231145.0,228268.0,230078.0,225913.0,224642.0,220934.0,217866.0,214237.0,215182.0,211811.0,209560.0,206504.0,192334.0,189587.0,170793.0,168356.0,167155.0,168059.0,165061.0,162801.0,167145.0,165847.0,165377.0
1.02.04,Intangível,1962.0,1943.0,1930.0,1913.0,1906.0,1894.0,1885.0,1882.0,1894.0,1916.0,1911.0,1905.0,1900.0,1896.0,1892.0,1982.0,1969.0,1980.0,1982.0,1967.0,2390.0,2337.0,2290.0,2238.0,2573.0,2513.0,2439.0,2364.0,2284.0,2214.0,2136.0,2059.0,2021.0,1983.0,1946.0,1908.0,1879.0,1880.0,1877.0,1876.0,1875.0,1880.0,1879.0
