cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,993309.000,1010535.000,1006036.000,1040183.000,1031095.000,1069089.000,1095570.000,1172587.000,1210282.000,1197108.000,1346271.000,1354102.000,1342254.000,1365805.000,1372107.000,1415433.000,1399719.000,1434539.000,1373825.000,1477762.000,1566240.000,1525487.000,1552104.000,1610688.000,1667337.000,1635007.000,1703289.000,1648105.000,1712639.000,1650547.000,1754628.000,1751654.000,1815501.000,1889161.000,1826742.000,1865970.000,1802268.000,1816881.000,1929489.000,2099743.000,2031804.000,1993091.000,2072617.000,2190306.000,2196576.000,2220031.000,2328548.000,2502673.000,2411619.000,2409036.000,2240772.000,2352551.000,2388031.000,2245409.000,2250587.000,2217465.000,2306859.000,2272588.000,2254478.000,2247987.000
2.01,Passivo Circulante,290878.000,304524.000,298396.000,279023.000,316156.000,317090.000,327897.000,369043.000,319232.000,318244.000,376560.000,400216.000,464503.000,468958.000,520601.000,558434.000,418627.000,422546.000,379247.000,466883.000,634069.000,642066.000,649944.000,683602.000,607485.000,527668.000,549377.000,566489.000,540677.000,598128.000,629228.000,580826.000,549437.000,581025.000,510230.000,568396.000,527514.000,637406.000,724913.000,840862.000,765714.000,716201.000,683069.000,726899.000,703732.000,750932.000,771642.000,969024.000,1024737.000,1040532.000,904120.000,842506.000,856496.000,742578.000,667403.000,885141.000,900644.000,900294.000,887991.000,702575.000
2.01.01,Obrigações Sociais e Trabalhistas,6181.000,6231.000,6597.000,6751.000,5345.000,3334.000,5755.000,6386.000,8725.000,9411.000,6701.000,6992.000,7416.000,8471.000,8028.000,9047.000,8598.000,10673.000,9278.000,9135.000,9706.000,11177.000,10248.000,10992.000,12037.000,13331.000,11351.000,12216.000,10109.000,11993.000,12541.000,14436.000,11432.000,12888.000,11373.000,12586.000,9899.000,11736.000,16992.000,18497.000,14356.000,16734.000,15004.000,18807.000,15014.000,14808.000,14859.000,18104.000,14527.000,14428.000,13221.000,15769.000,10791.000,12879.000,20210.000,19698.000,15535.000,17167.000,16548.000,18364.000
2.01.02,Fornecedores,29827.000,47263.000,38751.000,24824.000,24707.000,33903.000,28733.000,30055.000,22718.000,31374.000,28947.000,25486.000,23931.000,22508.000,30932.000,30875.000,27728.000,33694.000,41028.000,34206.000,39942.000,43621.000,39538.000,37511.000,40552.000,24568.000,31733.000,30982.000,32022.000,37084.000,37914.000,44033.000,50014.000,43829.000,39346.000,48015.000,47270.000,50720.000,48364.000,104932.000,96995.000,68448.000,63905.000,134308.000,102375.000,154252.000,66491.000,178525.000,136164.000,175246.000,88390.000,135272.000,165029.000,50737.000,62897.000,53437.000,102128.000,89589.000,56059.000,51135.000
2.01.03,Obrigações Fiscais,1411.000,2804.000,5778.000,6813.000,5258.000,8327.000,12355.000,14433.000,16828.000,7293.000,14664.000,15046.000,15721.000,6265.000,11542.000,12724.000,7790.000,9231.000,12470.000,12220.000,17425.000,9451.000,12753.000,16062.000,8395.000,5889.000,9019.000,9088.000,6991.000,6196.000,7462.000,8446.000,8119.000,8182.000,11066.000,9093.000,9493.000,12419.000,17443.000,26580.000,17971.000,11293.000,19418.000,16065.000,11479.000,17903.000,13524.000,13725.000,13160.000,13406.000,14691.000,14916.000,22602.000,13672.000,28777.000,14814.000,14875.000,17588.000,15174.000,12537.000
2.01.04,Empréstimos e Financiamentos,211253.000,201033.000,201742.000,188555.000,224390.000,211273.000,219162.000,249325.000,197542.000,190620.000,253164.000,238743.000,336895.000,352491.000,394305.000,427503.000,299721.000,288785.000,242142.000,325085.000,457258.000,466482.000,460688.000,490180.000,408883.000,353584.000,368125.000,377034.000,349652.000,417146.000,449187.000,398924.000,392073.000,340110.000,394800.000,449919.000,416164.000,509652.000,574976.000,599353.000,548741.000,531801.000,468510.000,423914.000,485600.000,455374.000,536669.000,631443.000,737416.000,717632.000,660069.000,544943.000,515716.000,552403.000,418072.000,643278.000,645506.000,652053.000,673525.000,477366.000
2.01.05,Outras Obrigações,37444.000,43181.000,39155.000,42571.000,43742.000,46234.000,46904.000,43528.000,47795.000,56409.000,48342.000,84123.000,45353.000,45434.000,43137.000,42489.000,32707.000,41649.000,33391.000,42308.000,49521.000,55789.000,63409.000,62844.000,60964.000,57762.000,55296.000,63148.000,66044.000,54152.000,48885.000,39121.000,42482.000,169163.000,44640.000,38861.000,32795.000,43673.000,44784.000,64416.000,71384.000,72675.000,98363.000,112143.000,71920.000,84166.000,108264.000,89403.000,84109.000,85990.000,95320.000,98176.000,105735.000,74189.000,91331.000,107619.000,68875.000,72086.000,73591.000,79010.000
2.01.06,Provisões,4762.000,4012.000,6373.000,9509.000,12714.000,14019.000,14988.000,25316.000,25624.000,23137.000,24742.000,29826.000,35187.000,33789.000,32657.000,35796.000,42083.000,38514.000,40938.000,43929.000,60217.000,55546.000,63308.000,66013.000,76654.000,72534.000,73853.000,74021.000,75859.000,71557.000,73239.000,75866.000,45317.000,6853.000,9005.000,9922.000,11893.000,9206.000,22354.000,27084.000,16267.000,15250.000,17869.000,21662.000,17344.000,24429.000,31835.000,37824.000,39361.000,33830.000,32429.000,33430.000,36623.000,38698.000,46116.000,46295.000,53725.000,51811.000,53094.000,64163.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,244797.000,250250.000,253710.000,298683.000,246761.000,281336.000,284087.000,305384.000,395501.000,383013.000,468535.000,478643.000,399384.000,418886.000,367220.000,362931.000,407827.000,435464.000,424736.000,425311.000,336570.000,284093.000,280871.000,297407.000,438383.000,482972.000,521925.000,446116.000,531963.000,410213.000,469040.000,502073.000,605483.000,645104.000,650344.000,626405.000,604472.000,503140.000,511961.000,542988.000,568394.000,572662.000,676045.000,734831.000,768642.000,737634.000,809514.000,776605.000,635895.000,612159.000,582275.000,754116.000,783821.000,748989.000,813813.000,558195.000,642510.000,606046.000,601525.000,774834.000
