data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,1056831.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-709322.0
2015-12-31,T4,3.03,Resultado Bruto,347509.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-259952.0
2015-12-31,T4,3.04.01,Despesas com Vendas,-159942.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-109203.0
2015-12-31,T4,3.04.02.01,Remuneração dos Administradores,0.0
2015-12-31,T4,3.04.02.02,Despesas Administrativas,-106444.0
2015-12-31,T4,3.04.02.03,Programa de Participação dos Lucros e Resultado,-2759.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,9193.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,0.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,87557.0
2015-12-31,T4,3.06,Resultado Financeiro,-36730.0
2015-12-31,T4,3.06.01,Receitas Financeiras,80610.0
2015-12-31,T4,3.06.02,Despesas Financeiras,-117340.0
2015-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,50827.0
2015-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-20922.0
2015-12-31,T4,3.08.01,Corrente,-23358.0
2015-12-31,T4,3.08.02,Diferido,2436.0
2015-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,29905.0
2015-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,29905.0
2015-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,24176.0
2015-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,5729.0
2015-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
