cd_conta,ds_conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,151512.000,156492.000,189466.000,190571.000,138124.000,169363.000,205126.000,224649.000,186256.000,203258.000,258462.000,282368.000,191620.000,242551.000,275420.000,277715.000,202132.000,244526.000,285911.000,295664.000,212360.000,242492.000,286055.000,315924.000,232305.000,280424.000,327559.000,332023.000,216040.000,255626.000,282282.000,315334.000,204122.000,240021.000,328616.000,333993.000,249935.000,303202.000,323238.000,342255.000,276185.000,352734.000,510783.000,424379.000,363755.000,460673.000,629730.000,548584.000,428513.000,513728.000,684992.000,638633.000,416085.000,456149.000,612228.000,634692.000,414130.000,547064.000,602434.000,648591.000,388261.000,430831.000,518032.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-110771.000,-112582.000,-138387.000,-142226.000,-95833.000,-118479.000,-134693.000,-151898.000,-131816.000,-136837.000,-172194.000,-204572.000,-137812.000,-158767.000,-193573.000,-200311.000,-142989.000,-161896.000,-199410.000,-207762.000,-143468.000,-172776.000,-181293.000,-211785.000,-154978.000,-156947.000,-234320.000,-236010.000,-159718.000,-163496.000,-209150.000,-225412.000,-142731.000,-144121.000,-224757.000,-263970.000,-174269.000,-212327.000,-244152.000,-252947.000,-189739.000,-234245.000,-348239.000,-363812.000,-283281.000,-361200.000,-505564.000,-455257.000,-316534.000,-381961.000,-554075.000,-529210.000,-323752.000,-357165.000,-491665.000,-489317.000,-322035.000,-396261.000,-481905.000,-544508.000,-289841.000,-326585.000,-381762.000
3.03,Resultado Bruto,40741.000,43910.000,51079.000,48345.000,42291.000,50884.000,70433.000,72751.000,54440.000,66421.000,86268.000,77796.000,53808.000,83784.000,81847.000,77404.000,59143.000,82630.000,86501.000,87902.000,68892.000,69716.000,104762.000,104139.000,77327.000,123477.000,93239.000,96013.000,56322.000,92130.000,73132.000,89922.000,61391.000,95900.000,103859.000,70023.000,75666.000,90875.000,79086.000,89308.000,86446.000,118489.000,162544.000,60567.000,80474.000,99473.000,124166.000,93327.000,111979.000,131767.000,130917.000,109423.000,92333.000,98984.000,120563.000,145375.000,92095.000,150803.000,120529.000,104083.000,98420.000,104246.000,136270.000
3.04,Despesas/Receitas Operacionais,-32323.000,-35313.000,-40110.000,-40335.000,-37623.000,-43324.000,-46586.000,-47097.000,-45241.000,-46195.000,-57792.000,-55461.000,-48467.000,-62918.000,-59562.000,-56203.000,-52626.000,-62991.000,-61350.000,-64905.000,-55554.000,-64499.000,-64495.000,-75404.000,-59485.000,-70365.000,-67106.000,-79515.000,-51041.000,-62574.000,-61563.000,-69964.000,-55085.000,-63878.000,-71187.000,-77748.000,-88784.000,-75920.000,-68153.000,-72828.000,-70136.000,-71389.000,-93090.000,-75985.000,-64212.000,-77845.000,-88188.000,-83514.000,-79857.000,-96925.000,-89891.000,-87314.000,-73221.000,-76850.000,-82879.000,-97535.000,-71172.000,-101697.000,-95394.000,-89629.000,-82081.000,-83798.000,-99925.000
3.04.02,Despesas Gerais e Administrativas,-11397.000,-11216.000,-12910.000,-14459.000,-11606.000,-15182.000,-15434.000,-18069.000,-14492.000,-18741.000,-23840.000,-20684.000,-14777.000,-19684.000,-18255.000,-24045.000,-16351.000,-20987.000,-19195.000,-24147.000,-20236.000,-24647.000,-22712.000,-41608.000,-23273.000,-31691.000,-23568.000,-37067.000,-25792.000,-23930.000,-21327.000,-37465.000,-25743.000,-26102.000,-26386.000,-39797.000,-28771.000,-34190.000,-27385.000,-30069.000,-30919.000,-32778.000,-38364.000,-34637.000,-31835.000,-33442.000,-34232.000,-39603.000,-35244.000,-41554.000,-37397.000,-45061.000,-34426.000,-30645.000,-33863.000,-39339.000,-33872.000,-40691.000,-43362.000,-46934.000,-35251.000,-36248.000,-47557.000
3.04.05,Outras Despesas Operacionais,-2.000,0.000,0.000,2.000,-52.000,-22.000,-1192.000,1266.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-906.000,-51.000,957.000,0.000,-1402.000,-1193.000,2595.000,-18952.000,397.000,0.000,1379.000,0.000,0.000,-2089.000,2089.000,0.000,-346.000,-2063.000,1582.000,0.000,-2241.000,-1219.000,3460.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,8418.000,8597.000,10969.000,8010.000,4668.000,7560.000,23847.000,25654.000,9199.000,20226.000,28476.000,22335.000,5341.000,20866.000,22285.000,21201.000,6517.000,19639.000,25151.000,22997.000,13338.000,5217.000,40267.000,28735.000,17842.000,53112.000,26133.000,16498.000,5281.000,29556.000,11569.000,19958.000,6306.000,32022.000,32672.000,-7725.000,-13118.000,14955.000,10933.000,16480.000,16310.000,47100.000,69454.000,-15418.000,16262.000,21628.000,35978.000,9813.000,32122.000,34842.000,41026.000,22109.000,19112.000,22134.000,37684.000,47840.000,20923.000,49106.000,25135.000,14454.000,16339.000,20448.000,36345.000
3.06,Resultado Financeiro,-3294.000,-744.000,-3446.000,-5544.000,-4036.000,1501.000,-9601.000,-6635.000,-3258.000,-11.000,-4152.000,-3704.000,-1970.000,-8317.000,-4722.000,-5592.000,-6059.000,-10782.000,-10352.000,-6169.000,-7816.000,-13248.000,-13148.000,-2518.000,-10211.000,-13627.000,-11782.000,-8909.000,-5743.000,-15593.000,-7485.000,-2190.000,-4652.000,-11807.000,-10490.000,-2314.000,-2275.000,-10506.000,-9804.000,-5000.000,-5808.000,-16946.000,-7225.000,1147.000,-8549.000,-7363.000,-6915.000,-4427.000,-20951.000,-15510.000,-24808.000,-24101.000,-17765.000,-21772.000,-35873.000,-22952.000,-14068.000,-14890.000,-18931.000,-11203.000,-15772.000,-17453.000,-17528.000
3.06.01,Receitas Financeiras,5010.000,6640.000,4427.000,4247.000,5946.000,11244.000,7961.000,7980.000,8688.000,13560.000,5801.000,7961.000,8697.000,7231.000,13075.000,11944.000,12594.000,8849.000,12477.000,17100.000,17505.000,12230.000,23187.000,27688.000,21493.000,18294.000,17576.000,23186.000,23527.000,12607.000,16314.000,18555.000,15416.000,13116.000,16697.000,21659.000,19958.000,11766.000,16566.000,20107.000,26927.000,10244.000,21496.000,20507.000,15791.000,13255.000,25354.000,33869.000,26710.000,54730.000,36320.000,33572.000,35637.000,32979.000,31462.000,29331.000,31209.000,32181.000,26190.000,45621.000,32102.000,32954.000,33932.000
