data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,7405.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,30425.0
2015-12-31,T4,6.01.01.01,Lucro líquido antes do imposto de renda e contribuição social das operações continuadas,-5471.0
2015-12-31,T4,6.01.01.02,Depreciação e amortização,25117.0
2015-12-31,T4,6.01.01.03,Provisões,12127.0
2015-12-31,T4,6.01.01.04,Resultado na venda de ativos imobilizados,0.0
2015-12-31,T4,6.01.01.05,Custo do imobilizado/intangível baixados,874.0
2015-12-31,T4,6.01.01.06,(Ganhos) perdas liquidas com instrumentos financeiros derivativos,-226.0
2015-12-31,T4,6.01.01.07,Encargos sobre empréstimos e debêntures,9561.0
2015-12-31,T4,6.01.01.08,Equivalência patrimonial,0.0
2015-12-31,T4,6.01.01.09,I Renda/Contribuição Social Diferidos,0.0
2015-12-31,T4,6.01.01.10,Provisão p/riscos tribut/cíveis/trab,0.0
2015-12-31,T4,6.01.01.11,Prejuízo antes dos impostos das operações descontinuadas,0.0
2015-12-31,T4,6.01.01.12,Rendimento sobre aplicações financeiras,-12425.0
2015-12-31,T4,6.01.01.13,Valor Justo Stock Options,868.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-23020.0
2015-12-31,T4,6.01.02.01,(Aumento) em contas a receber,-35129.0
2015-12-31,T4,6.01.02.02,Redução nos estoques,44866.0
2015-12-31,T4,6.01.02.03,Redução (aumento) em impostos a recuperar,1629.0
2015-12-31,T4,6.01.02.04,(Aumento) redução em outras contas a receber,-2674.0
2015-12-31,T4,6.01.02.05,Aumento (redução) em fornecedores,20476.0
2015-12-31,T4,6.01.02.06,(Redução) em salários e férias,-11402.0
2015-12-31,T4,6.01.02.07,Aumento (redução) em impostos a recolher,63.0
2015-12-31,T4,6.01.02.08,Aumento (redução) em adiantamento de clientes,-31473.0
2015-12-31,T4,6.01.02.09,(Redução) em outras contas a pagar,-251.0
2015-12-31,T4,6.01.02.10,Juros pagos por empréstimos e debêntures,-6227.0
2015-12-31,T4,6.01.02.11,Recebimentos de caixa por contrato a termo,0.0
2015-12-31,T4,6.01.02.12,Pagamentos de caixa por contratos a termo,0.0
2015-12-31,T4,6.01.02.13,Imposto de renda e contribuição social pagos,-2898.0
2015-12-31,T4,6.01.02.14,Juros sobre capital próprio recebido,0.0
2015-12-31,T4,6.01.02.15,Dividendos recebidos,0.0
2015-12-31,T4,6.01.02.16,Adiantamento de clientes,0.0
2015-12-31,T4,6.01.03,Outros,0.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,32558.0
2015-12-31,T4,6.02.01,Aquisição de ativo imobilizado e intangível,-47310.0
2015-12-31,T4,6.02.02,Outros investimentos não relevantes,0.0
2015-12-31,T4,6.02.03,Aplicação financeira retida - Não Circulante,0.0
2015-12-31,T4,6.02.04,Rendimento de cotas patrimoniais,0.0
2015-12-31,T4,6.02.05,Recebimento venda imobilizado,0.0
2015-12-31,T4,6.02.06,Aplicação financeira retida -  Circulante,0.0
2015-12-31,T4,6.02.07,Títulos e valores mobiliarios,79868.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-41465.0
2015-12-31,T4,6.03.01,Pagamento de empréstimos,-43925.0
2015-12-31,T4,6.03.02,Pagamento de dividendos,-35823.0
2015-12-31,T4,6.03.03,Empréstimos (pagos a) tomados de controladas,0.0
2015-12-31,T4,6.03.04,Empréstimos tomados,38183.0
2015-12-31,T4,6.03.05,Juros sobre capital próprio pagos,0.0
2015-12-31,T4,6.03.06,Aumento de capital,100.0
2015-12-31,T4,6.03.07,Bônus de Subscrição,0.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-1502.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,11013.0
2015-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,9511.0
2016-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,53122.0
2016-12-31,T4,6.01.01,Caixa Gerado nas Operações,-11719.0
2016-12-31,T4,6.01.01.01,Lucro (prejuízo) antes do imposto de renda e contribuição social,-38631.0
2016-12-31,T4,6.01.01.02,Depreciação e amortização,25312.0
2016-12-31,T4,6.01.01.03,Provisões,10087.0
2016-12-31,T4,6.01.01.04,Custo do imobilizado/intangível baixados,509.0
2016-12-31,T4,6.01.01.05,(Ganhos) perdas liquidas com instrumentos financeiros derivativos,-475.0
2016-12-31,T4,6.01.01.06,Encargos sobre empréstimos e debêntures,8264.0
2016-12-31,T4,6.01.01.07,Rendimentos sobre aplicações financeiras,-17744.0
2016-12-31,T4,6.01.01.08,Valor justo stock options,959.0
2016-12-31,T4,6.01.02,Variações nos Ativos e Passivos,64841.0
2016-12-31,T4,6.01.02.01,Redução (aumento) em contas a receber,56533.0
2016-12-31,T4,6.01.02.02,Redução nos estoques,47698.0
2016-12-31,T4,6.01.02.03,(Aumento) redução em impostos a recuperar,-4528.0
2016-12-31,T4,6.01.02.04,Redução (aumento) em outras contas a receber,2461.0
2016-12-31,T4,6.01.02.05,(Redução) aumento em fornecedores,-3903.0
2016-12-31,T4,6.01.02.06,Aumento (Redução) em salários e férias,539.0
2016-12-31,T4,6.01.02.07,(Redução) aumento em impostos a recolher,-4108.0
2016-12-31,T4,6.01.02.08,(Redução) em adiantamento de clientes,-21330.0
2016-12-31,T4,6.01.02.09,(Redução) aumento em outras contas a pagar,-538.0
2016-12-31,T4,6.01.02.10,Juros pagos por empréstimos e debêntures,-7948.0
2016-12-31,T4,6.01.02.11,Imposto de renda e contribuição social pagos,-35.0
2016-12-31,T4,6.01.03,Outros,0.0
2016-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-52037.0
2016-12-31,T4,6.02.01,Aquisição de ativo imobilizado e intangível,-13128.0
2016-12-31,T4,6.02.02,Aplicação financeira retida - Circulante,-11142.0
2016-12-31,T4,6.02.03,Rendimento de cotas patrimoniais,0.0
2016-12-31,T4,6.02.04,Títulos e valores mobiliários,-27767.0
2016-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,11194.0
2016-12-31,T4,6.03.01,Pagamento de empréstimos,-48304.0
2016-12-31,T4,6.03.02,Pagamento de dividendos,-2686.0
2016-12-31,T4,6.03.03,Empréstimos tomados,62184.0
2016-12-31,T4,6.03.04,Juros sobre capital próprio pagos,0.0
2016-12-31,T4,6.03.05,Aumento de capital,0.0
2016-12-31,T4,6.03.06,Bônus de subscrição,0.0
2016-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2016-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,12279.0
2016-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,9511.0
2016-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,21790.0
2017-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-18610.0
2017-12-31,T4,6.01.01,Caixa Gerado nas Operações,-12671.0
2017-12-31,T4,6.01.01.01,Lucro (prejuízo) antes do impostos de renda e da CSLL,-37200.0
2017-12-31,T4,6.01.01.02,Depreciação e amortização,26655.0
2017-12-31,T4,6.01.01.03,Provisões,179.0
2017-12-31,T4,6.01.01.04,Custo do imobilizado/Intnagível baixados,940.0
2017-12-31,T4,6.01.01.05,(Ganhos) perdas líquidas com instrumentos financeiros derivativos,-290.0
2017-12-31,T4,6.01.01.06,Encargos sobre empréstimos e debêntures,8381.0
2017-12-31,T4,6.01.01.07,Rendimentos sobre aplicações financeiras,-12090.0
2017-12-31,T4,6.01.01.08,Valor justo stock options,754.0
2017-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-5939.0
2017-12-31,T4,6.01.02.01,Redução(aumento) em contas a receber,14145.0
2017-12-31,T4,6.01.02.02,(Aumento) redução nos estoques,-11409.0
