data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,705979.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-615182.0
2015-12-31,T4,3.03,Resultado Bruto,90797.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-87091.0
2015-12-31,T4,3.04.01,Despesas com Vendas,-40857.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-53552.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,22496.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,-15178.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,3706.0
2015-12-31,T4,3.06,Resultado Financeiro,-9177.0
2015-12-31,T4,3.06.01,Receitas Financeiras,23155.0
2015-12-31,T4,3.06.02,Despesas Financeiras,-32332.0
2015-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-5471.0
2015-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,11708.0
2015-12-31,T4,3.08.01,Corrente,-1062.0
2015-12-31,T4,3.08.02,Diferido,12770.0
2015-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,6237.0
2015-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,6237.0
2015-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,6237.0
2015-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,0.0
2015-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2015-12-31,T4,3.99.01.01,ON,0.2371
2015-12-31,T4,3.99.01.02,PNA,0.0
2015-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2015-12-31,T4,3.99.02.01,ON,0.2371
2016-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,475298.0
2016-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-442594.0
2016-12-31,T4,3.03,Resultado Bruto,32704.0
2016-12-31,T4,3.04,Despesas/Receitas Operacionais,-81345.0
2016-12-31,T4,3.04.01,Despesas com Vendas,-36129.0
2016-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-49638.0
2016-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-12-31,T4,3.04.04,Outras Receitas Operacionais,18325.0
2016-12-31,T4,3.04.05,Outras Despesas Operacionais,-13903.0
2016-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2016-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-48641.0
2016-12-31,T4,3.06,Resultado Financeiro,10010.0
2016-12-31,T4,3.06.01,Receitas Financeiras,31073.0
2016-12-31,T4,3.06.02,Despesas Financeiras,-21063.0
2016-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-38631.0
2016-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,16507.0
