cd_conta,conta,2020T1,2020T2,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1061148.0,989684.0,1196535.0,1271601.0,1237589.0,1385288.0,1466555.0,1493941.0,1540609.0,1654222.0,1646817.0,1728844.0,1842891.0,1996708.0,1990895.0,1969035.0,2023479.0,1916827.0,1916393.0,1940667.0,1967701.0,1983759.0
1.01,Ativo Circulante,498909.0,631611.0,820478.0,809615.0,740724.0,916126.0,909629.0,965702.0,916386.0,878404.0,1089018.0,1124395.0,1120862.0,1342327.0,1309773.0,1217076.0,1367102.0,1294837.0,1321367.0,1376554.0,1443266.0,1419322.0
1.01.01,Caixa e Equivalentes de Caixa,30722.0,19677.0,122250.0,97009.0,82529.0,210077.0,193667.0,163912.0,198539.0,171556.0,146259.0,87585.0,171860.0,137797.0,104778.0,96546.0,225838.0,173899.0,183902.0,182477.0,167703.0,112360.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.03,Contas a Receber,200721.0,196482.0,130909.0,156301.0,154991.0,172348.0,187229.0,197187.0,142480.0,115861.0,172679.0,265950.0,236642.0,350366.0,346780.0,357505.0,447068.0,456948.0,506067.0,548735.0,543143.0,530155.0
1.01.04,Estoques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,267466.0,415452.0,567319.0,556305.0,503204.0,533701.0,528733.0,604603.0,575367.0,590987.0,770080.0,770860.0,712360.0,854164.0,858215.0,763025.0,694196.0,663990.0,631398.0,645342.0,732420.0,776807.0
1.02,Ativo Não Circulante,562239.0,358073.0,376057.0,461986.0,496865.0,469162.0,556926.0,528239.0,624223.0,775818.0,557799.0,604449.0,722029.0,654381.0,681122.0,751959.0,656377.0,621990.0,595026.0,564113.0,524435.0,564437.0
1.02.01,Ativo Realizável a Longo Prazo,427484.0,218485.0,292594.0,374786.0,399063.0,367429.0,440778.0,405944.0,494405.0,634812.0,415147.0,465720.0,578610.0,497352.0,527225.0,582777.0,511665.0,466878.0,468545.0,434323.0,398627.0,449224.0
1.02.02,Investimentos,133706.0,136703.0,80151.0,83210.0,86083.0,89421.0,99620.0,105358.0,113558.0,120110.0,119185.0,116737.0,121460.0,132175.0,129908.0,146092.0,123281.0,129860.0,98256.0,101063.0,96771.0,89355.0
1.02.03,Imobilizado,965.0,899.0,1298.0,1964.0,8138.0,8592.0,9534.0,9800.0,9219.0,11773.0,14618.0,13992.0,14308.0,15198.0,14602.0,14321.0,13188.0,13092.0,14421.0,14734.0,15114.0,12509.0
1.02.04,Intangível,84.0,1986.0,2014.0,2026.0,3581.0,3720.0,6994.0,7137.0,7041.0,9123.0,8849.0,8000.0,7651.0,9656.0,9387.0,8769.0,8243.0,12160.0,13804.0,13993.0,13923.0,13349.0
