data_fim,trimestre,cd_conta,ds_conta,valor_mil
2020-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,384273.0
2020-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-227363.0
2020-12-31,T4,3.03,Resultado Bruto,156910.0
2020-12-31,T4,3.04,Despesas/Receitas Operacionais,-87282.0
2020-12-31,T4,3.04.01,Despesas com Vendas,-40834.0
2020-12-31,T4,3.04.01.01,Despesas comerciais,-40834.0
2020-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-41948.0
2020-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2020-12-31,T4,3.04.04,Outras Receitas Operacionais,-10900.0
2020-12-31,T4,3.04.05,Outras Despesas Operacionais,-321.0
2020-12-31,T4,3.04.05.01,Despesas de depreciação,-321.0
2020-12-31,T4,3.04.05.02,Despesas tributárias,0.0
2020-12-31,T4,3.04.05.03,Outras receitas/despesas,0.0
2020-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,6721.0
2020-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,69628.0
2020-12-31,T4,3.06,Resultado Financeiro,5852.0
2020-12-31,T4,3.06.01,Receitas Financeiras,0.0
2020-12-31,T4,3.06.02,Despesas Financeiras,0.0
2020-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,75480.0
2020-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-9175.0
2020-12-31,T4,3.08.01,Corrente,-8165.0
2020-12-31,T4,3.08.02,Diferido,-1010.0
2020-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,66305.0
2020-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2020-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2020-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2020-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,66305.0
2020-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,64830.0
2020-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,1475.0
2020-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2020-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2020-12-31,T4,3.99.01.01,ON,942.885
2020-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2020-12-31,T4,3.99.02.01,ON,942.885
2021-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,488959.0
2021-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-279570.0
2021-12-31,T4,3.03,Resultado Bruto,209389.0
2021-12-31,T4,3.04,Despesas/Receitas Operacionais,-130114.0
2021-12-31,T4,3.04.01,Despesas com Vendas,-56348.0
2021-12-31,T4,3.04.01.01,Despesas comerciais,-56348.0
2021-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-72114.0
2021-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2021-12-31,T4,3.04.04,Outras Receitas Operacionais,-30037.0
2021-12-31,T4,3.04.05,Outras Despesas Operacionais,-998.0
2021-12-31,T4,3.04.05.01,Despesas de depreciação,-998.0
2021-12-31,T4,3.04.05.02,Despesas tributárias,0.0
2021-12-31,T4,3.04.05.03,Outras receitas/despesas,0.0
2021-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,29383.0
2021-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,79275.0
2021-12-31,T4,3.06,Resultado Financeiro,11260.0
2021-12-31,T4,3.06.01,Receitas Financeiras,0.0
2021-12-31,T4,3.06.02,Despesas Financeiras,0.0
2021-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,90535.0
2021-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-13088.0
2021-12-31,T4,3.08.01,Corrente,-13199.0
2021-12-31,T4,3.08.02,Diferido,111.0
2021-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,77447.0
2021-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
