cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,12261243.000,12220915.000,12383757.000,12683341.000,12741595.000,13495198.000,14063067.000,14397147.000,14097903.000,14103002.000,14323028.000,14156463.000,14919496.000,17808868.000,19735798.000,20713910.000,21173855.000,22274557.000,23145427.000,25176861.000,26268180.000,26934075.000,28111018.000,28223997.000,29313729.000,30017568.000,29378475.000,30161827.000,30549541.000,28513995.000,28836845.000,29362967.000,29633743.000,30254869.000,34298204.000,37275367.000,34703082.000,33839150.000,37229065.000,35838465.000,35270261.000,38583400.000,38280207.000,40836060.000,42075707.000,40199521.000,44289873.000,46125257.000,47577358.000,49381534.000,49258411.000,51693682.000,55434690.000,56794422.000,57495041.000,58988786.000,59390832.000,57473164.000,60335243.000,62163679.000
1.01,Ativo Circulante,4127147.000,4015790.000,4071892.000,4477746.000,4083482.000,4407879.000,4912350.000,4811795.000,4432090.000,4465189.000,4298701.000,4121106.000,4826148.000,6873487.000,7369835.000,8280187.000,7899676.000,7992082.000,7802555.000,8733329.000,8675744.000,8616633.000,8988191.000,8974515.000,9960035.000,10488206.000,10257144.000,11277315.000,11803589.000,9983947.000,10290857.000,10954647.000,10861934.000,11532422.000,15441340.000,16685429.000,13673944.000,12108925.000,14520351.000,12256202.000,10785871.000,13351011.000,12967285.000,14075288.000,13892141.000,11426859.000,13338329.000,12510469.000,12504004.000,12964232.000,11645316.000,13576633.000,16465645.000,17974739.000,19389513.000,14191442.000,13818844.000,12994752.000,15144906.000,16586925.000
1.01.01,Caixa e Equivalentes de Caixa,2531105.000,2434873.000,2482050.000,2814697.000,2341064.000,2705468.000,3080327.000,2914563.000,2517312.000,2515531.000,2418131.000,2174176.000,2729872.000,4410715.000,5051041.000,5811084.000,5245833.000,5069150.000,4718628.000,5370549.000,5053723.000,5304850.000,5216174.000,5317741.000,5872720.000,6652509.000,6339737.000,7068770.000,7028422.000,5329454.000,5625686.000,6043517.000,5733854.000,6133516.000,10102644.000,10784957.000,8340386.000,5796649.000,8037284.000,6534884.000,5208830.000,7014310.000,6510101.000,6958432.000,6405200.000,4149655.000,4875896.000,3711468.000,4683945.000,5210712.000,4071480.000,5926913.000,9558829.000,10724174.000,11904719.000,6668718.000,6736171.000,5671194.000,7302249.000,8959471.000
1.01.02,Aplicações Financeiras,198222.000,203465.000,209180.000,215486.000,221260.000,226864.000,231658.000,236025.000,240077.000,234532.000,238766.000,243870.000,249511.000,459759.000,471337.000,484218.000,497604.000,505934.000,521209.000,539065.000,557143.000,575070.000,594285.000,576769.000,591303.000,606068.000,614562.000,632122.000,1243173.000,1260828.000,1269779.000,1281198.000,1313350.000,1326308.000,1355631.000,1368094.000,1390529.000,1418332.000,1831094.000,1305584.000,1347897.000,1517091.000,1740234.000,1994787.000,2017235.000,2035506.000,2520360.000,2541120.000,1818368.000,1865176.000,1952298.000,1926214.000,1156002.000,1076318.000,1055261.000,829236.000,794037.000,799107.000,780504.000,766211.000
1.01.03,Contas a Receber,753961.000,770979.000,761492.000,781517.000,821148.000,814916.000,851629.000,959152.000,981986.000,1021368.000,1012204.000,1072009.000,1145154.000,1180594.000,1026780.000,1130303.000,1148676.000,1273769.000,1240197.000,1376085.000,1501099.000,1318434.000,1442887.000,1354267.000,1625380.000,1312855.000,1400592.000,1792581.000,1754063.000,1673378.000,1706115.000,2009240.000,2040931.000,1984699.000,1935491.000,2082180.000,1859505.000,2215161.000,2112812.000,1992740.000,1806918.000,2451445.000,2498094.000,2656638.000,2808514.000,2376511.000,2924999.000,2963631.000,2674899.000,2433296.000,2320134.000,2395415.000,2112722.000,2397054.000,2429640.000,2379802.000,1815129.000,1724715.000,1888215.000,2038764.000
1.01.04,Estoques,460128.000,475446.000,462546.000,495520.000,506218.000,521218.000,494458.000,481194.000,473658.000,479501.000,490286.000,489805.000,495852.000,507253.000,530459.000,532669.000,563709.000,599794.000,607449.000,663617.000,701126.000,834676.000,912683.000,875175.000,876915.000,915937.000,932586.000,906529.000,933161.000,984105.000,1041103.000,1128255.000,1206353.000,1352004.000,1460424.000,1414545.000,1332244.000,1462449.000,1557530.000,1379460.000,1379131.000,1474757.000,1612234.000,1789381.000,2003394.000,2095614.000,2145144.000,2350706.000,2442005.000,2603919.000,2719210.000,2663739.000,2665525.000,2869746.000,3122447.000,3306271.000,3215938.000,3421825.000,3749978.000,3526594.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,131102.000,86880.000,108068.000,137054.000,100619.000,64825.000,174607.000,151566.000,135310.000,132250.000,95414.000,102116.000,120050.000,247003.000,231564.000,253947.000,331968.000,429433.000,579025.000,665645.000,736501.000,486419.000,697559.000,674075.000,803355.000,796651.000,738726.000,600864.000,567079.000,488148.000,381320.000,239707.000,269728.000,440866.000,314745.000,758356.000,505411.000,977248.000,786319.000,866902.000,824771.000,731717.000,459139.000,393111.000,401001.000,451666.000,631535.000,666748.000,505351.000,293095.000,260538.000,372233.000,665106.000,618294.000,507097.000,687015.000,1045980.000,1028816.000,1043464.000,871908.000
1.01.07,Despesas Antecipadas,27498.000,20031.000,21498.000,14307.000,22385.000,16520.000,18143.000,11601.000,22332.000,18539.000,20529.000,17246.000,27867.000,25954.000,24602.000,18667.000,27820.000,27304.000,9881.000,7489.000,0.000,13815.000,18187.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,25131.000,24116.000,27058.000,19165.000,70788.000,58068.000,61528.000,57694.000,61415.000,63468.000,23371.000,21884.000,57842.000,42209.000,34052.000,49299.000,84066.000,86698.000,126166.000,110879.000,126152.000,83369.000,106416.000,176488.000,190362.000,204186.000,230941.000,276449.000,277691.000,248034.000,266854.000,252730.000,297718.000,295029.000,272405.000,277297.000,245869.000,239086.000,195312.000,176632.000,218324.000,161691.000,147483.000,282939.000,256797.000,317907.000,240395.000,276796.000,379436.000,558034.000,321656.000,292119.000,307461.000,289153.000,370349.000,320400.000,211589.000,349095.000,380496.000,423977.000
1.02,Ativo Não Circulante,8134096.000,8205125.000,8311865.000,8205595.000,8658113.000,9087319.000,9150717.000,9585352.000,9665813.000,9637813.000,10024327.000,10035357.000,10093348.000,10935381.000,12365963.000,12433723.000,13274179.000,14282475.000,15342872.000,16443532.000,17592436.000,18317442.000,19122827.000,19249482.000,19353694.000,19529362.000,19121331.000,18884512.000,18745952.000,18530048.000,18545988.000,18408320.000,18771809.000,18722447.000,18856864.000,20589938.000,21029138.000,21730225.000,22708714.000,23582263.000,24484390.000,25232389.000,25312922.000,26760772.000,28183566.000,28772662.000,30951544.000,33614788.000,35073354.000,36417302.000,37613095.000,38117049.000,38969045.000,38819683.000,38105528.000,44797344.000,45571988.000,44478412.000,45190337.000,45576754.000
1.02.01,Ativo Realizável a Longo Prazo,3110876.000,3159154.000,3275144.000,3193510.000,3115901.000,3522119.000,3564378.000,3823582.000,3815540.000,3756030.000,3754882.000,3763660.000,3707960.000,4131628.000,4127831.000,4486546.000,4416708.000,4573621.000,4730803.000,4877931.000,5063238.000,5130289.000,5632017.000,5726268.000,5682678.000,6103353.000,6109553.000,6005423.000,5863062.000,5849776.000,5989936.000,5918994.000,6250857.000,6019165.000,5930763.000,7184613.000,7045033.000,6909866.000,7042811.000,6861029.000,6486357.000,6905182.000,5827625.000,6639177.000,7151030.000,7050417.000,7580944.000,8560137.000,8728678.000,9358906.000,9850665.000,9884776.000,11062695.000,10799679.000,10046456.000,13374357.000,14251330.000,13538881.000,14175438.000,14643632.000
1.02.02,Investimentos,11542.000,11542.000,11542.000,11542.000,618029.000,622113.000,459941.000,461696.000,462193.000,457916.000,454181.000,464268.000,466581.000,472123.000,472830.000,485662.000,494747.000,502282.000,504635.000,510136.000,507275.000,515056.000,530295.000,539647.000,555345.000,552763.000,170995.000,176289.000,173446.000,170505.000,169898.000,170381.000,173259.000,177825.000,179590.000,182224.000,170657.000,261728.000,265473.000,266137.000,268444.000,265973.000,264586.000,264833.000,273436.000,278456.000,277654.000,280982.000,288995.000,292411.000,285502.000,287824.000,278510.000,276236.000,280309.000,125804.000,139229.000,135120.000,137256.000,135594.000
1.02.03,Imobilizado,5004023.000,5026761.000,5017980.000,4993181.000,4917083.000,4934806.000,5118221.000,5292068.000,5379426.000,5414894.000,5806266.000,5798805.000,5909507.000,6320677.000,7753756.000,7449838.000,8351387.000,9194472.000,10096021.000,11042867.000,12009146.000,12659276.000,12936138.000,12959771.000,13030184.000,12788101.000,12747566.000,12611085.000,12619495.000,12420961.000,12297060.000,12231596.000,12262472.000,12440686.000,12664097.000,13141621.000,13735580.000,14484785.000,15326084.000,16383004.000,17654257.000,17983348.000,19131912.000,19711324.000,20616716.000,21287581.000,22947061.000,24626689.000,25770584.000,26467817.000,27175055.000,27641135.000,27288202.000,27385068.000,27394764.000,30888679.000,30753351.000,30367043.000,30399443.000,30316800.000
1.02.04,Intangível,7655.000,7668.000,7199.000,7362.000,7100.000,8281.000,8177.000,8006.000,8654.000,8973.000,8998.000,8624.000,9300.000,10953.000,11546.000,11677.000,11337.000,12100.000,11413.000,12598.000,12777.000,12821.000,24377.000,23796.000,85487.000,85145.000,93217.000,91715.000,89949.000,88806.000,89094.000,87349.000,85221.000,84771.000,82414.000,81480.000,77868.000,73846.000,74346.000,72093.000,75332.000,77886.000,88799.000,145438.000,142384.000,156208.000,145885.000,146980.000,285097.000,298168.000,301873.000,303314.000,339638.000,358700.000,383999.000,408504.000,428078.000,437368.000,478200.000,480728.000
