data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,844385.0
2010-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-577882.0
2010-03-31,T1,3.02.01,Variação do Valor Justo dos Ativos Biológicos,87523.0
2010-03-31,T1,3.02.02,Custo dos Produtos Vendidos,-665405.0
2010-03-31,T1,3.03,Resultado Bruto,266503.0
2010-03-31,T1,3.04,Despesas/Receitas Operacionais,-118034.0
2010-03-31,T1,3.04.01,Despesas com Vendas,-72565.0
2010-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-45934.0
2010-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2010-03-31,T1,3.04.04,Outras Receitas Operacionais,5727.0
2010-03-31,T1,3.04.05,Outras Despesas Operacionais,-5262.0
2010-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2010-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,148469.0
2010-03-31,T1,3.06,Resultado Financeiro,-80586.0
2010-03-31,T1,3.06.01,Receitas Financeiras,47098.0
2010-03-31,T1,3.06.02,Despesas Financeiras,-127684.0
2010-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,67883.0
2010-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-23010.0
2010-03-31,T1,3.08.01,Corrente,-19392.0
2010-03-31,T1,3.08.02,Diferido,-3618.0
2010-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,44873.0
2010-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2010-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2010-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2010-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,44873.0
2010-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,41583.0
2010-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,3290.0
2010-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2010-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2010-03-31,T1,3.99.01.01,ON,0.0434
2010-03-31,T1,3.99.01.02,PN,0.0477
2010-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2010-03-31,T1,3.99.02.01,ON,0.0434
2010-03-31,T1,3.99.02.02,PN,0.0477
2010-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,905399.0
2010-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-627743.0
2010-06-30,T2,3.02.01,Variação do Valor Justo dos Ativos Biológicos,89029.0
2010-06-30,T2,3.02.02,Custo dos Produtos Vendidos,-716772.0
2010-06-30,T2,3.03,Resultado Bruto,277656.0
2010-06-30,T2,3.04,Despesas/Receitas Operacionais,-123372.0
2010-06-30,T2,3.04.01,Despesas com Vendas,-72726.0
