cd_conta,conta,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,752607.000,941907.000,925244.000,1030248.000,1010636.000,1016034.000,968794.000,966869.000,974760.000,986138.000,916693.000,923991.000,942362.000,960828.000,935269.000,926713.000,879438.000,955762.000,922242.000,853156.000
1.01,Ativo Circulante,43065.000,48807.000,31167.000,105056.000,94086.000,96920.000,51339.000,45525.000,51943.000,72642.000,10416.000,18955.000,34927.000,54518.000,30788.000,26957.000,45533.000,60644.000,32057.000,49361.000
1.01.01,Caixa e Equivalentes de Caixa,34198.000,1816.000,22984.000,53958.000,23215.000,7852.000,25730.000,12348.000,2051.000,3532.000,3605.000,4598.000,2084.000,4190.000,21680.000,10188.000,8832.000,5238.000,16605.000,21704.000
1.01.02,Aplicações Financeiras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.03,Contas a Receber,403.000,4876.000,594.000,46583.000,61674.000,85378.000,23152.000,30985.000,48528.000,67374.000,4639.000,8452.000,28023.000,45471.000,2772.000,11566.000,32146.000,52662.000,8846.000,16865.000
1.01.04,Estoques,1815.000,35274.000,555.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,6564.000,6768.000,6902.000,3577.000,8847.000,2847.000,1534.000,1177.000,937.000,904.000,753.000,4353.000,3957.000,3967.000,5279.000,3812.000,2646.000,2076.000,1128.000,756.000
1.01.07,Despesas Antecipadas,0.000,0.000,43.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,85.000,73.000,89.000,936.000,348.000,843.000,923.000,1015.000,427.000,832.000,1419.000,1552.000,863.000,890.000,1057.000,1391.000,1909.000,668.000,5478.000,10036.000
1.02,Ativo Não Circulante,709542.000,893100.000,894077.000,925192.000,916550.000,919114.000,917455.000,921344.000,922817.000,913496.000,906277.000,905036.000,907435.000,906310.000,904481.000,899756.000,833905.000,895118.000,890185.000,803795.000
1.02.01,Ativo Realizável a Longo Prazo,80438.000,25201.000,26382.000,60820.000,54331.000,58195.000,57928.000,63265.000,69267.000,60885.000,54657.000,53910.000,57247.000,56846.000,55945.000,57831.000,57003.000,55635.000,51451.000,28132.000
1.02.02,Investimentos,0.000,9763.000,9694.000,779252.000,811605.000,814571.000,813110.000,811652.000,806985.000,806028.000,805071.000,804114.000,803198.000,802503.000,801591.000,794996.000,731746.000,792647.000,791933.000,719222.000
1.02.03,Imobilizado,629104.000,857406.000,857136.000,84255.000,50614.000,46348.000,46417.000,46427.000,46565.000,46583.000,46549.000,47012.000,46990.000,46961.000,46945.000,46929.000,45156.000,46836.000,46801.000,56441.000
1.02.04,Intangível,0.000,730.000,865.000,865.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
