cd_conta,conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,607506.0,602104.0,1616146.0,1693791.0,1685384.0,1884420.0,1943036.0,1751040.0,1778449.0,1794881.0,1790264.0,1928664.0,1964512.0,2031994.0,2198322.0,2218279.0,2528143.0,2658599.0,2722417.0,3457891.0,3528495.0,3827977.0,4015727.0
1.01,Ativo Circulante,437001.0,463303.0,1474592.0,1398361.0,1354452.0,1420294.0,1330307.0,1139963.0,1371399.0,1494368.0,1487521.0,1517195.0,1611314.0,1567628.0,1572605.0,1737964.0,2090940.0,2218289.0,2171870.0,2636142.0,2701999.0,2833339.0,3122026.0
1.01.01,Caixa e Equivalentes de Caixa,49847.0,39853.0,1017840.0,899714.0,814889.0,792823.0,5205.0,7115.0,2455.0,15286.0,16616.0,33635.0,33442.0,34872.0,17891.0,39615.0,33816.0,35650.0,34226.0,106168.0,116342.0,138087.0,115719.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,22102.0,21159.0,11425.0,646395.0,460223.0,515786.0,501494.0,466333.0,395263.0,474728.0,504641.0,475217.0,335402.0,483271.0,574995.0,516869.0,670196.0,591168.0,652704.0,696192.0
1.01.03,Contas a Receber,116720.0,153873.0,191050.0,209145.0,250276.0,305909.0,283367.0,271790.0,233707.0,250707.0,241084.0,293805.0,318052.0,359637.0,444018.0,511881.0,605048.0,625415.0,662503.0,873251.0,844588.0,1019121.0,1087975.0
1.01.04,Estoques,269433.0,267583.0,265002.0,263033.0,264695.0,303131.0,387732.0,394801.0,613352.0,717763.0,754853.0,787976.0,780852.0,660639.0,622780.0,838631.0,949383.0,956908.0,928014.0,950318.0,1105851.0,971589.0,1163017.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,385.0,439.0,294.0,988.0,1414.0,3867.0,5151.0,4638.0,1081.0,4407.0,4766.0,5512.0,1821.0,3527.0,5230.0,6125.0,2140.0,4743.0,6169.0,10346.0,11680.0,18088.0,19378.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2282.0,4398.0,4740.0,5446.0,9027.0,12378.0,12864.0,16545.0,19088.0,23240.0
1.01.08,Outros Ativos Circulantes,616.0,1555.0,406.0,3379.0,2019.0,3139.0,2457.0,1396.0,5018.0,4711.0,3869.0,1004.0,2419.0,2030.0,3071.0,1570.0,11836.0,11551.0,11711.0,12999.0,15825.0,14662.0,16505.0
1.02,Ativo Não Circulante,170505.0,138801.0,141554.0,295430.0,330932.0,464126.0,612729.0,611077.0,407050.0,300513.0,302743.0,411469.0,353198.0,464366.0,625717.0,480315.0,437203.0,440310.0,550547.0,821749.0,826496.0,994638.0,893701.0
1.02.01,Ativo Realizável a Longo Prazo,158794.0,126633.0,129381.0,282180.0,315042.0,447097.0,592952.0,591097.0,386628.0,284759.0,287566.0,357224.0,263367.0,363366.0,521113.0,361134.0,323046.0,303594.0,372181.0,660800.0,683149.0,871255.0,759441.0
1.02.02,Investimentos,9612.0,10172.0,10313.0,10929.0,12310.0,13256.0,14684.0,15083.0,15740.0,11320.0,11081.0,50600.0,81691.0,90649.0,93085.0,103582.0,97758.0,117963.0,159488.0,135678.0,117157.0,97185.0,106544.0
1.02.03,Imobilizado,1900.0,1826.0,1720.0,2168.0,3215.0,3023.0,4297.0,4077.0,3921.0,3721.0,3370.0,2954.0,7470.0,9714.0,10914.0,15098.0,15978.0,18379.0,18520.0,23538.0,23974.0,23485.0,24806.0
1.02.04,Intangível,199.0,170.0,140.0,153.0,365.0,750.0,796.0,820.0,761.0,713.0,726.0,691.0,670.0,637.0,605.0,501.0,421.0,374.0,358.0,1733.0,2216.0,2713.0,2910.0
