cd_conta,conta,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,365872.000,607506.000,602104.000,1616146.000,1693791.000,1685384.000,1884420.000,1943036.000,1751040.000,1778449.000,1794881.000,1790264.000,1928664.000,1964512.000,2031994.000,2198322.000,2218279.000,2528143.000,2658599.000,2722417.000,3457891.000,3528495.000,3827977.000,4015727.000
2.01,Passivo Circulante,103875.000,228840.000,220503.000,227692.000,293101.000,268960.000,271271.000,300965.000,359087.000,373193.000,387763.000,407459.000,334718.000,351249.000,362117.000,457222.000,352846.000,382253.000,395708.000,449492.000,535180.000,556922.000,737566.000,885798.000
2.01.01,Obrigações Sociais e Trabalhistas,355.000,582.000,759.000,1941.000,3170.000,3479.000,4704.000,6233.000,5989.000,4839.000,5856.000,7594.000,7801.000,6525.000,7943.000,10144.000,10755.000,9973.000,12012.000,15744.000,21755.000,15922.000,20183.000,23775.000
2.01.02,Fornecedores,3643.000,5687.000,7328.000,8465.000,5633.000,11801.000,13474.000,12939.000,12230.000,16526.000,21062.000,22846.000,19550.000,30626.000,19818.000,22058.000,19709.000,46572.000,36892.000,55385.000,66209.000,59805.000,54037.000,71947.000
2.01.03,Obrigações Fiscais,4143.000,5533.000,6999.000,7985.000,9681.000,7382.000,11348.000,12938.000,8730.000,10058.000,7688.000,11244.000,11079.000,12076.000,17236.000,17742.000,19401.000,25667.000,27100.000,31749.000,36273.000,34016.000,66344.000,58418.000
2.01.04,Empréstimos e Financiamentos,4915.000,12409.000,270.000,816.000,3170.000,943.000,577.000,1097.000,505.000,536.000,576.000,619.000,903.000,1263.000,1527.000,35639.000,24951.000,5191.000,6947.000,18888.000,22116.000,83073.000,187495.000,170622.000
2.01.05,Outras Obrigações,90549.000,204353.000,204856.000,208151.000,270078.000,243857.000,240241.000,266428.000,330212.000,337648.000,349439.000,361949.000,292680.000,297667.000,312807.000,368686.000,274948.000,292201.000,309277.000,323449.000,384120.000,358971.000,404922.000,555444.000
2.01.06,Provisões,270.000,276.000,291.000,334.000,1369.000,1498.000,927.000,1330.000,1421.000,3586.000,3142.000,3207.000,2705.000,3092.000,2786.000,2953.000,3082.000,2649.000,3480.000,4277.000,4707.000,5135.000,4585.000,5592.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,146475.000,128368.000,115345.000,109936.000,100349.000,99354.000,198686.000,199859.000,141991.000,138615.000,155565.000,155317.000,337889.000,364806.000,358199.000,409725.000,450913.000,679821.000,685039.000,642005.000,1181598.000,1207518.000,1274709.000,1318834.000
2.02.01,Empréstimos e Financiamentos,51108.000,51387.000,51347.000,51500.000,55679.000,52586.000,52586.000,52476.000,2562.000,2526.000,2376.000,3222.000,43715.000,43429.000,64443.000,148400.000,192027.000,441400.000,488198.000,446886.000,633364.000,630661.000,661542.000,723877.000
2.02.02,Outras Obrigações,88543.000,67189.000,54056.000,45986.000,30017.000,31074.000,125757.000,129949.000,123092.000,120362.000,135471.000,137120.000,280345.000,305832.000,275716.000,242014.000,236794.000,213585.000,168797.000,161389.000,507435.000,535386.000,570919.000,547881.000
2.02.03,Tributos Diferidos,2647.000,3274.000,2166.000,3049.000,4912.000,5639.000,8816.000,5993.000,4450.000,5085.000,6349.000,2586.000,2251.000,2982.000,3947.000,3130.000,3713.000,3631.000,4623.000,7033.000,10649.000,7702.000,3561.000,2834.000
2.02.04,Provisões,4177.000,6518.000,7776.000,9401.000,9741.000,10055.000,11527.000,11441.000,11887.000,10642.000,11369.000,12389.000,11578.000,12563.000,14093.000,16181.000,18379.000,21205.000,23421.000,26697.000,30150.000,33769.000,38687.000,44242.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,Patrimônio Líquido Consolidado,115522.000,250298.000,266256.000,1278518.000,1300341.000,1317070.000,1414463.000,1442212.000,1249962.000,1266641.000,1251553.000,1227488.000,1256057.000,1248457.000,1311678.000,1331375.000,1414520.000,1466069.000,1577852.000,1630920.000,1741113.000,1764055.000,1815702.000,1811095.000
2.03.01,Capital Social Realizado,45004.000,106517.000,106517.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000,1133581.000
2.03.02,Reservas de Capital,-3.000,-3.000,-3.000,-41256.000,-44213.000,-44213.000,-44213.000,-44550.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000,-44593.000
2.03.03,Reservas de Reavaliação,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.04,Reservas de Lucros,58160.000,65717.000,78817.000,56361.500,127673.000,144727.000,235268.000,273630.000,89145.000,97472.000,80135.000,47754.000,80223.000,70832.000,133883.000,166029.000,182637.000,231707.000,281059.000,351941.000,391291.000,311291.000,262451.000,137761.000
2.03.05,Lucros/Prejuízos Acumulados,0.000,0.000,0.000,40096.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86883.000,205475.000,309434.000
2.03.06,Ajustes de Avaliação Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.07,Ajustes Acumulados de Conversão,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.08,Outros Resultados Abrangentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2774.000,6384.000,2480.000,4664.000,6312.000,6216.000,1364.000,373.000,6334.000,450.000,5584.000,6180.000,6450.000,6443.000
2.03.09,Participação dos Acionistas Não Controladores,12361.000,78067.000,80925.000,89735.000,83300.000,82975.000,89827.000,79551.000,71829.000,80181.000,79656.000,84362.000,84366.000,83973.000,82495.000,70142.000,141531.000,145001.000,201471.000,189541.000,255250.000,270713.000,252338.000,268469.000
