data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-29449.0
2019-12-31,T4,6.01.01,Caixa Gerado nas Operações,51078.0
2019-12-31,T4,6.01.01.01,Lucro (prejuízo) antes do imposto de renda e contribuição social,53729.0
2019-12-31,T4,6.01.01.02,Depreciação de bens do ativo imobilizado e intangivel,393.0
2019-12-31,T4,6.01.01.03,Resultado de equivalência patrimonial,-7895.0
2019-12-31,T4,6.01.01.04,Juros e variações monetárias sobre empréstimos,433.0
2019-12-31,T4,6.01.01.05,Ajuste a valor presente de contas a receber,1277.0
2019-12-31,T4,6.01.01.06,Ajuste a valor presente de arrendamento,337.0
2019-12-31,T4,6.01.01.07,Receita de imóveis - provisão distrato,586.0
2019-12-31,T4,6.01.01.08,Custo dos imóveis vendidos - provisão distrato,-353.0
2019-12-31,T4,6.01.01.09,Provisão para garantia de obra,653.0
2019-12-31,T4,6.01.01.10,"Provisões para riscos fiscais, trabalhistas e civeis",1517.0
2019-12-31,T4,6.01.01.11,Tributos diferidos sobre as receitas,208.0
2019-12-31,T4,6.01.01.12,Baixa de imobilizado,418.0
2019-12-31,T4,6.01.01.13,Outros resultados,-225.0
2019-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-78626.0
2019-12-31,T4,6.01.02.01,Contas a receber,-86075.0
2019-12-31,T4,6.01.02.02,Imóveis a comercializar,-7051.0
2019-12-31,T4,6.01.02.03,Tributos a recuperar,-66.0
2019-12-31,T4,6.01.02.04,Outros créditos,148.0
2019-12-31,T4,6.01.02.05,Fornecedores,2888.0
2019-12-31,T4,6.01.02.06,Contas a pagar por aquisição de imóveis,18584.0
2019-12-31,T4,6.01.02.07,Impostos e contribuições a recolher,1463.0
2019-12-31,T4,6.01.02.08,"Salários, encargos sociais",163.0
2019-12-31,T4,6.01.02.09,Adiantamentos de clientes,-18191.0
2019-12-31,T4,6.01.02.10,Outras contas a pagar,9511.0
2019-12-31,T4,6.01.03,Outros,-1901.0
2019-12-31,T4,6.01.03.01,Impostos e contribuições pagos,-1327.0
2019-12-31,T4,6.01.03.02,Juros pagos,-574.0
2019-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,5179.0
2019-12-31,T4,6.02.01,Investimentos e adiantamento para futuro aumento de capital,-1653.0
2019-12-31,T4,6.02.02,Dividendos recebidos,13584.0
2019-12-31,T4,6.02.03,Venda (compra) de participação societária,-7905.0
2019-12-31,T4,6.02.04,Caixa restrito,1492.0
2019-12-31,T4,6.02.05,Aplicações financeiras,0.0
2019-12-31,T4,6.02.06,Imobilizado e intangível,-339.0
2019-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,70235.0
2019-12-31,T4,6.03.01,Partes relacionadas,1624.0
2019-12-31,T4,6.03.02,Empréstimos e financiamentos - Ingressos,54402.0
2019-12-31,T4,6.03.03,Empréstimos e financiamentos - Amortização,0.0
2019-12-31,T4,6.03.04,Pagamentos de arrendamentos mercantil,-385.0
2019-12-31,T4,6.03.05,Pagamentos de dividendos,-2535.0
2019-12-31,T4,6.03.06,Aumento de capital e adiantamento para futuro aumento de capital,17129.0
2019-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2019-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,45965.0
2019-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,20052.0
2019-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,66017.0
2020-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-8188.0
2020-12-31,T4,6.01.01,Caixa Gerado nas Operações,127632.0
2020-12-31,T4,6.01.01.01,Lucro (prejuízo) antes do imposto de renda e contribuição social,126266.0
2020-12-31,T4,6.01.01.02,Depreciação de bens do ativo imobilizado e intangivel,435.0
2020-12-31,T4,6.01.01.03,Resultado de equivalência patrimonial,-1319.0
2020-12-31,T4,6.01.01.04,Juros e variações monetárias sobre empréstimos,672.0
2020-12-31,T4,6.01.01.05,Ajuste a valor presente de contas a receber,-1765.0
2020-12-31,T4,6.01.01.06,Ajuste a valor presente de arrendamento,23.0
2020-12-31,T4,6.01.01.07,Receita de imóveis - provisão distrato,215.0
2020-12-31,T4,6.01.01.08,Custo dos imóveis vendidos - provisão distrato,-839.0
2020-12-31,T4,6.01.01.09,Provisão para garantia de obra,-226.0
2020-12-31,T4,6.01.01.10,"Provisões para riscos fiscais, trabalhistas e civeis",2718.0
2020-12-31,T4,6.01.01.11,Tributos diferidos sobre as receitas,1452.0
2020-12-31,T4,6.01.01.12,Baixa de imobilizado,0.0
2020-12-31,T4,6.01.01.13,Outros resultados,0.0
2020-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-127412.0
2020-12-31,T4,6.01.02.01,Contas a receber,-91880.0
2020-12-31,T4,6.01.02.02,Imóveis a comercializar,-73822.0
2020-12-31,T4,6.01.02.03,Tributos a recuperar,-402.0
2020-12-31,T4,6.01.02.04,Outros créditos,-3602.0
2020-12-31,T4,6.01.02.05,Fornecedores,639.0
2020-12-31,T4,6.01.02.06,Contas a pagar por aquisição de imóveis,20911.0
2020-12-31,T4,6.01.02.07,Impostos e contribuições a recolher,2179.0
2020-12-31,T4,6.01.02.08,"Salários, encargos sociais",2815.0
2020-12-31,T4,6.01.02.09,Adiantamentos de clientes,7969.0
2020-12-31,T4,6.01.02.10,Outras contas a pagar,7781.0
2020-12-31,T4,6.01.03,Outros,-8408.0
2020-12-31,T4,6.01.03.01,Impostos e contribuições pagos,-6150.0
2020-12-31,T4,6.01.03.02,Juros pagos,-2258.0
2020-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-174354.0
2020-12-31,T4,6.02.01,Investimentos e adiantamento para futuro aumento de capital,0.0
2020-12-31,T4,6.02.02,Dividendos recebidos,1230.0
2020-12-31,T4,6.02.03,Venda (compra) de participação societária,0.0
2020-12-31,T4,6.02.04,Caixa restrito,546.0
2020-12-31,T4,6.02.05,Aplicações financeiras,-122723.0
2020-12-31,T4,6.02.06,Imobilizado e intangível,-38.0
2020-12-31,T4,6.02.07,Caixa líquido - recebido por consolidação de empresa adquirida,-53369.0
2020-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,1016237.0
2020-12-31,T4,6.03.01,Partes relacionadas,-4428.0
2020-12-31,T4,6.03.02,Empréstimos e financiamentos - Ingressos,7100.0
2020-12-31,T4,6.03.03,Empréstimos e financiamentos - Amortização,-12701.0
2020-12-31,T4,6.03.04,Pagamentos de arrendamentos mercantil,-420.0
2020-12-31,T4,6.03.05,Pagamentos de dividendos,-22475.0
2020-12-31,T4,6.03.06,Aumento de capital e adiantamento para futuro aumento de capital,1093371.0
2020-12-31,T4,6.03.07,Gastos com emissões de ações,-44210.0
2020-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,833695.0
2020-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,66017.0
2020-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,899712.0
2021-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-158139.0
2021-12-31,T4,6.01.01,Caixa Gerado nas Operações,222402.0
2021-12-31,T4,6.01.01.01,Lucro (prejuízo) antes do imposto de renda e contribuição social,221128.0
2021-12-31,T4,6.01.01.02,Depreciação de bens do ativo imobilizado e intangivel,791.0
2021-12-31,T4,6.01.01.03,Resultado de equivalência patrimonial,-4154.0
2021-12-31,T4,6.01.01.04,Juros e variações monetárias sobre empréstimos,2946.0
2021-12-31,T4,6.01.01.05,Ajuste a valor presente de contas a receber,-1193.0
2021-12-31,T4,6.01.01.06,Juros incorridos sobre arrendamento,469.0
2021-12-31,T4,6.01.01.07,Receita de imóveis - provisão distrato,-258.0
2021-12-31,T4,6.01.01.08,Custo dos imóveis vendidos - provisão distrato,-248.0
2021-12-31,T4,6.01.01.09,Provisão para garantia de obra,3237.0
2021-12-31,T4,6.01.01.10,"Provisões para riscos fiscais, trabalhistas e civeis",-161.0
2021-12-31,T4,6.01.01.11,Tributos diferidos sobre as receitas,-155.0
2021-12-31,T4,6.01.01.12,Baixa de imobilizado,0.0
2021-12-31,T4,6.01.01.13,Outros resultados,0.0
2021-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-361302.0
2021-12-31,T4,6.01.02.01,Contas a receber,-56892.0
2021-12-31,T4,6.01.02.02,Imóveis a comercializar,-427706.0
2021-12-31,T4,6.01.02.03,Tributos a recuperar,-5037.0
2021-12-31,T4,6.01.02.04,Outros créditos,2061.0
2021-12-31,T4,6.01.02.05,Fornecedores,6597.0
2021-12-31,T4,6.01.02.06,Contas a pagar por aquisição de imóveis,44859.0
2021-12-31,T4,6.01.02.07,Impostos e contribuições a recolher,-1115.0
2021-12-31,T4,6.01.02.08,"Salários, encargos sociais",2819.0
2021-12-31,T4,6.01.02.09,Adiantamentos de clientes,68261.0
2021-12-31,T4,6.01.02.10,Outras contas a pagar,4851.0
2021-12-31,T4,6.01.03,Outros,-19239.0
2021-12-31,T4,6.01.03.01,Impostos e contribuições pagos,-16970.0
2021-12-31,T4,6.01.03.02,Juros pagos,-2269.0
2021-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-449949.0
2021-12-31,T4,6.02.01,Investimentos e adiantamento para futuro aumento de capital,0.0
2021-12-31,T4,6.02.02,Dividendos recebidos,0.0
2021-12-31,T4,6.02.03,Venda (compra) de participação societária,0.0
2021-12-31,T4,6.02.04,Caixa restrito,-2493.0
2021-12-31,T4,6.02.05,Aplicações financeiras,-444089.0
2021-12-31,T4,6.02.06,Imobilizado e intangível,-3367.0
2021-12-31,T4,6.02.07,Caixa líquido - recebido por consolidação de empresa adquirida,0.0
2021-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-287004.0
2021-12-31,T4,6.03.01,Partes relacionadas,3835.0
2021-12-31,T4,6.03.02,Empréstimos e financiamentos - Ingressos,1524.0
2021-12-31,T4,6.03.03,Empréstimos e financiamentos - Amortização,-56899.0
2021-12-31,T4,6.03.04,Pagamentos de arrendamentos mercantil,-783.0
2021-12-31,T4,6.03.05,Pagamentos de dividendos,-155952.0
2021-12-31,T4,6.03.06,Aumento de capital e adiantamento para futuro aumento de capital,-24300.0
2021-12-31,T4,6.03.07,Gastos com emissões de ações,-380.0
2021-12-31,T4,6.03.08,Aquisição de ações em tesouraria,-54049.0
2021-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2021-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-895092.0
2021-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,899712.0
2021-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,4620.0
2022-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,80014.0
2022-12-31,T4,6.01.01,Caixa Gerado nas Operações,96655.0
2022-12-31,T4,6.01.01.01,Lucro (prejuízo) antes do imposto de renda e contribuição social,154226.0
2022-12-31,T4,6.01.01.02,Depreciação de bens do ativo imobilizado e intangivel,875.0
2022-12-31,T4,6.01.01.03,Resultado de equivalência patrimonial,1319.0
2022-12-31,T4,6.01.01.04,Juros e variações monetárias sobre empréstimos,476.0
2022-12-31,T4,6.01.01.05,Ajuste a valor presente de contas a receber,3479.0
2022-12-31,T4,6.01.01.06,Juros incorridos sobre arrendamento,458.0
2022-12-31,T4,6.01.01.07,Receita de imóveis - provisão distrato,2930.0
2022-12-31,T4,6.01.01.08,Custo dos imóveis vendidos - provisão distrato,-1230.0
2022-12-31,T4,6.01.01.09,Provisão para garantia de obra,3985.0
2022-12-31,T4,6.01.01.10,"Provisões para riscos fiscais, trabalhistas e civeis",-1045.0
2022-12-31,T4,6.01.01.11,Tributos diferidos sobre as receitas,-577.0
2022-12-31,T4,6.01.01.12,Baixa de imobilizado,0.0
2022-12-31,T4,6.01.01.13,Outros resultados,0.0
2022-12-31,T4,6.01.01.15,Rendimentos de titulos e valores mobiliarios,-64293.0
2022-12-31,T4,6.01.01.16,Juros ativos sobre empréstimos e mútuos,-3948.0
2022-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-9675.0
2022-12-31,T4,6.01.02.01,Contas a receber,-50936.0
2022-12-31,T4,6.01.02.02,Imóveis a comercializar,-51351.0
2022-12-31,T4,6.01.02.03,Tributos a recuperar,-4840.0
2022-12-31,T4,6.01.02.04,Outros créditos,393.0
2022-12-31,T4,6.01.02.05,Fornecedores,7320.0
2022-12-31,T4,6.01.02.06,Contas a pagar por aquisição de imóveis,5031.0
2022-12-31,T4,6.01.02.07,Impostos e contribuições a recolher,-15761.0
2022-12-31,T4,6.01.02.08,"Salários, encargos sociais",1812.0
2022-12-31,T4,6.01.02.09,Adiantamentos de clientes,43904.0
2022-12-31,T4,6.01.02.10,Outras contas a pagar,54753.0
2022-12-31,T4,6.01.03,Outros,-6966.0
2022-12-31,T4,6.01.03.01,Impostos e contribuições pagos,-6830.0
2022-12-31,T4,6.01.03.02,Juros pagos,-136.0
2022-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,76519.0
2022-12-31,T4,6.02.01,Investimentos e adiantamento para futuro aumento de capital,-49208.0
2022-12-31,T4,6.02.02,Dividendos recebidos,6438.0
2022-12-31,T4,6.02.03,Venda (compra) de participação societária,5934.0
2022-12-31,T4,6.02.04,Caixa restrito,1545.0
2022-12-31,T4,6.02.05,Aplicações financeiras,130186.0
2022-12-31,T4,6.02.06,Imobilizado e intangível,209.0
2022-12-31,T4,6.02.07,Caixa líquido - recebido por consolidação de empresa adquirida,0.0
2022-12-31,T4,6.02.08,Investimentos com operação de Swap,-5047.0
2022-12-31,T4,6.02.09,Partes relacionadas,-13538.0
2022-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-128468.0
2022-12-31,T4,6.03.01,Partes relacionadas,0.0
2022-12-31,T4,6.03.02,Empréstimos e financiamentos - Ingressos,42334.0
2022-12-31,T4,6.03.03,Empréstimos e financiamentos - Amortização,-405.0
2022-12-31,T4,6.03.04,Pagamentos de arrendamentos mercantil,-893.0
2022-12-31,T4,6.03.05,Pagamentos de dividendos,-132755.0
2022-12-31,T4,6.03.06,Aumento de capital e adiantamento para futuro aumento de capital,9274.0
2022-12-31,T4,6.03.07,Gastos com emissões de ações,0.0
2022-12-31,T4,6.03.08,Aquisição de ações em tesouraria,-46023.0
2022-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2022-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,28065.0
2022-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,4620.0
2022-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,32685.0
2023-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-251391.0
2023-12-31,T4,6.01.01,Caixa Gerado nas Operações,213861.0
