data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,1,Ativo Total,2730191.0
2015-03-31,T1,1.01,Ativo Circulante,1265174.0
2015-03-31,T1,1.01.01,Caixa e Equivalentes de Caixa,347897.0
2015-03-31,T1,1.01.02,Aplicações Financeiras,0.0
2015-03-31,T1,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.01.02.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.01.03,Contas a Receber,451470.0
2015-03-31,T1,1.01.03.01,Clientes,451470.0
2015-03-31,T1,1.01.03.01.01,Terceiros,396794.0
2015-03-31,T1,1.01.03.01.02,Partes relacionadas,54676.0
2015-03-31,T1,1.01.03.02,Outras Contas a Receber,0.0
2015-03-31,T1,1.01.04,Estoques,371972.0
2015-03-31,T1,1.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.01.06,Tributos a Recuperar,57826.0
2015-03-31,T1,1.01.06.01,Tributos Correntes a Recuperar,57826.0
2015-03-31,T1,1.01.07,Despesas Antecipadas,0.0
2015-03-31,T1,1.01.08,Outros Ativos Circulantes,36009.0
2015-03-31,T1,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.01.08.03,Outros,36009.0
2015-03-31,T1,1.01.08.03.01,Dividendos e juros sobre o capital de controlada a receber,0.0
2015-03-31,T1,1.01.08.03.02,Ganhos não realizados com instrumentos financeiros derivativos,6235.0
2015-03-31,T1,1.01.08.03.03,Outros Ativos,29774.0
2015-03-31,T1,1.02,Ativo Não Circulante,1465017.0
2015-03-31,T1,1.02.01,Ativo Realizável a Longo Prazo,74956.0
2015-03-31,T1,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.02.01.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.02.01.03,Contas a Receber,0.0
2015-03-31,T1,1.02.01.03.01,Clientes,0.0
2015-03-31,T1,1.02.01.03.02,Outras Contas a Receber,0.0
2015-03-31,T1,1.02.01.04,Estoques,0.0
2015-03-31,T1,1.02.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.02.01.06,Tributos Diferidos,7959.0
2015-03-31,T1,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,7959.0
2015-03-31,T1,1.02.01.07,Despesas Antecipadas,0.0
2015-03-31,T1,1.02.01.08,Créditos com Partes Relacionadas,24935.0
2015-03-31,T1,1.02.01.08.01,Créditos com Coligadas,0.0
2015-03-31,T1,1.02.01.08.03,Créditos com Controladores,0.0
2015-03-31,T1,1.02.01.08.04,Créditos com Outras Partes Relacionadas,24935.0
2015-03-31,T1,1.02.01.09,Outros Ativos Não Circulantes,42062.0
2015-03-31,T1,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.02.01.09.03,Tributos correntes a recuperar,29611.0
2015-03-31,T1,1.02.01.09.04,Outros ativos,12451.0
2015-03-31,T1,1.02.02,Investimentos,0.0
2015-03-31,T1,1.02.02.01,Participações Societárias,0.0
2015-03-31,T1,1.02.02.01.01,Participações em Coligadas,0.0
2015-03-31,T1,1.02.02.01.04,Outras Participações Societárias,0.0
2015-03-31,T1,1.02.02.02,Propriedades para Investimento,0.0
2015-03-31,T1,1.02.03,Imobilizado,769269.0
2015-03-31,T1,1.02.03.01,Imobilizado em Operação,763546.0
2015-03-31,T1,1.02.03.02,Imobilizado Arrendado,0.0
2015-03-31,T1,1.02.03.03,Imobilizado em Andamento,5723.0
2015-03-31,T1,1.02.04,Intangível,620792.0
2015-03-31,T1,1.02.04.01,Intangíveis,26268.0
2015-03-31,T1,1.02.04.01.01,Contrato de Concessão,8390.0
2015-03-31,T1,1.02.04.01.02,Intangível,17878.0
2015-03-31,T1,1.02.04.02,Goodwill,594524.0
2015-06-30,T2,1,Ativo Total,2722206.0
2015-06-30,T2,1.01,Ativo Circulante,1290621.0
2015-06-30,T2,1.01.01,Caixa e Equivalentes de Caixa,344796.0
2015-06-30,T2,1.01.02,Aplicações Financeiras,0.0
2015-06-30,T2,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-06-30,T2,1.01.02.01.01,Títulos para Negociação,0.0
2015-06-30,T2,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-06-30,T2,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-06-30,T2,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-06-30,T2,1.01.03,Contas a Receber,454000.0
2015-06-30,T2,1.01.03.01,Clientes,454000.0
2015-06-30,T2,1.01.03.01.01,Terceiros,385654.0
2015-06-30,T2,1.01.03.01.02,Partes relacionadas,68346.0
2015-06-30,T2,1.01.03.02,Outras Contas a Receber,0.0
2015-06-30,T2,1.01.04,Estoques,403745.0
2015-06-30,T2,1.01.05,Ativos Biológicos,0.0
2015-06-30,T2,1.01.06,Tributos a Recuperar,55606.0
2015-06-30,T2,1.01.06.01,Tributos Correntes a Recuperar,55606.0
2015-06-30,T2,1.01.07,Despesas Antecipadas,0.0
2015-06-30,T2,1.01.08,Outros Ativos Circulantes,32474.0
2015-06-30,T2,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-06-30,T2,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,1.01.08.03,Outros,32474.0
2015-06-30,T2,1.01.08.03.01,Dividendos e juros sobre o capital de controlada a receber,0.0
2015-06-30,T2,1.01.08.03.02,Ganhos não realizados com instrumentos financeiros derivativos,4830.0
2015-06-30,T2,1.01.08.03.03,Outros Ativos,27644.0
2015-06-30,T2,1.02,Ativo Não Circulante,1431585.0
