cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,2578157.000,2641028.000,2861613.000,2966518.000,2540428.000,2625748.000,2606288.000,2523072.000,2370793.000,2553172.000,2527285.000,2576292.000,2427735.000,2486102.000,2458783.000,2595303.000,2545829.000,2730191.000,2722206.000,2839065.000,2477941.000,2443319.000,2516427.000,2526701.000,2354914.000,2443375.000,2455749.000,2453859.000,2226144.000,2299617.000,2324996.000,2451669.000,2316131.000,2462801.000,2323907.000,2401065.000,2327651.000,2804196.000,2580209.000,2723062.000,2796583.000,2742684.000,2711549.000,2918553.000,2941040.000,3028541.000,2877206.000,3141523.000,3157199.000,3241983.000,3010199.000,3149272.000,2800925.000,3120539.000,3188828.000,3272284.000,3593297.000,3712264.000,3732397.000,3939110.000
2.01,Passivo Circulante,481549.000,565990.000,690743.000,905282.000,795846.000,845006.000,870962.000,699976.000,592083.000,500194.000,499751.000,473523.000,402931.000,414273.000,439817.000,496563.000,599518.000,771550.000,740879.000,822240.000,585414.000,497311.000,483845.000,437591.000,488968.000,507221.000,656305.000,547536.000,425764.000,451603.000,618564.000,680309.000,561466.000,572376.000,592308.000,643317.000,587102.000,972850.000,852214.000,953785.000,1016836.000,852585.000,726284.000,795546.000,843995.000,884153.000,897107.000,1000223.000,1039127.000,983306.000,979391.000,1066779.000,1059262.000,1170118.000,1006359.000,973581.000,1571065.000,1705723.000,1720584.000,1916503.000
2.01.01,Obrigações Sociais e Trabalhistas,83231.000,93352.000,114685.000,117560.000,86270.000,95850.000,111637.000,102616.000,78608.000,91609.000,110611.000,110052.000,85445.000,97751.000,111423.000,108345.000,73309.000,93018.000,105372.000,107610.000,78603.000,88525.000,101853.000,101089.000,71317.000,88392.000,105471.000,105990.000,82945.000,99510.000,106383.000,108525.000,82336.000,96689.000,108167.000,108624.000,67592.000,67242.000,86834.000,88706.000,64390.000,91986.000,112868.000,134342.000,101532.000,113912.000,128752.000,149929.000,109730.000,123009.000,141513.000,155757.000,111071.000,123327.000,146774.000,159695.000,152444.000,156659.000,178541.000,187260.000
2.01.02,Fornecedores,77791.000,85986.000,82672.000,90514.000,85124.000,81426.000,73862.000,86332.000,87951.000,104360.000,113548.000,116295.000,93581.000,109175.000,115974.000,115463.000,98759.000,140666.000,127407.000,124881.000,127276.000,117702.000,125824.000,125761.000,134106.000,133031.000,154418.000,165002.000,171874.000,167926.000,192014.000,188509.000,156839.000,159173.000,161165.000,178624.000,149508.000,177486.000,148555.000,197598.000,290003.000,364955.000,333011.000,312855.000,280400.000,319305.000,368443.000,386700.000,327022.000,357893.000,388478.000,376257.000,353781.000,412615.000,444034.000,396081.000,983713.000,1023151.000,867998.000,834243.000
2.01.03,Obrigações Fiscais,21085.000,17941.000,26515.000,25935.000,30503.000,27970.000,34063.000,33683.000,38582.000,31969.000,36115.000,32822.000,25229.000,33494.000,40484.000,42139.000,43135.000,47510.000,36440.000,59005.000,55418.000,45991.000,41865.000,46798.000,44038.000,53699.000,38545.000,31689.000,44019.000,50195.000,51310.000,49432.000,51099.000,59741.000,37269.000,45837.000,52656.000,39070.000,40921.000,55190.000,64836.000,69638.000,54598.000,76408.000,45926.000,42816.000,53475.000,89772.000,68059.000,78111.000,80055.000,100441.000,90292.000,113303.000,80614.000,93973.000,64745.000,78134.000,90449.000,90356.000
2.01.04,Empréstimos e Financiamentos,168621.000,242410.000,332515.000,457554.000,488831.000,521865.000,522403.000,381177.000,286787.000,174034.000,112155.000,106290.000,74456.000,73814.000,84704.000,132117.000,276633.000,353534.000,354303.000,335234.000,180702.000,122432.000,123903.000,80139.000,156287.000,146678.000,277502.000,162647.000,30987.000,28405.000,141451.000,202506.000,160381.000,148053.000,194233.000,213722.000,222700.000,520719.000,455064.000,470895.000,411737.000,110900.000,96372.000,129115.000,172124.000,148605.000,207687.000,204835.000,220768.000,224338.000,199983.000,260542.000,328219.000,332946.000,172204.000,151508.000,99682.000,193711.000,397406.000,618893.000
2.01.05,Outras Obrigações,66717.000,64147.000,73529.000,152595.000,66333.000,71943.000,81499.000,45071.000,59013.000,56666.000,82787.000,60311.000,83568.000,57942.000,46493.000,58180.000,76149.000,99404.000,78588.000,154096.000,98036.000,62988.000,34054.000,31199.000,39447.000,34901.000,37462.000,34543.000,51349.000,55039.000,75220.000,80342.000,65068.000,58989.000,43825.000,49743.000,49056.000,121708.000,78431.000,94428.000,138084.000,162469.000,70984.000,80666.000,182983.000,200095.000,72647.000,94417.000,207869.000,127332.000,88011.000,91857.000,96867.000,108026.000,79315.000,76557.000,139887.000,126427.000,69026.000,71390.000
2.01.06,Provisões,64104.000,62154.000,60827.000,61124.000,38785.000,45952.000,47498.000,51097.000,41142.000,41556.000,44535.000,47753.000,40652.000,42097.000,40739.000,40319.000,31533.000,37418.000,38769.000,41414.000,45379.000,59673.000,56346.000,52605.000,43773.000,50520.000,42907.000,47665.000,44590.000,50528.000,52186.000,50995.000,45743.000,49731.000,47649.000,46767.000,45590.000,46625.000,42409.000,46968.000,47786.000,52637.000,58451.000,62160.000,61030.000,59420.000,66103.000,74570.000,105679.000,72623.000,81351.000,81925.000,79032.000,79901.000,83418.000,95767.000,130594.000,127641.000,117164.000,114361.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,748772.000,687235.000,746376.000,590580.000,402504.000,399602.000,353477.000,407627.000,426295.000,662580.000,654567.000,665113.000,650545.000,660802.000,660337.000,674729.000,601031.000,569196.000,606877.000,606069.000,601765.000,582807.000,681475.000,726877.000,650228.000,680674.000,486009.000,559080.000,450160.000,437799.000,432768.000,418398.000,401724.000,486409.000,456024.000,443079.000,443595.000,499648.000,436275.000,438269.000,437760.000,420484.000,421054.000,406696.000,386242.000,375115.000,507708.000,500125.000,538315.000,531481.000,602542.000,511608.000,828945.000,840572.000,1186765.000,1187227.000,1251635.000,1117701.000,1270524.000,1143410.000
