data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,1,Ativo Total,9594924.0
2010-12-31,T4,1.01,Ativo Circulante,2378168.0
2010-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,514109.0
2010-12-31,T4,1.01.02,Aplicações Financeiras,11122.0
2010-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,11122.0
2010-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2010-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2010-12-31,T4,1.01.02.01.03,Titulos e Valores Mobiliários,11122.0
2010-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2010-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2010-12-31,T4,1.01.03,Contas a Receber,1338704.0
2010-12-31,T4,1.01.03.01,Clientes,1338704.0
2010-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2010-12-31,T4,1.01.04,Estoques,20537.0
2010-12-31,T4,1.01.05,Ativos Biológicos,0.0
2010-12-31,T4,1.01.06,Tributos a Recuperar,278885.0
2010-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,278885.0
2010-12-31,T4,1.01.06.01.01,Tributos e Contribições,278885.0
2010-12-31,T4,1.01.07,Despesas Antecipadas,2114.0
2010-12-31,T4,1.01.08,Outros Ativos Circulantes,212697.0
2010-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,1.01.08.03,Outros,212697.0
2010-12-31,T4,1.01.08.03.01,Serviços Prestados,59724.0
2010-12-31,T4,1.01.08.03.02,Outros Créditos,152973.0
2010-12-31,T4,1.01.08.03.03,Rendas a Receber Swap,0.0
2010-12-31,T4,1.01.08.03.04,Dividendos a receber,0.0
2010-12-31,T4,1.02,Ativo Não Circulante,7216756.0
2010-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,1956505.0
2010-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2010-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2010-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2010-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2010-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2010-12-31,T4,1.02.01.03,Contas a Receber,296261.0
2010-12-31,T4,1.02.01.03.01,Clientes,296261.0
2010-12-31,T4,1.02.01.03.02,Outras Contas a Receber,0.0
2010-12-31,T4,1.02.01.04,Estoques,0.0
2010-12-31,T4,1.02.01.05,Ativos Biológicos,0.0
2010-12-31,T4,1.02.01.06,Tributos Diferidos,899265.0
2010-12-31,T4,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,899265.0
2010-12-31,T4,1.02.01.07,Despesas Antecipadas,714.0
2010-12-31,T4,1.02.01.08,Créditos com Partes Relacionadas,0.0
2010-12-31,T4,1.02.01.08.01,Créditos com Coligadas,0.0
2010-12-31,T4,1.02.01.08.03,Créditos com Controladores,0.0
