cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,9594924.000,9628873.000,9725940.000,10359125.000,11081292.000,10999585.000,10844372.000,11886546.000,11147447.000,11818010.000,13006594.000,13021549.000,13002207.000,13378049.000,13155824.000,13032503.000,13634194.000,14399839.000,14041666.000,14661261.000,14901420.000,14733858.000,14266169.000,14694388.000,14330229.000,14481002.000,13946171.000,14027229.000,14945049.000,14891756.000,17198116.000,17561094.000,17863703.000,18046461.000,17864441.000,24735494.000,23843768.000,24646688.000,24137101.000,25577226.000,26397266.000,28060507.000,28431578.000,27144988.000,28277872.000,27758722.000,27886160.000,27953578.000,24106103.000,23825786.000,23405031.000,23361884.000,23716936.000,23800110.000,24217635.000,23834033.000,25343661.000,26840931.000,26154614.000,25743932.000
1.01,Ativo Circulante,2378168.000,2305930.000,2268455.000,2286904.000,2726875.000,2696109.000,2273430.000,3098379.000,2167186.000,2759364.000,3790482.000,3827515.000,3495756.000,3827316.000,3516835.000,3168320.000,2955252.000,3855750.000,3482421.000,4234269.000,3976236.000,3949594.000,3421671.000,3688352.000,3612477.000,3787754.000,3094318.000,3234314.000,4137972.000,3669733.000,5598234.000,5499906.000,5635370.000,5335372.000,4698257.000,5618529.000,5354226.000,6347546.000,5812717.000,7352341.000,7973724.000,9262680.000,10766359.000,8560115.000,9324029.000,8391606.000,8421680.000,8104499.000,4772892.000,4473779.000,4084960.000,4506483.000,5333564.000,5644207.000,5928497.000,5610473.000,7158984.000,8454785.000,6482628.000,5831189.000
1.01.01,Caixa e Equivalentes de Caixa,514109.000,372683.000,436865.000,441114.000,772548.000,662622.000,522960.000,1176675.000,230356.000,435926.000,2037312.000,1787341.000,546429.000,694394.000,1579051.000,376187.000,401138.000,641270.000,112918.000,145294.000,447441.000,645604.000,550433.000,951893.000,668304.000,685721.000,261961.000,251742.000,269928.000,174524.000,541976.000,356642.000,707042.000,389699.000,337780.000,455743.000,996338.000,797159.000,364770.000,268722.000,653200.000,317322.000,73940.000,108532.000,396777.000,12658.000,16562.000,12780.000,43886.000,27336.000,119178.000,21402.000,292066.000,81595.000,76950.000,18769.000,185797.000,25852.000,153334.000,346073.000
1.01.02,Aplicações Financeiras,11122.000,9821.000,11167.000,23948.000,8171.000,7313.000,15479.000,15488.000,15266.000,4423.000,7927.000,16168.000,1244000.000,13720.000,14816.000,985865.000,104698.000,169320.000,350836.000,336864.000,74682.000,69582.000,72230.000,13591.000,13467.000,16407.000,17219.000,26813.000,72348.000,39156.000,1409104.000,1038096.000,976798.000,797499.000,812896.000,1596528.000,681690.000,737087.000,629773.000,2700630.000,2436476.000,3740923.000,6007578.000,3388722.000,3208196.000,3275054.000,3960162.000,4010834.000,2039665.000,1597489.000,1631230.000,1696125.000,1805005.000,2343025.000,2692400.000,2380670.000,2903725.000,3574277.000,3023046.000,2295439.000
1.01.03,Contas a Receber,1338704.000,1412548.000,1245437.000,1257940.000,1383620.000,1483896.000,1300798.000,1361862.000,1441588.000,1309090.000,1133655.000,1120532.000,1223413.000,1691976.000,1411187.000,1183962.000,1380679.000,1851713.000,1708124.000,1758335.000,2199230.000,2375297.000,1957368.000,2024454.000,2271871.000,2537634.000,2215760.000,2336338.000,3121871.000,2918430.000,2812487.000,2934279.000,2855348.000,3106827.000,2520622.000,2381542.000,2536599.000,2567532.000,2597283.000,2902462.000,3257127.000,3165456.000,2255620.000,2406678.000,2424681.000,2939787.000,2290731.000,2181590.000,1005527.000,1316560.000,833740.000,960133.000,1304347.000,1311267.000,1272908.000,1343300.000,1724700.000,2014850.000,1414592.000,1401852.000
1.01.04,Estoques,20537.000,20622.000,23355.000,28303.000,27430.000,30181.000,29258.000,38617.000,30348.000,32481.000,33544.000,31332.000,29662.000,33878.000,37380.000,38224.000,33967.000,35753.000,38399.000,37515.000,34960.000,37651.000,41565.000,40408.000,38948.000,38985.000,41063.000,39151.000,36692.000,37459.000,36688.000,39287.000,38046.000,39606.000,39629.000,41728.000,60009.000,59567.000,61293.000,64029.000,62393.000,65727.000,69614.000,70700.000,65659.000,70695.000,72253.000,77317.000,75627.000,69068.000,61048.000,58367.000,56855.000,64637.000,66675.000,66725.000,80158.000,87612.000,81014.000,90919.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,278885.000,233475.000,292485.000,241597.000,270611.000,221427.000,87377.000,155451.000,203715.000,269162.000,205393.000,209208.000,160961.000,176761.000,143977.000,141646.000,120213.000,145805.000,167177.000,181003.000,176680.000,125096.000,208038.000,156975.000,201276.000,140574.000,181046.000,216311.000,139308.000,82734.000,161499.000,108449.000,104875.000,138002.000,200479.000,220710.000,216028.000,1377311.000,1125172.000,841612.000,792764.000,1104657.000,1285252.000,1224165.000,1262787.000,1262647.000,1485149.000,1011475.000,782502.000,707498.000,672508.000,996392.000,1097532.000,1069254.000,1118162.000,1064852.000,1124571.000,1081512.000,326713.000,304291.000
1.01.07,Despesas Antecipadas,2114.000,16310.000,13665.000,11499.000,2180.000,15202.000,13539.000,12342.000,1954.000,16417.000,14821.000,13434.000,15800.000,18416.000,16496.000,14633.000,14910.000,17685.000,15787.000,14278.000,24958.000,28916.000,30523.000,29023.000,29493.000,28515.000,26402.000,24409.000,28079.000,26198.000,24311.000,24753.000,29707.000,27684.000,25729.000,23793.000,23125.000,21164.000,19204.000,17405.000,25073.000,22978.000,22289.000,20649.000,28844.000,33368.000,32611.000,29934.000,23309.000,28836.000,26969.000,24695.000,28455.000,32611.000,27160.000,23449.000,25887.000,32027.000,29465.000,26896.000
1.01.08,Outros Ativos Circulantes,212697.000,240471.000,245481.000,282503.000,262315.000,275468.000,304019.000,337944.000,243959.000,691865.000,357830.000,649500.000,275491.000,1198171.000,313928.000,427803.000,899647.000,994204.000,1089180.000,1760980.000,1018285.000,667448.000,561514.000,472008.000,389118.000,339918.000,350867.000,339550.000,469746.000,391232.000,612169.000,998400.000,923554.000,836055.000,761122.000,898485.000,840437.000,787726.000,1015222.000,557481.000,746691.000,845617.000,1052066.000,1340669.000,1937085.000,797397.000,564212.000,780569.000,802376.000,726992.000,740287.000,749369.000,749304.000,741818.000,674242.000,712708.000,1114146.000,1638655.000,1454464.000,1365719.000
