codigo,nome,categoria,unidade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,3599983520.99,4376424.93,3623908.25,3719757.25,3073286.28,1857839.29,3271102.32,3144663.21,3128348.48,6756454.15,8471908.07,4288111.78,1724931.15,2980442.59,1512574.62,2160820.88,1683950.06
P_L,P/L,Valuation,x,6259.2081,14.0881,8.5485,6.3333,4.6366,49.1024,-10.4529,25.3151,18.8703,5.0884,12.244,10.7756,-0.3041,11.6806,0.9202,0.9413,0.7336
P_VPA,P/VPA,Valuation,x,1081.0294,1.3586,1.1977,1.0698,0.847,0.5069,0.9753,0.9162,0.923,1.0844,1.1972,0.491,0.6064,0.9628,0.2899,0.3843,0.2995
EV_EBITDA,EV/EBITDA,Valuation,x,2135.0912,4.0827,5.2297,3.7355,5.0559,5.8135,9.4439,6.0287,7.6126,7.3859,5.0678,6.4936,-8.7569,4.9595,3.8285,3.0645,2.903
EV_EBIT,EV/EBIT,Valuation,x,2900.075,8.8844,6.9372,5.9305,6.5595,14.0144,18.5274,8.6939,11.9242,10.7548,8.4582,10.345,-5.4073,7.4962,6.7362,6.7048,6.3514
EV_RECEITA,EV/Receita,Valuation,x,553.4124,1.1171,1.0004,1.0434,0.9913,0.8368,0.9884,0.9026,0.9584,1.034,1.1524,0.7939,0.7794,0.8167,0.533,0.6054,0.5735
DY,Dividend Yield,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYOUT,Payout,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROE,ROE,Rentabilidade,%,17.271,9.4832,13.5719,18.064,18.6562,1.0375,-8.917,3.661,4.8602,27.6049,10.3996,5.0343,-97.9836,8.5907,39.5417,54.2067,54.2067
ROA,ROA,Rentabilidade,%,5.9943,3.0049,3.8142,4.8641,4.9769,0.2652,-2.1411,0.8486,1.0106,6.3672,2.7544,1.4557,-21.6563,1.0671,6.701,9.2605,9.2605
ROIC,ROIC,Rentabilidade,%,15.5325,8.7282,10.3249,11.4888,9.4859,3.9153,3.5316,7.3835,5.4118,6.3791,8.5998,4.6372,-11.0121,8.7174,6.6771,7.1201,7.1201
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,25.9198,27.3614,19.1282,27.9328,19.6061,14.3948,10.4657,14.9723,12.5901,13.9999,22.7401,12.2259,-8.9008,16.4674,13.9215,19.7565,19.7565
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,8.8368,4.4731,5.5683,7.9132,7.181,0.3554,-3.2445,1.0979,1.3849,9.9167,5.2926,2.6711,-42.7985,1.8076,11.0497,15.3605,15.3605
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.1543,1.7795,2.7412,1.9413,3.3577,4.6013,6.2034,4.1724,5.5369,3.7815,2.2181,4.1393,-7.2947,3.6774,3.0982,2.3327,2.3327
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.5848,1.0497,1.3193,1.1575,1.6746,1.9242,1.8671,2.0592,2.4619,1.1377,0.9319,0.8633,3.0249,2.7614,1.2295,1.2251,1.2251
ICJ,ICJ,Endividamento,x,2.5213,1.3782,1.5692,1.649,1.7005,0.3948,0.5445,1.2032,0.7435,1.073,0.9732,0.6676,-0.4675,1.0655,4.5836,2.7355,2.7355
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,22.1309,12.4525,10.8966,11.0484,8.809,24.3475,28.0299,33.3097,19.9037,15.8251,24.2726,17.3511,8.9953,100.0,7.4059,12.8486,12.8486
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.0875,1.3723,1.111,1.0534,1.0104,0.9038,0.7416,0.7533,1.0676,1.0341,1.1049,1.394,0.8456,0.344,1.4221,0.9902,0.9902
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0781,1.3585,1.0954,1.0445,0.9988,0.8959,0.7336,0.7466,1.0604,1.0225,1.0962,1.3842,0.8322,0.3403,1.4061,0.9747,0.9747
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.6919,0.6192,0.641,0.7054,0.7155,0.7461,0.7553,0.801,0.8747,1.0697,1.1116,1.1909,0.9214,0.9526,1.0844,1.1215,1.1215
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.6783,0.6267,0.6829,0.5708,0.677,0.7145,0.6731,0.7571,0.6701,0.5616,0.4953,0.5268,0.5498,0.5952,0.587,0.5805,0.5805
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,24.489,22.066,20.7965,1.7374,-22.1445,18.1756,26.4736,18.726,8.9972,-20.9227,-33.3943,-1.6653,-18.3725,-19.4205,-20.5953,-30.0087,-30.0087
PME,PME,Eficiência,dias,1.5955,1.8666,1.8334,1.9469,1.6911,1.3884,1.7435,1.4893,1.405,2.151,2.2738,1.8945,2.4155,1.8154,2.2996,2.6237,2.6237
NCG_RECEITA,NCG/Receita,Eficiência,%,3.2787,6.8731,5.6826,-13.0774,1.1319,8.4427,0.0584,6.8142,5.59,-0.8517,0.135,6.4706,-15.0427,-11.4939,-1.753,-9.8696,-9.8696
