cd_conta,conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1621827.0,1686295.0,2184209.0,2218692.0,2067452.0,2435329.0,2610743.0,2692070.0,2561745.0,2549470.0,2831209.0,3031361.0,2872723.0,2823570.0,3053455.0,3305723.0,3272536.0,3748129.0,3655075.0,3702247.0,3430223.0,3738105.0,3666739.0
1.01,Ativo Circulante,1085729.0,1138121.0,1600999.0,1602379.0,1424316.0,1728338.0,1785064.0,1823057.0,1674109.0,1628680.0,1866532.0,2032988.0,1855309.0,1795976.0,2033434.0,2218074.0,2082861.0,2605664.0,2598365.0,2639842.0,2380561.0,2711456.0,2656845.0
1.01.01,Caixa e Equivalentes de Caixa,173272.0,263853.0,598032.0,475437.0,254443.0,474058.0,365731.0,256351.0,156278.0,142400.0,340867.0,416779.0,222905.0,143198.0,278719.0,421357.0,246109.0,631184.0,482316.0,489905.0,169000.0,478816.0,374058.0
1.01.02,Aplicações Financeiras,17430.0,31536.0,31670.0,31536.0,31928.0,72244.0,82846.0,84889.0,67337.0,70162.0,77910.0,75522.0,83250.0,63230.0,107214.0,110209.0,108147.0,169217.0,170288.0,163107.0,161533.0,145976.0,156821.0
1.01.03,Contas a Receber,552420.0,514644.0,585394.0,646336.0,672690.0,707485.0,766605.0,833144.0,833451.0,806832.0,843817.0,911714.0,939889.0,970189.0,1020556.0,1059229.0,1115725.0,1140239.0,1208110.0,1251981.0,1332847.0,1311535.0,1386229.0
1.01.04,Estoques,233889.0,219744.0,263804.0,318904.0,320450.0,352799.0,419913.0,457978.0,499180.0,490165.0,460969.0,470817.0,473482.0,495623.0,495253.0,474515.0,480443.0,503716.0,516852.0,518113.0,508358.0,544393.0,544326.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,57596.0,52730.0,67351.0,70323.0,83216.0,91899.0,104987.0,143529.0,75823.0,82634.0,108863.0,115769.0,95912.0,86466.0,82640.0,98122.0,87719.0,119165.0,173971.0,163422.0,163296.0,182821.0,160189.0
1.01.07,Despesas Antecipadas,9030.0,11862.0,1147.0,2356.0,2528.0,2668.0,2000.0,3446.0,4959.0,3877.0,3929.0,5455.0,7107.0,5070.0,4536.0,7495.0,7747.0,7282.0,4657.0,8460.0,8636.0,7336.0,4849.0
1.01.08,Outros Ativos Circulantes,42092.0,43752.0,53601.0,57487.0,59061.0,27185.0,42982.0,43720.0,37081.0,32610.0,30177.0,36932.0,32764.0,32200.0,44516.0,47147.0,36971.0,34861.0,42171.0,44854.0,36891.0,40579.0,30373.0
1.02,Ativo Não Circulante,536098.0,548174.0,583210.0,616313.0,643136.0,706991.0,825679.0,869013.0,887636.0,920790.0,964677.0,998373.0,1017414.0,1027594.0,1020021.0,1087649.0,1189675.0,1142465.0,1056710.0,1062405.0,1049662.0,1026649.0,1009894.0
1.02.01,Ativo Realizável a Longo Prazo,184852.0,186192.0,175168.0,173191.0,168412.0,170368.0,224313.0,231939.0,226848.0,234686.0,253326.0,261528.0,277743.0,306268.0,301821.0,372686.0,484195.0,437183.0,353999.0,356705.0,343901.0,318380.0,322038.0
1.02.02,Investimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1.02.03,Imobilizado,311968.0,321568.0,364795.0,399608.0,430059.0,489896.0,553259.0,587631.0,608157.0,631723.0,656978.0,679384.0,681554.0,663790.0,661004.0,657131.0,646960.0,646950.0,643322.0,647127.0,646909.0,649804.0,628905.0
1.02.04,Intangível,39278.0,40414.0,43247.0,43514.0,44665.0,46727.0,48107.0,49443.0,52631.0,54381.0,54373.0,57461.0,58114.0,57533.0,57194.0,57829.0,58517.0,58329.0,59386.0,58570.0,58849.0,58462.0,58948.0
