# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-16 20:53:14
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2019,3.01,1344032.000,1344032.000,0.000,0.000,OK
2019,3.02,-801991.000,-801991.000,0.000,0.000,OK
2019,3.03,542041.000,542041.000,0.000,0.000,OK
2019,3.04,-428059.000,-428059.000,0.000,0.000,OK
2019,3.04.02,-125629.000,-125629.000,0.000,0.000,OK
2019,3.04.05,-14757.000,-14757.000,0.000,0.000,OK
2019,3.04.05.02,0.000,,,,SEM_ANUAL
2019,3.04.06,0.000,0.000,0.000,0.000,OK
2019,3.05,113982.000,113982.000,0.000,0.000,OK
2019,3.06,-66458.000,-66458.000,0.000,0.000,OK
2019,3.06.01,16020.000,16020.000,0.000,0.000,OK
2019,3.06.02,-82478.000,-82478.000,0.000,0.000,OK
2019,3.07,47524.000,47524.000,0.000,0.000,OK
2019,3.08,-17402.000,-17402.000,0.000,0.000,OK
2019,3.09,30122.000,30122.000,0.000,0.000,OK
2019,3.10,0.000,0.000,0.000,0.000,OK
2019,3.11,30122.000,30122.000,0.000,0.000,OK
2019,3.11.01,30122.000,30122.000,0.000,0.000,OK
2019,3.11.02,0.000,0.000,0.000,0.000,OK
2020,3.01,1621164.000,1621164.000,0.000,0.000,OK
2020,3.02,-951361.000,-951361.000,0.000,0.000,OK
2020,3.03,669803.000,669803.000,0.000,0.000,OK
2020,3.04,-516235.000,-516235.000,0.000,0.000,OK
2020,3.04.02,-151780.000,-151780.000,0.000,0.000,OK
2020,3.04.05,-18019.000,-18019.000,0.000,0.000,OK
2020,3.04.05.02,0.000,,,,SEM_ANUAL
2020,3.04.06,0.000,0.000,0.000,0.000,OK
2020,3.05,153568.000,153568.000,0.000,0.000,OK
2020,3.06,-55126.000,-55126.000,0.000,0.000,OK
2020,3.06.01,19022.000,19022.000,0.000,0.000,OK
2020,3.06.02,-74148.000,-74148.000,0.000,0.000,OK
2020,3.07,98442.000,98442.000,0.000,0.000,OK
2020,3.08,-30576.000,-30576.000,0.000,0.000,OK
2020,3.09,67866.000,67866.000,0.000,0.000,OK
2020,3.10,0.000,0.000,0.000,0.000,OK
2020,3.11,67866.000,67866.000,0.000,0.000,OK
2020,3.11.01,67866.000,67866.000,0.000,0.000,OK
2020,3.11.02,0.000,0.000,0.000,0.000,OK
2021,3.01,2033606.000,2033606.000,0.000,0.000,OK
2021,3.02,-1239663.000,-1239663.000,0.000,0.000,OK
2021,3.03,793943.000,793943.000,0.000,0.000,OK
2021,3.04,-629998.000,-629998.000,0.000,0.000,OK
2021,3.04.02,-188390.000,-188390.000,0.000,0.000,OK
2021,3.04.05,-12421.000,-12421.000,0.000,0.000,OK
2021,3.04.05.02,0.000,,,,SEM_ANUAL
2021,3.04.06,0.000,0.000,0.000,0.000,OK
2021,3.05,163945.000,163945.000,0.000,0.000,OK
2021,3.06,-71696.000,-71696.000,0.000,0.000,OK
2021,3.06.01,43292.000,43292.000,0.000,0.000,OK
2021,3.06.02,-114988.000,-114988.000,0.000,0.000,OK
2021,3.07,92249.000,92249.000,0.000,0.000,OK
2021,3.08,-24022.000,-24022.000,0.000,0.000,OK
2021,3.09,68227.000,68227.000,0.000,0.000,OK
2021,3.10,0.000,0.000,0.000,0.000,OK
2021,3.11,68227.000,68227.000,0.000,0.000,OK
2021,3.11.01,68227.000,68227.000,0.000,0.000,OK
2021,3.11.02,0.000,0.000,0.000,0.000,OK
2022,3.01,2312668.000,2312668.000,0.000,0.000,OK
