cd_conta,ds_conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,315182.000,289307.000,348847.000,390696.000,314699.000,349141.000,455158.000,502166.000,435381.000,496193.000,538667.000,563365.000,540249.000,556157.000,601180.000,615082.000,561676.000,560262.000,622132.000,654057.000,588330.000,638291.000,712271.000,727438.000,671524.000,667459.000,695354.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-197639.000,-171294.000,-208470.000,-224588.000,-188312.000,-210747.000,-263797.000,-288505.000,-260543.000,-299888.000,-331334.000,-347898.000,-354938.000,-369226.000,-412214.000,-407169.000,-372183.000,-371842.000,-403294.000,-424796.000,-381890.000,-416815.000,-468942.000,-470546.000,-449496.000,-451873.000,-469831.000
3.03,Resultado Bruto,117543.000,118013.000,140377.000,166108.000,126387.000,138394.000,191361.000,213661.000,174838.000,196305.000,207333.000,215467.000,185311.000,186931.000,188966.000,207913.000,189493.000,188420.000,218838.000,229261.000,206440.000,221476.000,243329.000,256892.000,222028.000,215586.000,225523.000
3.04,Despesas/Receitas Operacionais,-94207.000,-99880.000,-104868.000,-129104.000,-112476.000,-114081.000,-136401.000,-153277.000,-138753.000,-155481.000,-162242.000,-173522.000,-167320.000,-165399.000,-173224.000,-175624.000,-190557.000,-172443.000,-200657.000,-159349.000,-138984.000,-242230.000,-218016.000,-223252.000,-213461.000,-221242.000,-225008.000
3.04.02,Despesas Gerais e Administrativas,-28271.000,-30307.000,-31376.000,-35675.000,-32507.000,-33546.000,-40849.000,-44878.000,-40928.000,-47006.000,-49868.000,-50588.000,-51075.000,-52366.000,-53779.000,-56261.000,-60093.000,-57049.000,-59665.000,-65210.000,-62011.000,-67260.000,-67809.000,-70680.000,-69121.000,-67305.000,-70749.000
3.04.05,Outras Despesas Operacionais,-1761.000,-1162.000,-1435.000,-10399.000,-2198.000,-5376.000,-5623.000,-4822.000,-2942.000,-4077.000,-1261.000,-4141.000,-2715.000,1314.000,838.000,7213.000,-2855.000,17563.000,-7273.000,46877.000,57927.000,-29454.000,-2655.000,698.000,5090.000,-643.000,116.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,23336.000,18133.000,35509.000,37004.000,13911.000,24313.000,54960.000,60384.000,36085.000,40824.000,45091.000,41945.000,17991.000,21532.000,15742.000,32289.000,-1064.000,15977.000,18181.000,69912.000,67456.000,-20754.000,25313.000,33640.000,8567.000,-5656.000,515.000
3.06,Resultado Financeiro,-21257.000,-15951.000,-14372.000,-14878.000,-15885.000,-17195.000,-7567.000,-14479.000,-15707.000,-15688.000,-19117.000,-21184.000,-30347.000,-27208.000,-26933.000,-27796.000,-31935.000,-29186.000,-34875.000,-9917.000,106.000,-53672.000,-31372.000,-35949.000,-34489.000,-40989.000,-44321.000
3.06.01,Receitas Financeiras,2219.000,5911.000,4216.000,3674.000,2672.000,2639.000,9887.000,3824.000,2852.000,3768.000,30733.000,5939.000,11536.000,10897.000,13408.000,14978.000,14881.000,15579.000,11201.000,35087.000,41599.000,392.000,15855.000,24104.000,22430.000,17060.000,23934.000
3.06.02,Despesas Financeiras,-23476.000,-21862.000,-18588.000,-18552.000,-18557.000,-19834.000,-17454.000,-18303.000,-18559.000,-19456.000,-49850.000,-27123.000,-41883.000,-38105.000,-40341.000,-42774.000,-46816.000,-44765.000,-46076.000,-45004.000,-41493.000,-54064.000,-47227.000,-60053.000,-56919.000,-58049.000,-68255.000
3.07,Resultado Antes dos Tributos sobre o Lucro,2079.000,2182.000,21137.000,22126.000,-1974.000,7118.000,47393.000,45905.000,20378.000,25136.000,25974.000,20761.000,-12356.000,-5676.000,-11191.000,4493.000,-32999.000,-13209.000,-16694.000,59995.000,67562.000,-74426.000,-6059.000,-2309.000,-25922.000,-46645.000,-43806.000
