cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,2607739.0,2602957.0,2606185.0,2575518.0,2618121.0,2710033.0,2711917.0,2882098.0,2869015.0,2841731.0,2864039.0,3073803.0,2967284.0,3006644.0,3025735.0,3222897.0,3368429.0,3352764.0,3422878.0,3988727.0,4020157.0,4024787.0,4100964.0,4212183.0,4599787.0,4673212.0,5163124.0,5159903.0,5173362.0,5630710.0,6125153.0,6150606.0,6006682.0,6228713.0,6072520.0,6254445.0,6329968.0,6525853.0,6687441.0,6774201.0,6737629.0,7166963.0,7160498.0
2.01,Passivo Circulante,236403.0,210677.0,247276.0,168979.0,232398.0,346655.0,374054.0,357630.0,373676.0,385151.0,358216.0,275927.0,229324.0,223562.0,172223.0,149899.0,157803.0,158107.0,129673.0,130422.0,165135.0,251635.0,257375.0,330525.0,353193.0,369873.0,471009.0,511425.0,394143.0,513578.0,484702.0,479729.0,377093.0,418016.0,399851.0,528276.0,452468.0,577028.0,845348.0,837665.0,758147.0,888210.0,958378.0
2.01.01,Obrigações Sociais e Trabalhistas,2928.0,2279.0,2602.0,2401.0,2954.0,2153.0,2576.0,2523.0,2951.0,2567.0,3084.0,2993.0,3389.0,2342.0,3284.0,3110.0,3673.0,3601.0,4563.0,4169.0,4862.0,5006.0,6036.0,5572.0,7330.0,6784.0,9287.0,9138.0,8873.0,11719.0,13977.0,13714.0,10922.0,13187.0,15512.0,15427.0,12920.0,15713.0,17759.0,17325.0,14780.0,17318.0,20695.0
2.01.02,Fornecedores,5665.0,3637.0,3094.0,6601.0,4072.0,13889.0,10010.0,3561.0,3278.0,3208.0,2240.0,4867.0,5922.0,9001.0,11963.0,12663.0,9949.0,15796.0,14629.0,8501.0,6791.0,9886.0,13196.0,15269.0,19885.0,40579.0,41957.0,44604.0,31442.0,12637.0,32734.0,43365.0,60995.0,33556.0,28495.0,58418.0,47595.0,58231.0,56464.0,70243.0,61747.0,47539.0,51228.0
2.01.03,Obrigações Fiscais,2889.0,2930.0,2437.0,2559.0,2263.0,2573.0,2241.0,2680.0,2670.0,2959.0,3297.0,3869.0,3634.0,3621.0,3917.0,4831.0,4815.0,5369.0,5869.0,6886.0,6930.0,7756.0,8500.0,8541.0,8122.0,15027.0,9931.0,15457.0,15875.0,17127.0,29927.0,19222.0,28107.0,28950.0,31013.0,26162.0,28942.0,41658.0,39027.0,50119.0,39093.0,33242.0,59785.0
2.01.04,Empréstimos e Financiamentos,188496.0,194580.0,233496.0,150579.0,216241.0,319477.0,355859.0,337250.0,352957.0,364472.0,314481.0,218944.0,171945.0,166740.0,122119.0,94891.0,106904.0,115302.0,94066.0,82526.0,89684.0,180107.0,179140.0,203229.0,199369.0,141524.0,210722.0,214610.0,213084.0,261387.0,200613.0,181379.0,219847.0,262088.0,203116.0,240843.0,196826.0,277793.0,292358.0,243042.0,211053.0,334591.0,625445.0
2.01.05,Outras Obrigações,36425.0,7251.0,5647.0,6839.0,6868.0,8563.0,3368.0,11616.0,11820.0,11945.0,35114.0,45254.0,44434.0,41858.0,30940.0,34404.0,32462.0,18039.0,10546.0,28340.0,56868.0,48880.0,50503.0,97914.0,118487.0,165959.0,199112.0,227616.0,124869.0,210708.0,207451.0,222049.0,57222.0,80235.0,121715.0,187426.0,166185.0,183633.0,439740.0,456936.0,431474.0,455520.0,201225.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,932916.0,919514.0,875288.0,910666.0,879437.0,846672.0,814648.0,750184.0,714076.0,668727.0,599645.0,777924.0,617260.0,649562.0,705513.0,913375.0,939529.0,907087.0,982345.0,904082.0,890285.0,798008.0,786165.0,801697.0,1044312.0,1032124.0,1349476.0,1307736.0,1288334.0,1497750.0,1920546.0,2007039.0,1934874.0,2164804.0,1979372.0,1993948.0,2112070.0,2162142.0,2107732.0,2331161.0,2287145.0,2519009.0,2350297.0
2.02.01,Empréstimos e Financiamentos,845571.0,830410.0,783613.0,814379.0,781922.0,748698.0,715591.0,651834.0,614749.0,567680.0,529089.0,711090.0,549654.0,583277.0,640981.0,845422.0,865470.0,833008.0,896678.0,807279.0,780656.0,672142.0,653001.0,597434.0,829169.0,783218.0,1131250.0,1053095.0,1037579.0,1278471.0,1636627.0,1592705.0,1519688.0,1790783.0,1642565.0,1656894.0,1766407.0,1775544.0,1661690.0,1823160.0,1798517.0,2036343.0,1900010.0
2.02.02,Outras Obrigações,42411.0,43372.0,44742.0,45162.0,45074.0,44027.0,43759.0,43392.0,43461.0,44374.0,13220.0,5777.0,5975.0,4141.0,5524.0,4610.0,8101.0,7932.0,22686.0,30341.0,42297.0,125866.0,133164.0,141009.0,146912.0,184638.0,148763.0,176813.0,165378.0,123540.0,182110.0,305218.0,307373.0,234911.0,196889.0,192536.0,196140.0,248801.0,303796.0,352032.0,342281.0,328623.0,296248.0
2.02.03,Tributos Diferidos,44934.0,45732.0,46933.0,51125.0,52441.0,53947.0,55298.0,54958.0,55866.0,56673.0,57336.0,61057.0,61631.0,62144.0,59008.0,63343.0,65958.0,66147.0,62981.0,66462.0,67332.0,0.0,0.0,63254.0,68231.0,64268.0,69463.0,77828.0,85377.0,95739.0,101809.0,109116.0,107813.0,139110.0,139918.0,144518.0,149523.0,137797.0,142246.0,155969.0,146347.0,154043.0,154039.0
2.02.04,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,1438420.0,1472766.0,1483621.0,1495873.0,1506286.0,1516706.0,1523215.0,1774284.0,1781263.0,1787853.0,1906178.0,2019952.0,2120700.0,2133520.0,2147999.0,2159623.0,2271097.0,2287570.0,2310860.0,2954223.0,2964737.0,2975144.0,3057424.0,3079961.0,3202282.0,3271215.0,3342639.0,3340742.0,3490885.0,3619382.0,3719905.0,3663838.0,3694715.0,3645893.0,3693297.0,3732221.0,3765430.0,3786683.0,3734361.0,3605375.0,3692337.0,3759744.0,3851823.0
2.03.01,Capital Social Realizado,171844.0,729043.0,729043.0,729043.0,729043.0,753820.0,753820.0,1003820.0,1003820.0,1003820.0,1117287.0,1222287.0,1312287.0,1312287.0,1315841.0,1315841.0,1416042.0,1416042.0,1416101.0,2038072.0,2038021.0,2038021.0,2038021.0,2035382.0,2035382.0,2035382.0,2035382.0,2035382.0,2035382.0,2735382.0,2735382.0,2735382.0,2735382.0,2735382.0,2735382.0,2735382.0,2735382.0,2735382.0,2735382.0,2735382.0,2735382.0,2735382.0,2735382.0
2.03.02,Reservas de Capital,528641.0,24703.0,24764.0,24840.0,24924.0,1860.0,1929.0,1961.0,2018.0,2075.0,-506.0,-450.0,-409.0,-245.0,-80.0,84.0,-1767.0,-1747.0,-1611.0,707.0,860.0,-17502.0,-534.0,4772.0,5232.0,5816.0,6648.0,6931.0,7523.0,8116.0,8977.0,9970.0,10628.0,11285.0,12115.0,13290.0,-26991.0,14820.0,15807.0,-516.0,81.0,923.0,2279.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,753625.0,726320.0,726320.0,741882.0,741882.0,741882.0,741882.0,769063.0,769063.0,769063.0,769063.0,802920.0,802920.0,802920.0,802920.0,836078.0,836078.0,831399.0,831399.0,900178.0,890611.0,897576.0,896824.0,1019967.0,1019967.0,1019970.0,990728.0,1269256.0,1269293.0,561637.0,550072.0,839301.0,839419.0,827210.0,825158.0,981273.0,990787.0,878750.0,720133.0,851143.0,851143.0,851143.0,851143.0
2.03.05,Lucros/Prejuízos Acumulados,-15828.0,-7442.0,3377.0,0.0,10326.0,19022.0,25458.0,0.0,8232.0,15966.0,24289.0,0.0,10672.0,23119.0,33868.0,0.0,12970.0,29295.0,52187.0,0.0,17246.0,38948.0,104941.0,0.0,109634.0,186704.0,281362.0,0.0,131448.0,231237.0,341816.0,0.0,27487.0,70236.0,118769.0,0.0,55155.0,147030.0,244014.0,0.0,86313.0,152772.0,243374.0
2.03.06,Ajustes de Avaliação Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-687.0,-2005.0,-3218.0,-4110.0,-4961.0,-4961.0,-4753.0,-4742.0,-4734.0,-4679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.07,Ajustes Acumulados de Conversão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.09,Participação dos Acionistas Não Controladores,138.0,142.0,117.0,108.0,111.0,122.0,126.0,127.0,135.0,147.0,155.0,156.0,191.0,192.0,192.0,12354.0,12453.0,12581.0,12784.0,15266.0,17999.0,18101.0,18172.0,19840.0,32067.0,23343.0,28519.0,29173.0,47239.0,83010.0,83658.0,79185.0,81799.0,1780.0,1873.0,2276.0,11097.0,10701.0,19025.0,19366.0,19418.0,19524.0,19645.0
