cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,943674.0,900776.0,885859.0,378142.0,362648.0,344396.0,323330.0,343192.0,330997.0,307481.0,294886.0,290276.0,280233.0,265962.0,254918.0,231875.0,253547.0,258808.0,255037.0,405272.0,382392.0,372922.0,376268.0,397798.0,394100.0,396538.0,439000.0,430940.0,418318.0,404108.0,406126.0,392122.0,394229.0,384923.0,396698.0,398903.0,402237.0,392444.0,397116.0,409416.0,412961.0,403897.0,413852.0
1.01,Ativo Circulante,192301.0,169100.0,155823.0,118561.0,108400.0,99623.0,85822.0,115825.0,101945.0,98203.0,90179.0,75746.0,70449.0,62194.0,54057.0,43673.0,39024.0,56762.0,56162.0,192665.0,177537.0,173205.0,174846.0,176345.0,172884.0,174633.0,178404.0,157662.0,139775.0,108962.0,112597.0,99346.0,100498.0,94241.0,100384.0,110978.0,113268.0,101720.0,109102.0,121302.0,126365.0,120111.0,133433.0
1.01.01,Caixa e Equivalentes de Caixa,100490.0,81245.0,71228.0,56957.0,42740.0,33413.0,28748.0,65579.0,56515.0,50952.0,43720.0,39195.0,31072.0,21779.0,15682.0,14172.0,9041.0,18479.0,19695.0,125073.0,119705.0,109230.0,109657.0,32116.0,34302.0,31625.0,35464.0,41710.0,37600.0,31132.0,27957.0,22446.0,22970.0,21978.0,23588.0,31332.0,30466.0,21997.0,43594.0,52831.0,55920.0,50731.0,63525.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,103.0,99.0,30257.0,30153.0,30394.0,30540.0,108636.0,102927.0,99931.0,93839.0,70232.0,54346.0,28256.0,33676.0,32972.0,31581.0,28430.0,32531.0,36548.0,39852.0,39285.0,21473.0,23573.0,20854.0,19841.0,24120.0
1.01.03,Contas a Receber,83708.0,78976.0,75738.0,56150.0,59130.0,57875.0,48576.0,43695.0,38551.0,40662.0,41119.0,32340.0,29773.0,32429.0,31094.0,26777.0,26462.0,35162.0,34089.0,35279.0,22886.0,29829.0,32542.0,33479.0,33020.0,40192.0,41138.0,38030.0,39302.0,41317.0,42834.0,36463.0,37871.0,36334.0,37193.0,38226.0,37859.0,34907.0,38100.0,39171.0,42951.0,43161.0,39421.0
1.01.04,Estoques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,7095.0,8265.0,8561.0,5415.0,5804.0,7580.0,7780.0,5885.0,5980.0,5914.0,4988.0,4110.0,3447.0,2782.0,2746.0,2685.0,2372.0,2247.0,1771.0,1903.0,3596.0,2983.0,1684.0,2018.0,1862.0,2169.0,7612.0,7655.0,7568.0,7586.0,7392.0,7171.0,6970.0,6873.0,6026.0,3430.0,2612.0,3571.0,4311.0,4173.0,4473.0,4551.0,4834.0
1.01.07,Despesas Antecipadas,1008.0,614.0,296.0,39.0,726.0,755.0,718.0,666.0,899.0,675.0,352.0,101.0,514.0,511.0,267.0,39.0,1048.0,771.0,508.0,153.0,1197.0,769.0,423.0,96.0,773.0,716.0,351.0,35.0,959.0,671.0,738.0,294.0,1106.0,626.0,1046.0,1442.0,2479.0,1960.0,1624.0,1554.0,2167.0,1827.0,1533.0
1.01.08,Outros Ativos Circulantes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5643.0,4693.0,4268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
