cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T2,2021T3,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,1173947.0,1536401.0,1420605.0,2014245.0,1247369.0,1647580.0,1445829.0,2110800.0,1415324.0,1831132.0,1746377.0,2451472.0,1628285.0,2020097.0,1943288.0,2834871.0,1892117.0,2292004.0,2225755.0,3178561.0,1863761.0,808506.0,1790039.0,3074874.0,2489104.0,2626014.0,2613024.0,3626338.0,3017632.0,4014143.0,2775292.0,3504083.0,3097096.0,4271378.0,2908249.0,3520391.0,3390509.0,4617217.0,3257576.0,4167566.0,3563472.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-472175.0,-618617.0,-596697.0,-823863.0,-488424.0,-637075.0,-594216.0,-855368.0,-569556.0,-712039.0,-702553.0,-960765.0,-619422.0,-765024.0,-789181.0,-1110890.0,-744031.0,-885492.0,-889197.0,-1211801.0,-696674.0,-304643.0,-869361.0,-1352892.0,-1020358.0,-1110935.0,-1018384.0,-1421416.0,-1241428.0,-1605095.0,-1072827.0,-1406297.0,-1249415.0,-1698708.0,-1138734.0,-1362822.0,-1347782.0,-1845079.0,-1236106.0,-1563766.0,-1377382.0
3.03,Resultado Bruto,701772.0,917784.0,823908.0,1190382.0,758945.0,1010505.0,851613.0,1255432.0,845768.0,1119093.0,1043824.0,1490707.0,1008863.0,1255073.0,1154107.0,1723981.0,1148086.0,1406512.0,1336558.0,1966760.0,1167087.0,503863.0,920678.0,1721982.0,1468746.0,1515079.0,1594640.0,2204922.0,1776204.0,2409048.0,1702465.0,2097786.0,1847681.0,2572670.0,1769515.0,2157569.0,2042727.0,2772138.0,2021470.0,2603800.0,2186090.0
3.04,Despesas/Receitas Operacionais,-571197.0,-663910.0,-667252.0,-798234.0,-653402.0,-738046.0,-718718.0,-790639.0,-741732.0,-824385.0,-837896.0,-1008141.0,-838808.0,-903099.0,-895619.0,-1080677.0,-909684.0,-1041818.0,-1060021.0,-1202739.0,-1143719.0,-83607.0,-1047291.0,-1182114.0,-1208152.0,-1307326.0,-1450798.0,-1770282.0,-1575209.0,-1781124.0,-1729126.0,-1873356.0,-1755853.0,-1973190.0,-1693305.0,-1802851.0,-1769774.0,-2216676.0,-1748464.0,-2045899.0,-1907387.0
3.04.02,Despesas Gerais e Administrativas,-100353.0,-116651.0,-122131.0,-130254.0,-120667.0,-130629.0,-134271.0,-135582.0,-134489.0,-141402.0,-156914.0,-177929.0,-157440.0,-172198.0,-190538.0,-299818.0,-201681.0,-213061.0,-225484.0,-240394.0,-231405.0,-191824.0,-219180.0,-242824.0,-283012.0,-289111.0,-355942.0,-386860.0,-392060.0,-400936.0,-404559.0,-424125.0,-424732.0,-472760.0,-435877.0,-457648.0,-456671.0,-497574.0,-472222.0,-537522.0,-481591.0
3.04.05,Outras Despesas Operacionais,-128014.0,-142145.0,-150316.0,-188601.0,-138496.0,-148648.0,-155124.0,-199181.0,-159130.0,-182667.0,-179270.0,-245997.0,-169096.0,-178748.0,-185910.0,-136052.0,-88619.0,-106274.0,-110459.0,-197542.0,-102522.0,-143351.0,-112964.0,-147127.0,-146247.0,-159505.0,-138503.0,-190951.0,-128393.0,-147289.0,-161215.0,-160624.0,-153155.0,-327721.0,-182297.0,-188506.0,-192766.0,-443005.0,-175156.0,-225555.0,-204428.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,130575.0,253874.0,156656.0,392148.0,105543.0,272459.0,132895.0,464793.0,104036.0,294708.0,205928.0,482566.0,170055.0,351974.0,258488.0,643304.0,238402.0,364694.0,276537.0,764021.0,23368.0,420256.0,-126613.0,539868.0,260594.0,207753.0,143842.0,434640.0,200995.0,627924.0,-26661.0,224430.0,91828.0,599480.0,76210.0,354718.0,272953.0,555462.0,273006.0,557901.0,278703.0
3.06,Resultado Financeiro,-27985.0,-25785.0,-26923.0,-23893.0,-24080.0,-27109.0,-26239.0,-25882.0,-24934.0,-22443.0,-21305.0,-14419.0,-13881.0,-13318.0,-17462.0,-8967.0,-27409.0,-38164.0,-22712.0,-43515.0,-36272.0,493605.0,-57386.0,-56065.0,-51250.0,-18470.0,16985.0,-3473.0,-130.0,-36498.0,-15034.0,-28662.0,-15452.0,10738.0,35626.0,29584.0,6647.0,-10203.0,-18484.0,-45850.0,-19104.0
3.06.01,Receitas Financeiras,31735.0,28035.0,24063.0,10020.0,30503.0,20105.0,19708.0,17156.0,19324.0,15902.0,11915.0,11917.0,12273.0,12609.0,12886.0,11396.0,11185.0,16013.0,20288.0,26936.0,25579.0,579756.0,51807.0,55783.0,66614.0,112447.0,191215.0,214234.0,240500.0,57990.0,151204.0,142327.0,161065.0,156019.0,158080.0,149366.0,115201.0,124720.0,88171.0,84878.0,68892.0
3.06.02,Despesas Financeiras,-59720.0,-53820.0,-50986.0,-33913.0,-54583.0,-47214.0,-45947.0,-43038.0,-44258.0,-38345.0,-33220.0,-26336.0,-26154.0,-25927.0,-30348.0,-20363.0,-38594.0,-54177.0,-43000.0,-70451.0,-61851.0,-86151.0,-109193.0,-111848.0,-117864.0,-130917.0,-174230.0,-217707.0,-240630.0,-94488.0,-166238.0,-170989.0,-176517.0,-145281.0,-122454.0,-119782.0,-108554.0,-134923.0,-106655.0,-130728.0,-87996.0
3.07,Resultado Antes dos Tributos sobre o Lucro,102590.0,228089.0,129733.0,368255.0,81463.0,245350.0,106656.0,438911.0,79102.0,272265.0,184623.0,468147.0,156174.0,338656.0,241026.0,634337.0,210993.0,326530.0,253825.0,720506.0,-12904.0,913861.0,-183999.0,483803.0,209344.0,189283.0,160827.0,431167.0,200865.0,591426.0,-41695.0,195768.0,76376.0,610218.0,111836.0,384302.0,279600.0,545259.0,254522.0,512051.0,259599.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-29400.0,-69920.0,-33767.0,-116742.0,-15948.0,-70542.0,-21752.0,-139080.0,-12126.0,-78682.0,-44304.0,-136346.0,-44732.0,-63947.0,-46815.0,-194563.0,-49395.0,-91384.0,-64574.0,-207408.0,-23323.0,-95810.0,-101126.0,-115767.0,-16271.0,-17327.0,-30803.0,-70778.0,-56997.0,-65997.0,-88461.0,-33932.0,-96526.0,-83327.0,-27414.0,-69318.0,-24334.0,-3263.0,-33489.0,-107555.0,-19796.0
3.09,Resultado Líquido das Operações Continuadas,73190.0,158169.0,95966.0,251513.0,65515.0,174808.0,84904.0,299831.0,66976.0,193583.0,140319.0,331801.0,111442.0,274709.0,194211.0,439774.0,161598.0,235146.0,189251.0,513098.0,10419.0,818051.0,82873.0,184926.0,193073.0,171956.0,191630.0,360389.0,257862.0,481823.0,46766.0,229700.0,172902.0,526891.0,139250.0,314984.0,255266.0,487168.0,221033.0,404496.0,279395.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,73190.0,158169.0,95966.0,251513.0,65515.0,174808.0,84904.0,299831.0,66976.0,193583.0,140319.0,331801.0,111442.0,274709.0,194211.0,439774.0,161598.0,235146.0,189251.0,513098.0,10419.0,818051.0,82873.0,184926.0,193073.0,171956.0,191630.0,360389.0,257862.0,481823.0,46766.0,229700.0,172902.0,526891.0,139250.0,314984.0,255266.0,487168.0,221033.0,404496.0,279395.0
3.11.01,Atribuído a Sócios da Empresa Controladora,73190.0,158169.0,95966.0,251513.0,65515.0,174808.0,84904.0,-325227.0,66976.0,193583.0,140319.0,331801.0,111442.0,274709.0,194211.0,439774.0,161598.0,235146.0,189251.0,513098.0,10419.0,818051.0,-82873.0,350672.0,193073.0,171956.0,191630.0,360389.0,257862.0,481823.0,46766.0,229700.0,172902.0,526891.0,139250.0,314984.0,255266.0,487168.0,221033.0,404496.0,279395.0
