cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1025222.0,938013.0,907723.0,814031.0,756988.0,662215.0,639039.0,642290.0,645114.0,640025.0,651294.0,575280.0,572242.0,588833.0,593274.0,581725.0,570277.0,564433.0,498233.0,504628.0,507785.0,503109.0,503235.0,492609.0,497435.0,485215.0,512858.0,503026.0,501571.0,501609.0,505207.0,573102.0,546421.0,494157.0,497917.0,482769.0,491437.0,472162.0,459595.0,508795.0,503978.0,491172.0,488897.0
1.01,Ativo Circulante,256388.0,244418.0,263999.0,235735.0,208794.0,162455.0,153613.0,162544.0,154851.0,151314.0,167288.0,224321.0,224931.0,243306.0,249063.0,227832.0,215424.0,211127.0,199415.0,184200.0,197043.0,190381.0,188182.0,196827.0,201842.0,191950.0,254660.0,231140.0,231363.0,234645.0,238538.0,181288.0,152031.0,148963.0,155915.0,145711.0,157394.0,136092.0,121991.0,156539.0,144657.0,130119.0,133022.0
1.01.01,Caixa e Equivalentes de Caixa,4282.0,6785.0,2070.0,31012.0,31411.0,2356.0,4742.0,1233.0,1448.0,1450.0,6381.0,2135.0,1103.0,480.0,1166.0,1245.0,3861.0,1921.0,13597.0,5834.0,2129.0,17569.0,12955.0,21015.0,21458.0,18321.0,16352.0,19176.0,12408.0,11349.0,12606.0,13171.0,3881.0,3493.0,4450.0,19907.0,15598.0,9181.0,9576.0,3515.0,2356.0,2108.0,1385.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.03,Contas a Receber,119012.0,110755.0,131065.0,62330.0,57543.0,53279.0,43100.0,44912.0,44408.0,43635.0,38917.0,26906.0,24906.0,27739.0,35969.0,31357.0,35050.0,33704.0,10659.0,10795.0,13295.0,10875.0,17804.0,19222.0,18521.0,19429.0,20701.0,20943.0,29991.0,26430.0,25272.0,27128.0,19202.0,19645.0,25084.0,18140.0,32635.0,35533.0,34372.0,35427.0,34339.0,21456.0,17078.0
1.01.04,Estoques,66795.0,62317.0,61814.0,56349.0,49031.0,47745.0,50947.0,56691.0,53133.0,52428.0,49152.0,59164.0,62660.0,42183.0,40956.0,38950.0,38855.0,39374.0,28024.0,30436.0,29923.0,31068.0,31043.0,31932.0,33937.0,36404.0,39654.0,41127.0,45160.0,46372.0,45530.0,39247.0,36933.0,36877.0,33745.0,32678.0,33475.0,30730.0,24521.0,26930.0,26546.0,25113.0,21464.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,27170.0,27369.0,31513.0,30976.0,30805.0,33046.0,27824.0,29603.0,30748.0,32586.0,27339.0,26101.0,26029.0,30412.0,26376.0,23637.0,26982.0,30081.0,38096.0,38271.0,43496.0,24464.0,24236.0,29884.0,30104.0,29619.0,62481.0,64608.0,62241.0,62847.0,54090.0,51160.0,44603.0,44167.0,45204.0,40701.0,40469.0,37736.0,32566.0,31017.0,24773.0,23671.0,23848.0
1.01.07,Despesas Antecipadas,7784.0,5976.0,4283.0,4672.0,4211.0,3949.0,3436.0,3285.0,3097.0,2929.0,2907.0,1264.0,1284.0,1689.0,1827.0,1580.0,1801.0,1459.0,1213.0,1165.0,1531.0,1338.0,1360.0,127.0,423.0,282.0,338.0,278.0,857.0,657.0,1063.0,716.0,985.0,684.0,474.0,553.0,1005.0,705.0,940.0,569.0,1024.0,694.0,792.0
1.01.08,Outros Ativos Circulantes,31345.0,31216.0,33254.0,50396.0,35793.0,22080.0,23564.0,26820.0,22017.0,18286.0,42592.0,108751.0,108949.0,140803.0,142769.0,131063.0,108875.0,104588.0,107826.0,97699.0,106669.0,105067.0,100784.0,94647.0,97399.0,87895.0,115134.0,85008.0,80706.0,86990.0,99977.0,49866.0,46427.0,44097.0,46958.0,33732.0,34212.0,22207.0,20016.0,59081.0,55619.0,57077.0,68455.0
